source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
gu:village:agana-heights,GU,village,Agana Heights,,01,,1,,
gu:village:asan-maina,GU,village,Asan-Maina,,02,,1,,
gu:village:barrigada,GU,village,Barrigada,,03,,1,,
gu:village:chalan-pago-ordot,GU,village,Chalan Pago-Ordot,,04,,1,,
gu:village:dededo,GU,village,Dededo,,05,,1,,
gu:village:hagat,GU,village,Hågat (Agat),,06,,1,,
gu:village:hagatna,GU,village,Hagåtña,,12,,1,,
gu:village:inarajan-inalahan,GU,village,Inalåhan (Inarajan),,08,,1,,
gu:village:mangilao,GU,village,Mangilao,,10,,1,,
gu:village:merizo-malesso,GU,village,Malesso' (Merizo),,09,,1,,
gu:village:mongmong-toto-maite,GU,village,Mongmong-Toto-Maite,,11,,1,,
gu:village:piti,GU,village,Piti,,13,,1,,
gu:village:santa-rita-santa-rita-sumai,GU,village,Sånta Rita-Sumai (Santa Rita),,14,,1,,
gu:village:sinajana,GU,village,Sinajana,,15,,1,,
gu:village:talofofo-talofofo,GU,village,Talo'fo'fo (Talofofo),,16,,1,,
gu:village:tamuning,GU,village,Tamuning,,17,,1,,
gu:village:umatac-humatak,GU,village,Humåtak (Umatac),,07,,1,,
gu:village:yigo,GU,village,Yigo,,18,,1,,
gu:village:yona,GU,village,Yona,,19,,1,,
