postcode,area_source_id,relationship_type,is_primary
96910,gu:village:hagatna,served_by,true
96911,gu:village:tamuning,served_by,true
96912,gu:village:dededo,served_by,true
96913,gu:village:barrigada,served_by,true
96914,gu:village:yona,served_by,true
96915,gu:village:santa-rita-santa-rita-sumai,served_by,true
96916,gu:village:merizo-malesso,served_by,true
96917,gu:village:inarajan-inalahan,served_by,true
96918,gu:village:umatac-humatak,served_by,true
96919,gu:village:agana-heights,served_by,true
96921,gu:village:barrigada,served_by,true
96922,gu:village:asan-maina,served_by,true
96923,gu:village:mangilao,served_by,true
96925,gu:village:piti,served_by,true
96926,gu:village:sinajana,served_by,true
96927,gu:village:mongmong-toto-maite,served_by,true
96928,gu:village:hagat,served_by,true
96929,gu:village:yigo,served_by,true
96930,gu:village:talofofo-talofofo,served_by,true
96931,gu:village:tamuning,served_by,true
96932,gu:village:hagatna,served_by,true
