source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
gt:department:alta-verapaz,GT,department,Alta Verapaz,,16,,1,,
gt:department:baja-verapaz,GT,department,Baja Verapaz,,15,,1,,
gt:department:chimaltenango,GT,department,Chimaltenango,,04,,1,,
gt:department:chiquimula,GT,department,Chiquimula,,20,,1,,
gt:department:el-progreso,GT,department,El Progreso,,02,,1,,
gt:department:escuintla,GT,department,Escuintla,,05,,1,,
gt:department:guatemala,GT,department,Guatemala,,01,,1,,
gt:department:huehuetenango,GT,department,Huehuetenango,,13,,1,,
gt:department:izabal,GT,department,Izabal,,18,,1,,
gt:department:jalapa,GT,department,Jalapa,,21,,1,,
gt:department:jutiapa,GT,department,Jutiapa,,22,,1,,
gt:department:peten,GT,department,Petén,,17,,1,,
gt:department:quetzaltenango,GT,department,Quetzaltenango,,09,,1,,
gt:department:quiche,GT,department,Quiché,,14,,1,,
gt:department:retalhuleu,GT,department,Retalhuleu,,11,,1,,
gt:department:sacatepequez,GT,department,Sacatepéquez,,03,,1,,
gt:department:san-marcos,GT,department,San Marcos,,12,,1,,
gt:department:santa-rosa,GT,department,Santa Rosa,,06,,1,,
gt:department:solola,GT,department,Sololá,,07,,1,,
gt:department:suchitepequez,GT,department,Suchitepéquez,,10,,1,,
gt:department:totonicapan,GT,department,Totonicapán,,08,,1,,
gt:department:zacapa,GT,department,Zacapa,,19,,1,,
