source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
gw:region:bafata,GW,region,Bafatá,,BA,,1,,
gw:region:biombo,GW,region,Biombo,,BM,,1,,
gw:autonomous_sector:bissau,GW,autonomous_sector,Bissau,,BS,,1,,
gw:region:bolama,GW,region,Bolama,,BL,,1,,
gw:region:cacheu,GW,region,Cacheu,,CA,,1,,
gw:region:gabu,GW,region,Gabú,,GA,,1,,
gw:province:leste,GW,province,Leste,,L,,1,,
gw:province:norte,GW,province,Norte,,N,,1,,
gw:region:oio,GW,region,Oio,,OI,,1,,
gw:region:quinara,GW,region,Quinara,,QU,,1,,
gw:province:sul,GW,province,Sul,,S,,1,,
gw:region:tombali,GW,region,Tombali,,TO,,1,,
