postcode,area_source_id,relationship_type,is_primary
001,gn:governorate:conakry,served_by,true
100,gn:prefecture:kindia,served_by,true
106,gn:prefecture:kindia,served_by,true
107,gn:prefecture:kindia,served_by,true
108,gn:prefecture:kindia,served_by,true
110,gn:prefecture:boffa,served_by,true
114,gn:prefecture:boffa,served_by,true
120,gn:prefecture:boke,served_by,true
126,gn:prefecture:boke,served_by,true
130,gn:prefecture:coyah,served_by,true
140,gn:prefecture:dubreka,served_by,true
144,gn:prefecture:dubreka,served_by,true
150,gn:prefecture:forecariah,served_by,true
154,gn:prefecture:forecariah,served_by,true
155,gn:prefecture:forecariah,served_by,true
156,gn:prefecture:forecariah,served_by,true
160,gn:prefecture:fria,served_by,true
180,gn:prefecture:boke,served_by,true
190,gn:prefecture:telimele,served_by,true
200,gn:prefecture:labe,served_by,true
206,gn:prefecture:labe,served_by,true
210,gn:prefecture:tougue,served_by,true
211,gn:prefecture:tougue,served_by,true
220,gn:prefecture:koubia,served_by,true
230,gn:prefecture:mali,served_by,true
232,gn:prefecture:mali,served_by,true
232,gn:prefecture:koubia,served_by,false
240,gn:prefecture:lelouma,served_by,true
250,gn:prefecture:gaoual,served_by,true
260,gn:prefecture:koundara,served_by,true
261,gn:prefecture:koundara,served_by,true
262,gn:prefecture:koundara,served_by,true
263,gn:prefecture:koundara,served_by,true
270,gn:prefecture:pita,served_by,true
280,gn:prefecture:dalaba,served_by,true
290,gn:prefecture:mamou,served_by,true
293,gn:prefecture:mamou,served_by,true
294,gn:prefecture:mamou,served_by,true
300,gn:prefecture:kankan,served_by,true
309,gn:prefecture:kankan,served_by,true
310,gn:prefecture:dabola,served_by,true
320,gn:prefecture:dinguiraye,served_by,true
325,gn:prefecture:dabola,served_by,true
326,gn:prefecture:dabola,served_by,true
330,gn:prefecture:faranah,served_by,true
335,gn:prefecture:faranah,served_by,true
340,gn:prefecture:kerouane,served_by,true
350,gn:prefecture:kouroussa,served_by,true
360,gn:prefecture:mandiana,served_by,true
370,gn:prefecture:siguiri,served_by,true
400,gn:prefecture:nzerekore,served_by,true
409,gn:prefecture:nzerekore,served_by,true
410,gn:prefecture:beyla,served_by,true
415,gn:prefecture:beyla,served_by,true
420,gn:prefecture:gueckedou,served_by,true
430,gn:prefecture:kissidougou,served_by,true
430,gn:prefecture:kerouane,served_by,false
440,gn:prefecture:lola,served_by,true
450,gn:prefecture:macenta,served_by,true
460,gn:prefecture:yomou,served_by,true
