source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ht:department:artibonite,HT,department,Artibonite,,AR,,1,,
ht:department:centre,HT,department,Centre,,CE,,1,,
ht:department:grandanse,HT,department,Grand'Anse,,GA,,1,,
ht:department:nippes,HT,department,Nippes,,NI,,1,,
ht:department:nord,HT,department,Nord,,ND,,1,,
ht:department:nord-est,HT,department,Nord-Est,,NE,,1,,
ht:department:nord-ouest,HT,department,Nord-Ouest,,NO,,1,,
ht:department:ouest,HT,department,Ouest,,OU,,1,,
ht:department:sud,HT,department,Sud,,SD,,1,,
ht:department:sud-est,HT,department,Sud-Est,,SE,,1,,
ht:arrondissement:dessalines,HT,arrondissement,Dessalines,,,ht:department:artibonite,2,,
ht:arrondissement:gonaives,HT,arrondissement,Gonaïves,,,ht:department:artibonite,2,,
ht:arrondissement:gros-morne,HT,arrondissement,Gros-Morne,,,ht:department:artibonite,2,,
ht:arrondissement:marmelade,HT,arrondissement,Marmelade,,,ht:department:artibonite,2,,
ht:arrondissement:saint-marc,HT,arrondissement,Saint-Marc,,,ht:department:artibonite,2,,
ht:arrondissement:cerca-la-source,HT,arrondissement,Cerca-la-Source,,,ht:department:centre,2,,
ht:arrondissement:hinche,HT,arrondissement,Hinche,,,ht:department:centre,2,,
ht:arrondissement:lascahobas,HT,arrondissement,Lascahobas,,,ht:department:centre,2,,
ht:arrondissement:mirebalais,HT,arrondissement,Mirebalais,,,ht:department:centre,2,,
ht:arrondissement:anse-d-hainault,HT,arrondissement,Anse d'Hainault,,,ht:department:grandanse,2,,
ht:arrondissement:corail,HT,arrondissement,Corail,,,ht:department:grandanse,2,,
ht:arrondissement:jeremie,HT,arrondissement,Jérémie,,,ht:department:grandanse,2,,
ht:arrondissement:anse-a-veau,HT,arrondissement,Anse-à-Veau,,,ht:department:nippes,2,,
ht:arrondissement:baraderes,HT,arrondissement,Baradères,,,ht:department:nippes,2,,
ht:arrondissement:miragoane,HT,arrondissement,Miragoâne,,,ht:department:nippes,2,,
ht:arrondissement:acul-du-nord,HT,arrondissement,Acul-du-Nord,,,ht:department:nord,2,,
ht:arrondissement:borgne,HT,arrondissement,Borgne,,,ht:department:nord,2,,
ht:arrondissement:cap-haitien,HT,arrondissement,Cap-Haïtien,,,ht:department:nord,2,,
ht:arrondissement:grande-riviere-du-nord,HT,arrondissement,Grande-Rivière-du-Nord,,,ht:department:nord,2,,
ht:arrondissement:limbe,HT,arrondissement,Limbé,,,ht:department:nord,2,,
ht:arrondissement:plaisance,HT,arrondissement,Plaisance,,,ht:department:nord,2,,
ht:arrondissement:saint-raphael,HT,arrondissement,Saint-Raphaël,,,ht:department:nord,2,,
ht:arrondissement:fort-liberte,HT,arrondissement,Fort-Liberté,,,ht:department:nord-est,2,,
ht:arrondissement:ouanaminthe,HT,arrondissement,Ouanaminthe,,,ht:department:nord-est,2,,
ht:arrondissement:trou-du-nord,HT,arrondissement,Trou-du-Nord,,,ht:department:nord-est,2,,
ht:arrondissement:vallieres,HT,arrondissement,Vallières,,,ht:department:nord-est,2,,
ht:arrondissement:mole-saint-nicolas,HT,arrondissement,Môle-Saint-Nicolas,,,ht:department:nord-ouest,2,,
ht:arrondissement:port-de-paix,HT,arrondissement,Port-de-Paix,,,ht:department:nord-ouest,2,,
ht:arrondissement:saint-louis-du-nord,HT,arrondissement,Saint-Louis-du-Nord,,,ht:department:nord-ouest,2,,
ht:arrondissement:arcahaie,HT,arrondissement,Arcahaie,,,ht:department:ouest,2,,
ht:arrondissement:croix-des-bouquets,HT,arrondissement,Croix-des-Bouquets,,,ht:department:ouest,2,,
ht:arrondissement:la-gonave,HT,arrondissement,La Gonâve,,,ht:department:ouest,2,,
ht:arrondissement:leogane,HT,arrondissement,Léogâne,,,ht:department:ouest,2,,
ht:arrondissement:port-au-prince,HT,arrondissement,Port-au-Prince,,,ht:department:ouest,2,,
ht:arrondissement:aquin,HT,arrondissement,Aquin,,,ht:department:sud,2,,
ht:arrondissement:chardonnieres,HT,arrondissement,Chardonnières,,,ht:department:sud,2,,
ht:arrondissement:coteaux,HT,arrondissement,Côteaux,,,ht:department:sud,2,,
ht:arrondissement:les-cayes,HT,arrondissement,Les Cayes,,,ht:department:sud,2,,
ht:arrondissement:port-salut,HT,arrondissement,Port-Salut,,,ht:department:sud,2,,
ht:arrondissement:bainet,HT,arrondissement,Bainet,,,ht:department:sud-est,2,,
ht:arrondissement:belle-anse,HT,arrondissement,Belle-Anse,,,ht:department:sud-est,2,,
ht:arrondissement:jacmel,HT,arrondissement,Jacmel,,,ht:department:sud-est,2,,
