postcode,area_source_id,relationship_type,is_primary
HT1110,ht:arrondissement:cap-haitien,served_by,true
HT1111,ht:arrondissement:cap-haitien,served_by,true
HT1112,ht:arrondissement:cap-haitien,served_by,true
HT1113,ht:arrondissement:cap-haitien,served_by,true
HT1114,ht:arrondissement:cap-haitien,served_by,true
HT1120,ht:arrondissement:cap-haitien,served_by,true
HT1130,ht:arrondissement:cap-haitien,served_by,true
HT1210,ht:arrondissement:acul-du-nord,served_by,true
HT1211,ht:arrondissement:acul-du-nord,served_by,true
HT1220,ht:arrondissement:acul-du-nord,served_by,true
HT1221,ht:arrondissement:acul-du-nord,served_by,true
HT1230,ht:arrondissement:acul-du-nord,served_by,true
HT1231,ht:arrondissement:acul-du-nord,served_by,true
HT1310,ht:arrondissement:grande-riviere-du-nord,served_by,true
HT1320,ht:arrondissement:grande-riviere-du-nord,served_by,true
HT1410,ht:arrondissement:saint-raphael,served_by,true
HT1420,ht:arrondissement:saint-raphael,served_by,true
HT1430,ht:arrondissement:saint-raphael,served_by,true
HT1440,ht:arrondissement:saint-raphael,served_by,true
HT1450,ht:arrondissement:saint-raphael,served_by,true
HT1510,ht:arrondissement:borgne,served_by,true
HT1511,ht:arrondissement:borgne,served_by,true
HT1517,ht:arrondissement:borgne,served_by,true
HT1520,ht:arrondissement:borgne,served_by,true
HT1521,ht:arrondissement:borgne,served_by,true
HT1522,ht:arrondissement:borgne,served_by,true
HT1610,ht:arrondissement:limbe,served_by,true
HT1611,ht:arrondissement:limbe,served_by,true
HT1620,ht:arrondissement:limbe,served_by,true
HT1710,ht:arrondissement:plaisance,served_by,true
HT1720,ht:arrondissement:plaisance,served_by,true
HT1723,ht:arrondissement:plaisance,served_by,true
HT2110,ht:arrondissement:fort-liberte,served_by,true
HT2111,ht:arrondissement:fort-liberte,served_by,true
HT2112,ht:arrondissement:fort-liberte,served_by,true
HT2120,ht:arrondissement:fort-liberte,served_by,true
HT2121,ht:arrondissement:fort-liberte,served_by,true
HT2130,ht:arrondissement:fort-liberte,served_by,true
HT2210,ht:arrondissement:ouanaminthe,served_by,true
HT2220,ht:arrondissement:ouanaminthe,served_by,true
HT2230,ht:arrondissement:ouanaminthe,served_by,true
HT2310,ht:arrondissement:trou-du-nord,served_by,true
HT2320,ht:arrondissement:trou-du-nord,served_by,true
HT2321,ht:arrondissement:trou-du-nord,served_by,true
HT2330,ht:arrondissement:trou-du-nord,served_by,true
HT2331,ht:arrondissement:trou-du-nord,served_by,true
HT2332,ht:arrondissement:trou-du-nord,served_by,true
HT2340,ht:arrondissement:trou-du-nord,served_by,true
HT2410,ht:arrondissement:vallieres,served_by,true
HT2411,ht:arrondissement:vallieres,served_by,true
HT2420,ht:arrondissement:vallieres,served_by,true
HT2430,ht:arrondissement:vallieres,served_by,true
