country_code,code
HT,HT1110
HT,HT1111
HT,HT1112
HT,HT1113
HT,HT1114
HT,HT1120
HT,HT1130
HT,HT1210
HT,HT1211
HT,HT1220
HT,HT1221
HT,HT1230
HT,HT1231
HT,HT1310
HT,HT1320
HT,HT1410
HT,HT1420
HT,HT1430
HT,HT1440
HT,HT1450
HT,HT1510
HT,HT1511
HT,HT1517
HT,HT1520
HT,HT1521
HT,HT1522
HT,HT1610
HT,HT1611
HT,HT1620
HT,HT1710
HT,HT1720
HT,HT1723
HT,HT2110
HT,HT2111
HT,HT2112
HT,HT2120
HT,HT2121
HT,HT2130
HT,HT2210
HT,HT2220
HT,HT2230
HT,HT2310
HT,HT2320
HT,HT2321
HT,HT2330
HT,HT2331
HT,HT2332
HT,HT2340
HT,HT2410
HT,HT2411
HT,HT2420
HT,HT2430
HT,HT2431
HT,HT3110
HT,HT3111
HT,HT3120
HT,HT3121
HT,HT3122
HT,HT3130
HT,HT3140
HT,HT3210
HT,HT3211
HT,HT3212
HT,HT3220
HT,HT3310
HT,HT3320
HT,HT3330
HT,HT3340
HT,HT4110
HT,HT4111
HT,HT4120
HT,HT4130
HT,HT4210
HT,HT4220
HT,HT4230
HT,HT4231
HT,HT4310
HT,HT4311
HT,HT4320
HT,HT4321
HT,HT4322
HT,HT4323
HT,HT4410
HT,HT4420
HT,HT4421
HT,HT4430
HT,HT4440
HT,HT4510
HT,HT4520
HT,HT4530
HT,HT5110
HT,HT5111
HT,HT5120
HT,HT5121
HT,HT5130
HT,HT5140
HT,HT5210
HT,HT5211
HT,HT5220
HT,HT5230
HT,HT5231
HT,HT5310
HT,HT5320
HT,HT5321
HT,HT5330
HT,HT5410
HT,HT5411
HT,HT5412
HT,HT5420
HT,HT6110
HT,HT6111
HT,HT6113
HT,HT6114
HT,HT6115
HT,HT6116
HT,HT6117
HT,HT6118
HT,HT6119
HT,HT6120
HT,HT6121
HT,HT6122
HT,HT6123
HT,HT6124
HT,HT6125
HT,HT6130
HT,HT6131
HT,HT6132
HT,HT6133
HT,HT6134
HT,HT6135
HT,HT6136
HT,HT6140
HT,HT6141
HT,HT6142
HT,HT6143
HT,HT6144
HT,HT6145
HT,HT6146
HT,HT6147
HT,HT6150
HT,HT6160
HT,HT6210
HT,HT6211
HT,HT6212
HT,HT6220
HT,HT6221
HT,HT6230
HT,HT6310
HT,HT6311
HT,HT6312
HT,HT6320
HT,HT6330
HT,HT6331
HT,HT6340
HT,HT6410
HT,HT6411
HT,HT6420
HT,HT6421
HT,HT6510
HT,HT6520
HT,HT7110
HT,HT7111
HT,HT7112
HT,HT7120
HT,HT7130
HT,HT7140
HT,HT7141
HT,HT7150
HT,HT7210
HT,HT7220
HT,HT7221
HT,HT7230
HT,HT7231
HT,HT7310
HT,HT7320
HT,HT7330
HT,HT7340
HT,HT7410
HT,HT7411
HT,HT7412
HT,HT7413
HT,HT7420
HT,HT7510
HT,HT7520
HT,HT7521
HT,HT7530
HT,HT7540
HT,HT8110
HT,HT8120
HT,HT8121
HT,HT8122
HT,HT8130
HT,HT8140
HT,HT8150
HT,HT8160
HT,HT8210
HT,HT8220
HT,HT8230
HT,HT8310
HT,HT8311
HT,HT8312
HT,HT8313
HT,HT8320
HT,HT8330
HT,HT8410
HT,HT8411
HT,HT8412
HT,HT8420
HT,HT8430
HT,HT8510
HT,HT8511
HT,HT8520
HT,HT8530
HT,HT8531
HT,HT9110
HT,HT9111
HT,HT9120
HT,HT9121
HT,HT9130
HT,HT9140
HT,HT9210
HT,HT9220
HT,HT9310
HT,HT9311
HT,HT9320
HT,HT9321
HT,HT9330
HT,HT9340
HT,HT9341
