source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
hn:department:atlantida,HN,department,Atlántida,,AT,,1,,
hn:department:islas-de-la-bahia,HN,department,Islas de la Bahía,,IB,,1,,
hn:department:choluteca,HN,department,Choluteca,,CH,,1,,
hn:department:colon,HN,department,Colón,,CL,,1,,
hn:department:comayagua,HN,department,Comayagua,,CM,,1,,
hn:department:copan,HN,department,Copán,,CP,,1,,
hn:department:cortes,HN,department,Cortés,,CR,,1,,
hn:department:el-paraiso,HN,department,El Paraíso,,EP,,1,,
hn:department:francisco-morazan,HN,department,Francisco Morazán,,FM,,1,,
hn:department:gracias-a-dios,HN,department,Gracias a Dios,,GD,,1,,
hn:department:intibuca,HN,department,Intibucá,,IN,,1,,
hn:department:la-paz,HN,department,La Paz,,LP,,1,,
hn:department:lempira,HN,department,Lempira,,LE,,1,,
hn:department:ocotepeque,HN,department,Ocotepeque,,OC,,1,,
hn:department:olancho,HN,department,Olancho,,OL,,1,,
hn:department:santa-barbara,HN,department,Santa Bárbara,,SB,,1,,
hn:department:valle,HN,department,Valle,,VA,,1,,
hn:department:yoro,HN,department,Yoro,,YO,,1,,
hn:municipality:arizona,HN,municipality,Arizona,,,hn:department:atlantida,2,,
hn:municipality:el-porvenir,HN,municipality,El Porvenir,,,hn:department:atlantida,2,,
hn:municipality:esparta,HN,municipality,Esparta,,,hn:department:atlantida,2,,
hn:municipality:jutiapa,HN,municipality,Jutiapa,,,hn:department:atlantida,2,,
hn:municipality:la-ceiba,HN,municipality,La Ceiba,,,hn:department:atlantida,2,,
hn:municipality:la-masica,HN,municipality,La Masica,,,hn:department:atlantida,2,,
hn:municipality:san-francisco,HN,municipality,San Francisco,,,hn:department:atlantida,2,,
hn:municipality:tela,HN,municipality,Tela,,,hn:department:atlantida,2,,
hn:municipality:apacilagua,HN,municipality,Apacilagua,,,hn:department:choluteca,2,,
hn:municipality:choluteca,HN,municipality,Choluteca,,,hn:department:choluteca,2,,
hn:municipality:concepcion-de-maria,HN,municipality,Concepción de María,,,hn:department:choluteca,2,,
hn:municipality:duyure,HN,municipality,Duyure,,,hn:department:choluteca,2,,
hn:municipality:el-corpus,HN,municipality,El Corpus,,,hn:department:choluteca,2,,
hn:municipality:el-triunfo,HN,municipality,El Triunfo,,,hn:department:choluteca,2,,
hn:municipality:marcovia,HN,municipality,Marcovia,,,hn:department:choluteca,2,,
hn:municipality:morolica,HN,municipality,Morolica,,,hn:department:choluteca,2,,
hn:municipality:namasigue,HN,municipality,Namasigüe,,,hn:department:choluteca,2,,
hn:municipality:orocuina,HN,municipality,Orocuina,,,hn:department:choluteca,2,,
hn:municipality:pespire,HN,municipality,Pespire,,,hn:department:choluteca,2,,
hn:municipality:san-antonio-de-flores,HN,municipality,San Antonio de Flores,,,hn:department:choluteca,2,,
hn:municipality:san-isidro,HN,municipality,San Isidro,,,hn:department:choluteca,2,,
hn:municipality:san-jose,HN,municipality,San José,,,hn:department:choluteca,2,,
hn:municipality:san-marcos-de-colon,HN,municipality,San Marcos de Colón,,,hn:department:choluteca,2,,
hn:municipality:santa-ana-de-yusguare,HN,municipality,Santa Ana de Yusguare,,,hn:department:choluteca,2,,
hn:municipality:balfate,HN,municipality,Balfate,,,hn:department:colon,2,,
hn:municipality:bonito-oriental,HN,municipality,Bonito Oriental,,,hn:department:colon,2,,
hn:municipality:iriona,HN,municipality,Iriona,,,hn:department:colon,2,,
hn:municipality:limon,HN,municipality,Limón,,,hn:department:colon,2,,
hn:municipality:saba,HN,municipality,Sabá,,,hn:department:colon,2,,
hn:municipality:santa-fe,HN,municipality,Santa Fe,,,hn:department:colon,2,,
hn:municipality:santa-rosa-de-aguan,HN,municipality,Santa Rosa de Aguán,,,hn:department:colon,2,,
hn:municipality:sonaguera,HN,municipality,Sonaguera,,,hn:department:colon,2,,
hn:municipality:tocoa,HN,municipality,Tocoa,,,hn:department:colon,2,,
hn:municipality:trujillo,HN,municipality,Trujillo,,,hn:department:colon,2,,
hn:municipality:ajuterique,HN,municipality,Ajuterique,,,hn:department:comayagua,2,,
hn:municipality:comayagua,HN,municipality,Comayagua,,,hn:department:comayagua,2,,
hn:municipality:el-rosario,HN,municipality,El Rosario,,,hn:department:comayagua,2,,
hn:municipality:esquias,HN,municipality,Esquías,,,hn:department:comayagua,2,,
hn:municipality:humuya,HN,municipality,Humuya,,,hn:department:comayagua,2,,
hn:municipality:la-libertad,HN,municipality,La Libertad,,,hn:department:comayagua,2,,
hn:municipality:lamani,HN,municipality,Lamaní,,,hn:department:comayagua,2,,
hn:municipality:las-lajas,HN,municipality,Las Lajas,,,hn:department:comayagua,2,,
hn:municipality:la-trinidad,HN,municipality,La Trinidad,,,hn:department:comayagua,2,,
hn:municipality:lejamani,HN,municipality,Lejamaní,,,hn:department:comayagua,2,,
hn:municipality:meambar,HN,municipality,Meámbar,,,hn:department:comayagua,2,,
hn:municipality:minas-de-oro,HN,municipality,Minas de Oro,,,hn:department:comayagua,2,,
hn:municipality:ojos-de-agua,HN,municipality,Ojos de Agua,,,hn:department:comayagua,2,,
hn:municipality:san-jeronimo,HN,municipality,San Jerónimo,,,hn:department:comayagua,2,,
hn:municipality:san-jose-de-comayagua,HN,municipality,San José de Comayagua,,,hn:department:comayagua,2,,
hn:municipality:san-jose-del-potrero,HN,municipality,San José del Potrero,,,hn:department:comayagua,2,,
hn:municipality:san-luis,HN,municipality,San Luis,,,hn:department:comayagua,2,,
hn:municipality:san-sebastian,HN,municipality,San Sebastián,,,hn:department:comayagua,2,,
hn:municipality:siguatepeque,HN,municipality,Siguatepeque,,,hn:department:comayagua,2,,
hn:municipality:taulabe,HN,municipality,Taulabe,,,hn:department:comayagua,2,,
hn:municipality:villa-de-san-antonio,HN,municipality,Villa de San Antonio,,,hn:department:comayagua,2,,
hn:municipality:cabanas,HN,municipality,Cabañas,,,hn:department:copan,2,,
hn:municipality:concepcion,HN,municipality,Concepción,,,hn:department:copan,2,,
hn:municipality:copan-ruinas,HN,municipality,Copán Ruinas,,,hn:department:copan,2,,
hn:municipality:corquin,HN,municipality,Corquín,,,hn:department:copan,2,,
hn:municipality:cucuyagua,HN,municipality,Cucuyagua,,,hn:department:copan,2,,
hn:municipality:dolores,HN,municipality,Dolores,,,hn:department:copan,2,,
hn:municipality:dulce-nombre,HN,municipality,Dulce Nombre,,,hn:department:copan,2,,
hn:municipality:el-paraiso,HN,municipality,El Paraíso,,,hn:department:copan,2,,
hn:municipality:florida,HN,municipality,Florida,,,hn:department:copan,2,,
hn:municipality:la-jigua,HN,municipality,La Jigua,,,hn:department:copan,2,,
hn:municipality:la-union,HN,municipality,La Unión,,,hn:department:copan,2,,
hn:municipality:nueva-arcadia,HN,municipality,Nueva Arcadia,,,hn:department:copan,2,,
hn:municipality:san-agustin,HN,municipality,San Agustín,,,hn:department:copan,2,,
hn:municipality:san-antonio,HN,municipality,San Antonio,,,hn:department:copan,2,,
hn:municipality:copan:san-jeronimo,HN,municipality,San Jerónimo,,,hn:department:copan,2,,
hn:municipality:copan:san-jose,HN,municipality,San José,,,hn:department:copan,2,,
hn:municipality:san-juan-de-opoa,HN,municipality,San Juan de Opoa,,,hn:department:copan,2,,
hn:municipality:san-nicolas,HN,municipality,San Nicolás,,,hn:department:copan,2,,
hn:municipality:san-pedro,HN,municipality,San Pedro,,,hn:department:copan,2,,
hn:municipality:santa-rita,HN,municipality,Santa Rita,,,hn:department:copan,2,,
hn:municipality:santa-rosa-de-copan,HN,municipality,Santa Rosa de Copán,,,hn:department:copan,2,,
hn:municipality:trinidad-de-copan,HN,municipality,Trinidad de Copán,,,hn:department:copan,2,,
hn:municipality:veracruz,HN,municipality,Veracruz,,,hn:department:copan,2,,
hn:municipality:choloma,HN,municipality,Choloma,,,hn:department:cortes,2,,
hn:municipality:la-lima,HN,municipality,La Lima,,,hn:department:cortes,2,,
hn:municipality:omoa,HN,municipality,Omoa,,,hn:department:cortes,2,,
hn:municipality:pimienta,HN,municipality,Pimienta,,,hn:department:cortes,2,,
hn:municipality:potrerillos,HN,municipality,Potrerillos,,,hn:department:cortes,2,,
hn:municipality:puerto-cortes,HN,municipality,Puerto Cortés,,,hn:department:cortes,2,,
hn:municipality:san-antonio-de-cortes,HN,municipality,San Antonio de Cortés,,,hn:department:cortes,2,,
hn:municipality:san-francisco-de-yojoa,HN,municipality,San Francisco de Yojoa,,,hn:department:cortes,2,,
hn:municipality:san-manuel,HN,municipality,San Manuel,,,hn:department:cortes,2,,
hn:municipality:san-pedro-sula,HN,municipality,San Pedro Sula,,,hn:department:cortes,2,,
hn:municipality:santa-cruz-de-yojoa,HN,municipality,Santa Cruz de Yojoa,,,hn:department:cortes,2,,
hn:municipality:villanueva,HN,municipality,Villanueva,,,hn:department:cortes,2,,
hn:municipality:alauca,HN,municipality,Alauca,,,hn:department:el-paraiso,2,,
hn:municipality:danli,HN,municipality,Danlí,,,hn:department:el-paraiso,2,,
hn:municipality:el-paraiso:el-paraiso,HN,municipality,El Paraíso,,,hn:department:el-paraiso,2,,
hn:municipality:guinope,HN,municipality,Güinope,,,hn:department:el-paraiso,2,,
hn:municipality:jacaleapa,HN,municipality,Jacaleapa,,,hn:department:el-paraiso,2,,
hn:municipality:liure,HN,municipality,Liure,,,hn:department:el-paraiso,2,,
hn:municipality:moroceli,HN,municipality,Morocelí,,,hn:department:el-paraiso,2,,
hn:municipality:oropoli,HN,municipality,Oropolí,,,hn:department:el-paraiso,2,,
hn:municipality:el-paraiso:potrerillos,HN,municipality,Potrerillos,,,hn:department:el-paraiso,2,,
hn:municipality:el-paraiso:san-antonio-de-flores,HN,municipality,San Antonio de Flores,,,hn:department:el-paraiso,2,,
hn:municipality:san-lucas,HN,municipality,San Lucas,,,hn:department:el-paraiso,2,,
hn:municipality:san-matias,HN,municipality,San Matías,,,hn:department:el-paraiso,2,,
hn:municipality:soledad,HN,municipality,Soledad,,,hn:department:el-paraiso,2,,
hn:municipality:teupasenti,HN,municipality,Teupasenti,,,hn:department:el-paraiso,2,,
hn:municipality:texiguat,HN,municipality,Texiguat,,,hn:department:el-paraiso,2,,
hn:municipality:trojes,HN,municipality,Trojes,,,hn:department:el-paraiso,2,,
hn:municipality:vado-ancho,HN,municipality,Vado Ancho,,,hn:department:el-paraiso,2,,
hn:municipality:yauyupe,HN,municipality,Yauyupe,,,hn:department:el-paraiso,2,,
