source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
hk:district:central-and-western,HK,district,Central and Western,,HCW,,1,,
hk:district:eastern,HK,district,Eastern,,HEA,,1,,
hk:district:islands,HK,district,Islands,,NIS,,1,,
hk:district:kowloon-city,HK,district,Kowloon City,,KKC,,1,,
hk:district:kwai-tsing,HK,district,Kwai Tsing,,NKT,,1,,
hk:district:kwun-tong,HK,district,Kwun Tong,,KKT,,1,,
hk:district:north,HK,district,North,,NNO,,1,,
hk:district:sai-kung,HK,district,Sai Kung,,NSK,,1,,
hk:district:sha-tin,HK,district,Sha Tin,,NST,,1,,
hk:district:sham-shui-po,HK,district,Sham Shui Po,,KSS,,1,,
hk:district:southern,HK,district,Southern,,HSO,,1,,
hk:district:tai-po,HK,district,Tai Po,,NTP,,1,,
hk:district:tsuen-wan,HK,district,Tsuen Wan,,NTW,,1,,
hk:district:tuen-mun,HK,district,Tuen Mun,,NTM,,1,,
hk:district:wan-chai,HK,district,Wan Chai,,HWC,,1,,
hk:district:wong-tai-sin,HK,district,Wong Tai Sin,,KWT,,1,,
hk:district:yau-tsim-mong,HK,district,Yau Tsim Mong,,KYT,,1,,
hk:district:yuen-long,HK,district,Yuen Long,,NYL,,1,,
