source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
is:municipality:akranes,IS,municipality,Akranes,,AKN,,1,,
is:municipality:akureyri,IS,municipality,Akureyri,,AKU,,1,,
is:municipality:arborg,IS,municipality,Árborg,,SFA,,1,,
is:municipality:arneshreppur,IS,municipality,Árneshreppur,,ARN,,1,,
is:municipality:asahreppur,IS,municipality,Ásahreppur,,ASA,,1,,
is:municipality:blaskogabygg,IS,municipality,Bláskógabyggð,,BLA,,1,,
is:municipality:bolungarvik,IS,municipality,Bolungarvík,,BOL,,1,,
is:municipality:borgarbygg,IS,municipality,Borgarbyggð,,BOG,,1,,
is:region:capital,IS,region,Capital,,1,,1,,
is:municipality:dalabygg,IS,municipality,Dalabyggð,,DAB,,1,,
is:municipality:dalvikurbygg,IS,municipality,Dalvíkurbyggð,,DAV,,1,,
is:region:eastern,IS,region,Eastern,,7,,1,,
is:municipality:eyja-og-miklaholtshreppur,IS,municipality,Eyja- og Miklaholtshreppur,,EOM,,1,,
is:municipality:eyjafjararsveit,IS,municipality,Eyjafjarðarsveit,,EYF,,1,,
is:municipality:fjallabygg,IS,municipality,Fjallabyggð,,FJL,,1,,
is:municipality:fjarabygg,IS,municipality,Fjarðabyggð,,FJD,,1,,
is:municipality:fljotsdalshreppur,IS,municipality,Fljótsdalshreppur,,FLR,,1,,
is:municipality:floahreppur,IS,municipality,Flóahreppur,,FLA,,1,,
is:municipality:garabr,IS,municipality,Garðabær,,GAR,,1,,
is:municipality:grimsnes-og-grafningshreppur,IS,municipality,Grímsnes- og Grafningshreppur,,GOG,,1,,
is:municipality:grindavik,IS,municipality,Grindavík,,GRN,,1,,
is:municipality:grundarfjorur,IS,municipality,Grundarfjörður,,GRU,,1,,
is:municipality:grytubakkahreppur,IS,municipality,Grýtubakkahreppur,,GRY,,1,,
is:municipality:hafnarfjorur,IS,municipality,Hafnarfjörður,,HAF,,1,,
is:municipality:horarsveit,IS,municipality,Hörðarsveit,,HRG,,1,,
is:municipality:hornafjorur,IS,municipality,Hornafjörður,,SHF,,1,,
is:municipality:hrunamannahreppur,IS,municipality,Hrunamannahreppur,,HRU,,1,,
is:municipality:hunabygg,IS,municipality,Húnabyggð,,HUG,,1,,
is:municipality:hunaing-vestra,IS,municipality,Húnaþing vestra,,HUV,,1,,
is:municipality:hvalfjararsveit,IS,municipality,Hvalfjarðarsveit,,HVA,,1,,
is:municipality:hverageri,IS,municipality,Hveragerði,,HVE,,1,,
is:municipality:isafjorur,IS,municipality,Ísafjörður,,ISA,,1,,
is:municipality:kaldrananeshreppur,IS,municipality,Kaldrananeshreppur,,KAL,,1,,
is:municipality:kjosarhreppur,IS,municipality,Kjósarhreppur,,KJO,,1,,
is:municipality:kopavogur,IS,municipality,Kópavogur,,KOP,,1,,
is:municipality:langanesbygg,IS,municipality,Langanesbyggð,,LAN,,1,,
is:municipality:mosfellsbr,IS,municipality,Mosfellsbær,,MOS,,1,,
is:municipality:mulaing,IS,municipality,Múlaþing,,MUL,,1,,
is:municipality:myrdalshreppur,IS,municipality,Mýrdalshreppur,,MYR,,1,,
is:municipality:noruring,IS,municipality,Norðurþing,,NOR,,1,,
is:region:northeastern,IS,region,Northeastern,,6,,1,,
is:region:northwestern,IS,region,Northwestern,,5,,1,,
is:municipality:olfus,IS,municipality,Ölfus,,SOL,,1,,
is:municipality:rangaring-eystra,IS,municipality,Rangárþing eystra,,RGE,,1,,
is:municipality:rangaring-ytra,IS,municipality,Rangárþing ytra,,RGY,,1,,
is:municipality:reykholahreppur,IS,municipality,Reykhólahreppur,,RHH,,1,,
is:municipality:reykjanesbr,IS,municipality,Reykjanesbær,,RKN,,1,,
is:municipality:reykjavik,IS,municipality,Reykjavík,,RKV,,1,,
is:municipality:seltjarnarnes,IS,municipality,Seltjarnarnes,,SEL,,1,,
is:municipality:skaftarhreppur,IS,municipality,Skaftárhreppur,,SKF,,1,,
is:municipality:skagabygg,IS,municipality,Skagabyggð,,SKG,,1,,
is:municipality:skagafjorur,IS,municipality,Skagafjörður,,SKR,,1,,
is:municipality:skagastrond,IS,municipality,Skagaströnd,,SSS,,1,,
is:municipality:skeia-og-gnupverjahreppur,IS,municipality,Skeiða- og Gnúpverjahreppur,,SOG,,1,,
is:municipality:skorradalshreppur,IS,municipality,Skorradalshreppur,,SKO,,1,,
is:municipality:snfellsbr,IS,municipality,Snæfellsbær,,SNF,,1,,
is:region:southern,IS,region,Southern,,8,,1,,
is:region:southern-peninsula,IS,region,Southern Peninsula,,2,,1,,
is:municipality:strandabygg,IS,municipality,Strandabyggð,,STR,,1,,
is:municipality:stykkisholmur,IS,municipality,Stykkishólmur,,STY,,1,,
is:municipality:suavik,IS,municipality,Súðavík,,SDV,,1,,
is:municipality:suurnesjabr,IS,municipality,Suðurnesjabær,,SDN,,1,,
is:municipality:svalbardsstrandarhreppur,IS,municipality,Svalbardsstrandarhreppur,,SBT,,1,,
is:municipality:talknafjararhreppur,IS,municipality,Tálknafjarðarhreppur,,TAL,,1,,
is:municipality:tjorneshreppur,IS,municipality,Tjörneshreppur,,TJO,,1,,
is:municipality:vestmannaeyjar,IS,municipality,Vestmannaeyjar,,VEM,,1,,
is:municipality:vesturbygg,IS,municipality,Vesturbyggð,,VER,,1,,
is:municipality:vogar,IS,municipality,Vogar,,SVG,,1,,
is:municipality:vopnafjararhreppur,IS,municipality,Vopnafjarðarhreppur,,VOP,,1,,
is:region:western,IS,region,Western,,3,,1,,
is:region:westfjords,IS,region,Westfjords,,4,,1,,
is:municipality:ingeyjarsveit,IS,municipality,Þingeyjarsveit,,THG,,1,,
