postcode,area_source_id,relationship_type,is_primary
101,is:municipality:reykjavik,served_by,true
102,is:municipality:reykjavik,served_by,true
103,is:municipality:reykjavik,served_by,true
104,is:municipality:reykjavik,served_by,true
105,is:municipality:reykjavik,served_by,true
107,is:municipality:reykjavik,served_by,true
108,is:municipality:reykjavik,served_by,true
109,is:municipality:reykjavik,served_by,true
110,is:municipality:reykjavik,served_by,true
111,is:municipality:reykjavik,served_by,true
112,is:municipality:reykjavik,served_by,true
113,is:municipality:reykjavik,served_by,true
116,is:municipality:reykjavik,served_by,true
161,is:municipality:reykjavik,served_by,true
162,is:municipality:reykjavik,served_by,true
170,is:municipality:seltjarnarnes,served_by,true
190,is:municipality:vogar,served_by,true
191,is:municipality:vogar,served_by,true
200,is:municipality:kopavogur,served_by,true
201,is:municipality:kopavogur,served_by,true
203,is:municipality:kopavogur,served_by,true
206,is:municipality:kopavogur,served_by,true
210,is:municipality:garabr,served_by,true
220,is:municipality:hafnarfjorur,served_by,true
221,is:municipality:hafnarfjorur,served_by,true
225,is:municipality:garabr,served_by,true
230,is:municipality:reykjanesbr,served_by,true
233,is:municipality:reykjanesbr,served_by,true
235,is:municipality:reykjanesbr,served_by,true
240,is:municipality:grindavik,served_by,true
241,is:municipality:grindavik,served_by,true
245,is:municipality:suurnesjabr,served_by,true
246,is:municipality:suurnesjabr,served_by,true
250,is:municipality:suurnesjabr,served_by,true
251,is:municipality:suurnesjabr,served_by,true
260,is:municipality:reykjanesbr,served_by,true
262,is:municipality:reykjanesbr,served_by,true
270,is:municipality:mosfellsbr,served_by,true
271,is:municipality:mosfellsbr,served_by,true
276,is:municipality:hvalfjararsveit,served_by,false
276,is:municipality:kjosarhreppur,served_by,true
300,is:municipality:akranes,served_by,true
301,is:municipality:akranes,served_by,true
310,is:municipality:borgarbygg,served_by,true
311,is:municipality:borgarbygg,served_by,true
320,is:municipality:borgarbygg,served_by,true
340,is:municipality:stykkisholmur,served_by,true
341,is:municipality:stykkisholmur,served_by,true
342,is:municipality:eyja-og-miklaholtshreppur,served_by,true
345,is:municipality:reykholahreppur,served_by,true
350,is:municipality:grundarfjorur,served_by,true
351,is:municipality:grundarfjorur,served_by,true
355,is:municipality:snfellsbr,served_by,true
356,is:municipality:snfellsbr,served_by,true
360,is:municipality:snfellsbr,served_by,true
370,is:municipality:dalabygg,served_by,true
371,is:municipality:dalabygg,served_by,true
380,is:municipality:reykholahreppur,served_by,true
381,is:municipality:reykholahreppur,served_by,true
400,is:municipality:isafjorur,served_by,true
401,is:municipality:isafjorur,served_by,true
410,is:municipality:isafjorur,served_by,true
415,is:municipality:bolungarvik,served_by,true
416,is:municipality:bolungarvik,served_by,true
420,is:municipality:suavik,served_by,true
421,is:municipality:suavik,served_by,true
425,is:municipality:isafjorur,served_by,true
426,is:municipality:isafjorur,served_by,true
430,is:municipality:isafjorur,served_by,true
431,is:municipality:isafjorur,served_by,true
450,is:municipality:vesturbygg,served_by,true
451,is:municipality:vesturbygg,served_by,true
460,is:municipality:vesturbygg,served_by,true
461,is:municipality:vesturbygg,served_by,true
465,is:municipality:vesturbygg,served_by,true
466,is:municipality:vesturbygg,served_by,true
470,is:municipality:isafjorur,served_by,true
471,is:municipality:isafjorur,served_by,true
500,is:municipality:hunaing-vestra,served_by,true
510,is:municipality:strandabygg,served_by,true
511,is:municipality:strandabygg,served_by,true
520,is:municipality:kaldrananeshreppur,served_by,true
524,is:municipality:arneshreppur,served_by,true
530,is:municipality:hunaing-vestra,served_by,true
531,is:municipality:hunaing-vestra,served_by,true
540,is:municipality:hunabygg,served_by,true
541,is:municipality:hunabygg,served_by,true
545,is:municipality:skagastrond,served_by,true
546,is:municipality:skagastrond,served_by,true
550,is:municipality:skagafjorur,served_by,true
551,is:municipality:skagafjorur,served_by,true
560,is:municipality:skagafjorur,served_by,true
561,is:municipality:skagafjorur,served_by,true
565,is:municipality:skagafjorur,served_by,true
566,is:municipality:skagafjorur,served_by,true
570,is:municipality:skagafjorur,served_by,true
580,is:municipality:fjallabygg,served_by,true
581,is:municipality:fjallabygg,served_by,true
600,is:municipality:akureyri,served_by,true
601,is:municipality:akureyri,served_by,true
603,is:municipality:akureyri,served_by,true
604,is:municipality:horgarsveit,served_by,true
