postcode,area_source_id,relationship_type,is_primary
110001,in:district:77,served_by,true
110002,in:district:77,served_by,true
110003,in:district:77,served_by,true
110004,in:district:77,served_by,true
110005,in:district:77,served_by,true
110006,in:district:80,served_by,true
110007,in:district:80,served_by,true
110008,in:district:77,served_by,true
110009,in:district:82,served_by,true
110010,in:district:84,served_by,true
110011,in:district:77,served_by,true
110012,in:district:77,served_by,true
110013,in:district:795,served_by,true
110014,in:district:795,served_by,true
110015,in:district:85,served_by,true
110016,in:district:84,served_by,true
110017,in:district:795,served_by,true
110018,in:district:85,served_by,true
110019,in:district:795,served_by,true
110020,in:district:795,served_by,true
110021,in:district:84,served_by,true
110022,in:district:84,served_by,true
110023,in:district:84,served_by,true
110024,in:district:795,served_by,true
110025,in:district:795,served_by,true
110026,in:district:85,served_by,true
110027,in:district:85,served_by,true
110028,in:district:84,served_by,true
110029,in:district:84,served_by,true
110030,in:district:84,served_by,true
110031,in:district:78,served_by,true
110032,in:district:78,served_by,true
110033,in:district:82,served_by,true
110034,in:district:82,served_by,true
110035,in:district:82,served_by,true
110036,in:district:82,served_by,true
110037,in:district:84,served_by,true
110038,in:district:84,served_by,true
110039,in:district:82,served_by,true
110040,in:district:82,served_by,true
110041,in:district:85,served_by,true
110042,in:district:82,served_by,true
110043,in:district:84,served_by,true
110044,in:district:795,served_by,true
110045,in:district:84,served_by,true
110045,in:district:85,served_by,false
110046,in:district:84,served_by,true
110047,in:district:84,served_by,true
110048,in:district:795,served_by,true
110049,in:district:795,served_by,true
110050,in:district:795,served_by,true
110051,in:district:78,served_by,true
110052,in:district:82,served_by,true
110053,in:district:78,served_by,true
110054,in:district:80,served_by,true
110055,in:district:77,served_by,true
110056,in:district:82,served_by,true
110057,in:district:84,served_by,true
110058,in:district:85,served_by,true
110059,in:district:85,served_by,true
110060,in:district:77,served_by,true
110061,in:district:84,served_by,true
110062,in:district:795,served_by,true
110063,in:district:85,served_by,true
110064,in:district:85,served_by,true
110064,in:district:84,served_by,false
110065,in:district:795,served_by,true
110066,in:district:84,served_by,true
110067,in:district:84,served_by,true
110068,in:district:84,served_by,true
110069,in:district:77,served_by,true
110070,in:district:84,served_by,true
110071,in:district:84,served_by,true
110072,in:district:84,served_by,true
110073,in:district:84,served_by,true
110074,in:district:84,served_by,true
110075,in:district:84,served_by,true
110076,in:district:795,served_by,true
110077,in:district:84,served_by,true
110078,in:district:85,served_by,true
110078,in:district:84,served_by,false
110080,in:district:795,served_by,true
110081,in:district:82,served_by,true
110082,in:district:82,served_by,true
110083,in:district:82,served_by,true
110084,in:district:80,served_by,true
110085,in:district:82,served_by,true
110086,in:district:82,served_by,true
110087,in:district:85,served_by,true
110088,in:district:82,served_by,true
110089,in:district:82,served_by,true
110090,in:district:78,served_by,true
110090,in:district:81,served_by,false
110091,in:district:78,served_by,true
110092,in:district:78,served_by,true
110093,in:district:78,served_by,true
110093,in:district:81,served_by,false
110094,in:district:78,served_by,true
110095,in:district:78,served_by,true
110096,in:district:78,served_by,true
110097,in:district:84,served_by,true
110098,in:district:79,served_by,true
110100,in:district:77,served_by,true
121001,in:district:60,served_by,true
121002,in:district:60,served_by,true
121003,in:district:60,served_by,true
121004,in:district:60,served_by,true
121005,in:district:60,served_by,true
121006,in:district:60,served_by,true
121007,in:district:60,served_by,true
121008,in:district:60,served_by,true
121009,in:district:60,served_by,true
121010,in:district:60,served_by,true
121012,in:district:60,served_by,true
121013,in:district:60,served_by,true
121014,in:district:60,served_by,true
121015,in:district:60,served_by,true
121101,in:district:60,served_by,true
121102,in:district:60,served_by,true
121103,in:district:60,served_by,true
121105,in:district:60,served_by,true
121106,in:district:60,served_by,true
121107,in:district:60,served_by,true
122001,in:district:62,served_by,true
122002,in:district:62,served_by,true
122003,in:district:62,served_by,true
122004,in:district:62,served_by,true
122005,in:district:62,served_by,true
122006,in:district:62,served_by,true
122007,in:district:62,served_by,true
122008,in:district:62,served_by,true
122009,in:district:62,served_by,true
122010,in:district:62,served_by,true
122011,in:district:62,served_by,true
122012,in:district:62,served_by,true
122015,in:district:62,served_by,true
122016,in:district:62,served_by,true
122017,in:district:62,served_by,true
122018,in:district:62,served_by,true
122051,in:district:62,served_by,true
122052,in:district:62,served_by,true
122098,in:district:62,served_by,true
122101,in:district:62,served_by,true
122102,in:district:62,served_by,true
122103,in:district:62,served_by,true
122104,in:district:62,served_by,true
122105,in:district:62,served_by,true
122107,in:district:62,served_by,true
122108,in:district:62,served_by,true
122413,in:district:62,served_by,true
122414,in:district:62,served_by,true
122502,in:district:62,served_by,true
122503,in:district:62,served_by,true
122504,in:district:62,served_by,true
122505,in:district:62,served_by,true
122506,in:district:62,served_by,true
122508,in:district:62,served_by,true
123001,in:district:69,served_by,true
123021,in:district:69,served_by,true
123023,in:district:69,served_by,true
123024,in:district:69,served_by,true
123027,in:district:69,served_by,true
123028,in:district:69,served_by,true
123029,in:district:69,served_by,true
123031,in:district:69,served_by,true
123034,in:district:72,served_by,true
123034,in:district:69,served_by,false
123035,in:district:72,served_by,true
123101,in:district:72,served_by,true
123102,in:district:72,served_by,true
123103,in:district:72,served_by,true
123106,in:district:72,served_by,true
123110,in:district:72,served_by,true
123301,in:district:72,served_by,true
123302,in:district:72,served_by,true
123303,in:district:69,served_by,true
123401,in:district:72,served_by,true
123411,in:district:72,served_by,true
123412,in:district:72,served_by,true
123501,in:district:72,served_by,true
124001,in:district:73,served_by,true
124010,in:district:73,served_by,true
124021,in:district:73,served_by,true
124022,in:district:73,served_by,true
124102,in:district:64,served_by,true
124103,in:district:64,served_by,true
124104,in:district:64,served_by,true
124105,in:district:64,served_by,true
124106,in:district:64,served_by,true
124107,in:district:64,served_by,true
124108,in:district:64,served_by,true
124109,in:district:64,served_by,true
124111,in:district:73,served_by,true
124112,in:district:73,served_by,true
124113,in:district:73,served_by,true
124141,in:district:73,served_by,true
124142,in:district:64,served_by,true
124146,in:district:64,served_by,true
124201,in:district:64,served_by,true
124202,in:district:64,served_by,true
124303,in:district:73,served_by,true
124401,in:district:73,served_by,true
124404,in:district:73,served_by,true
124406,in:district:73,served_by,true
124411,in:district:73,served_by,true
124412,in:district:73,served_by,true
124501,in:district:73,served_by,true
124504,in:district:64,served_by,true
124505,in:district:64,served_by,true
124506,in:district:64,served_by,true
124507,in:district:64,served_by,true
124508,in:district:64,served_by,true
124513,in:district:73,served_by,true
124514,in:district:73,served_by,true
125001,in:district:63,served_by,true
125004,in:district:63,served_by,true
125005,in:district:63,served_by,true
125006,in:district:63,served_by,true
125007,in:district:63,served_by,true
