country_code,code
IN,110001
IN,110002
IN,110003
IN,110004
IN,110005
IN,110006
IN,110007
IN,110008
IN,110009
IN,110010
IN,110011
IN,110012
IN,110013
IN,110014
IN,110015
IN,110016
IN,110017
IN,110018
IN,110019
IN,110020
IN,110021
IN,110022
IN,110023
IN,110024
IN,110025
IN,110026
IN,110027
IN,110028
IN,110029
IN,110030
IN,110031
IN,110032
IN,110033
IN,110034
IN,110035
IN,110036
IN,110037
IN,110038
IN,110039
IN,110040
IN,110041
IN,110042
IN,110043
IN,110044
IN,110045
IN,110046
IN,110047
IN,110048
IN,110049
IN,110050
IN,110051
IN,110052
IN,110053
IN,110054
IN,110055
IN,110056
IN,110057
IN,110058
IN,110059
IN,110060
IN,110061
IN,110062
IN,110063
IN,110064
IN,110065
IN,110066
IN,110067
IN,110068
IN,110069
IN,110070
IN,110071
IN,110072
IN,110073
IN,110074
IN,110075
IN,110076
IN,110077
IN,110078
IN,110080
IN,110081
IN,110082
IN,110083
IN,110084
IN,110085
IN,110086
IN,110087
IN,110088
IN,110089
IN,110090
IN,110091
IN,110092
IN,110093
IN,110094
IN,110095
IN,110096
IN,110097
IN,110098
IN,110100
IN,121001
IN,121002
IN,121003
IN,121004
IN,121005
IN,121006
IN,121007
IN,121008
IN,121009
IN,121010
IN,121012
IN,121013
IN,121014
IN,121015
IN,121101
IN,121102
IN,121103
IN,121105
IN,121106
IN,121107
IN,122001
IN,122002
IN,122003
IN,122004
IN,122005
IN,122006
IN,122007
IN,122008
IN,122009
IN,122010
IN,122011
IN,122012
IN,122015
IN,122016
IN,122017
IN,122018
IN,122051
IN,122052
IN,122098
IN,122101
IN,122102
IN,122103
IN,122104
IN,122105
IN,122107
IN,122108
IN,122413
IN,122414
IN,122502
IN,122503
IN,122504
IN,122505
IN,122506
IN,122508
IN,123001
IN,123021
IN,123023
IN,123024
IN,123027
IN,123028
IN,123029
IN,123031
IN,123034
IN,123035
IN,123101
IN,123102
IN,123103
IN,123106
IN,123110
IN,123301
IN,123302
IN,123303
IN,123401
IN,123411
IN,123412
IN,123501
IN,124001
IN,124010
IN,124021
IN,124022
IN,124102
IN,124103
IN,124104
IN,124105
IN,124106
IN,124107
IN,124108
IN,124109
IN,124111
IN,124112
IN,124113
IN,124141
IN,124142
IN,124146
IN,124201
IN,124202
IN,124303
IN,124401
IN,124404
IN,124406
IN,124411
IN,124412
IN,124501
IN,124504
IN,124505
IN,124506
IN,124507
IN,124508
IN,124513
IN,124514
IN,125001
IN,125004
IN,125005
IN,125006
IN,125007
IN,125011
IN,125033
IN,125037
IN,125038
IN,125039
IN,125042
IN,125044
IN,125047
IN,125048
IN,125049
IN,125050
IN,125051
IN,125052
IN,125053
IN,125054
IN,125055
IN,125056
IN,125058
IN,125060
IN,125075
IN,125076
IN,125077
IN,125078
IN,125101
IN,125102
IN,125103
IN,125104
IN,125106
IN,125110
IN,125111
IN,125112
IN,125113
IN,125120
IN,125121
IN,125133
IN,125201
IN,126101
IN,126102
IN,126110
IN,126111
IN,126112
IN,126113
IN,126114
IN,126115
IN,126116
IN,126125
IN,126152
IN,127021
IN,127022
IN,127025
IN,127026
IN,127027
IN,127028
IN,127029
IN,127030
IN,127031
IN,127032
IN,127035
IN,127040
IN,127041
IN,127042
IN,127043
IN,127045
IN,127046
IN,127111
IN,127114
IN,127201
IN,127306
IN,127307
IN,127308
IN,127309
IN,127310
IN,127311
IN,127312
IN,131001
IN,131021
IN,131022
IN,131023
IN,131024
IN,131027
IN,131028
IN,131029
IN,131030
IN,131039
IN,131101
IN,131102
IN,131103
IN,131301
IN,131302
IN,131304
IN,131305
IN,131306
IN,131402
IN,131403
IN,131408
IN,131409
IN,132001
IN,132022
IN,132023
IN,132024
IN,132036
IN,132037
IN,132039
IN,132040
IN,132041
IN,132046
IN,132054
IN,132101
IN,132102
IN,132103
IN,132104
IN,132105
IN,132106
IN,132107
IN,132108
IN,132113
IN,132114
IN,132115
IN,132116
IN,132117
IN,132122
IN,132140
IN,132145
IN,132157
IN,133001
IN,133004
IN,133005
IN,133006
IN,133008
IN,133010
IN,133101
IN,133102
IN,133103
IN,133104
