source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
id:village:1101012001,ID,village,Keude Bakongan,,1101012001,id:district:110101,4,,
id:village:1101012002,ID,village,Ujong Mangki,,1101012002,id:district:110101,4,,
id:village:1101012003,ID,village,Ujong Padang,,1101012003,id:district:110101,4,,
id:village:1101012004,ID,village,Gampong Drien,,1101012004,id:district:110101,4,,
id:village:1101012015,ID,village,Darul Ikhsan,,1101012015,id:district:110101,4,,
id:village:1101012016,ID,village,Padang Beurahan,,1101012016,id:district:110101,4,,
id:village:1101012017,ID,village,Gampong Baro,,1101012017,id:district:110101,4,,
id:village:1101022001,ID,village,Fajar Harapan,,1101022001,id:district:110102,4,,
id:village:1101022002,ID,village,Krueng Batee,,1101022002,id:district:110102,4,,
id:village:1101022003,ID,village,Pasi Kuala Asahan,,1101022003,id:district:110102,4,,
id:village:1101022004,ID,village,Gunong Pulo,,1101022004,id:district:110102,4,,
id:village:1101022005,ID,village,Pulo Ie I,,1101022005,id:district:110102,4,,
id:village:1101022006,ID,village,Jambo Manyang,,1101022006,id:district:110102,4,,
id:village:1101022007,ID,village,Simpang Empat,,1101022007,id:district:110102,4,,
id:village:1101022008,ID,village,Limau Purut,,1101022008,id:district:110102,4,,
id:village:1101022009,ID,village,Pulo Kambing,,1101022009,id:district:110102,4,,
id:village:1101022010,ID,village,Kampung Paya,,1101022010,id:district:110102,4,,
id:village:1101022011,ID,village,Krueng Batu,,1101022011,id:district:110102,4,,
id:village:1101022012,ID,village,Krueng Kluet,,1101022012,id:district:110102,4,,
id:village:1101022013,ID,village,Alur Mas,,1101022013,id:district:110102,4,,
id:village:1101022014,ID,village,Kampung Tinggi,,1101022014,id:district:110102,4,,
id:village:1101022015,ID,village,Ruak,,1101022015,id:district:110102,4,,
id:village:1101022016,ID,village,Simpang Lhee,,1101022016,id:district:110102,4,,
id:village:1101022017,ID,village,Suaq Geuringgeng,,1101022017,id:district:110102,4,,
id:village:1101022018,ID,village,Pasi Kuala Ba'u,,1101022018,id:district:110102,4,,
id:village:1101022019,ID,village,Kedai Padang,,1101022019,id:district:110102,4,,
id:village:1101022020,ID,village,Kotafajar,,1101022020,id:district:110102,4,,
id:village:1101022021,ID,village,Gunung Pudung,,1101022021,id:district:110102,4,,
id:village:1101032001,ID,village,Suaq Bakung,,1101032001,id:district:110103,4,,
id:village:1101032002,ID,village,Rantau Binuang,,1101032002,id:district:110103,4,,
id:village:1101032003,ID,village,Barat Daya,,1101032003,id:district:110103,4,,
id:village:1101032004,ID,village,Sialang,,1101032004,id:district:110103,4,,
id:village:1101032005,ID,village,Kapeh,,1101032005,id:district:110103,4,,
id:village:1101032006,ID,village,Pulo Ie,,1101032006,id:district:110103,4,,
id:village:1101032007,ID,village,Kedai Runding,,1101032007,id:district:110103,4,,
id:village:1101032008,ID,village,Kedai Kandang,,1101032008,id:district:110103,4,,
id:village:1101032009,ID,village,Gampong Luar,,1101032009,id:district:110103,4,,
id:village:1101032010,ID,village,Ujung,,1101032010,id:district:110103,4,,
id:village:1101032011,ID,village,Jua,,1101032011,id:district:110103,4,,
id:village:1101032012,ID,village,Pasi Meurapat,,1101032012,id:district:110103,4,,
id:village:1101032013,ID,village,Ujung Pasir,,1101032013,id:district:110103,4,,
id:village:1101032014,ID,village,Geulumbuk,,1101032014,id:district:110103,4,,
id:village:1101032015,ID,village,Pasie Lembang,,1101032015,id:district:110103,4,,
id:village:1101032016,ID,village,Ujung Padang,,1101032016,id:district:110103,4,,
id:village:1101032017,ID,village,Indra Damai,,1101032017,id:district:110103,4,,
id:village:1101042001,ID,village,Bakau Hulu,,1101042001,id:district:110104,4,,
id:village:1101042002,ID,village,Padang Bakau,,1101042002,id:district:110104,4,,
id:village:1101042003,ID,village,Manggis Harapan,,1101042003,id:district:110104,4,,
id:village:1101042004,ID,village,Pasar Lama,,1101042004,id:district:110104,4,,
id:village:1101042005,ID,village,Apha,,1101042005,id:district:110104,4,,
id:village:1101042006,ID,village,Ujung Batu,,1101042006,id:district:110104,4,,
id:village:1101042007,ID,village,Pawoh,,1101042007,id:district:110104,4,,
id:village:1101042008,ID,village,Dalam,,1101042008,id:district:110104,4,,
id:village:1101042009,ID,village,Kota Palak,,1101042009,id:district:110104,4,,
id:village:1101042010,ID,village,Cacang,,1101042010,id:district:110104,4,,
id:village:1101042011,ID,village,Tengah Pisang,,1101042011,id:district:110104,4,,
id:village:1101042012,ID,village,Pisang,,1101042012,id:district:110104,4,,
id:village:1101042013,ID,village,Hulu Pisang,,1101042013,id:district:110104,4,,
id:village:1101042014,ID,village,Tengah Baru,,1101042014,id:district:110104,4,,
id:village:1101042015,ID,village,Lembah Baru,,1101042015,id:district:110104,4,,
id:village:1101042016,ID,village,Padang Baru,,1101042016,id:district:110104,4,,
id:village:1101052001,ID,village,Kuta Buloh II,,1101052001,id:district:110105,4,,
id:village:1101052002,ID,village,Kuta Buloh I,,1101052002,id:district:110105,4,,
id:village:1101052003,ID,village,Ie Dingen,,1101052003,id:district:110105,4,,
id:village:1101052004,ID,village,Drien Jalo,,1101052004,id:district:110105,4,,
id:village:1101052005,ID,village,Jambo Papeun,,1101052005,id:district:110105,4,,
id:village:1101052006,ID,village,Buket Meuh,,1101052006,id:district:110105,4,,
id:village:1101052007,ID,village,Blang Kuala,,1101052007,id:district:110105,4,,
id:village:1101052008,ID,village,Rot Teungoh,,1101052008,id:district:110105,4,,
id:village:1101052009,ID,village,Alue Baro,,1101052009,id:district:110105,4,,
id:village:1101052010,ID,village,Ladang Tuha,,1101052010,id:district:110105,4,,
id:village:1101052011,ID,village,Lhok Mamplam,,1101052011,id:district:110105,4,,
id:village:1101052012,ID,village,Arun Tunggai,,1101052012,id:district:110105,4,,
id:village:1101052013,ID,village,Blang Teungoh,,1101052013,id:district:110105,4,,
id:village:1101052014,ID,village,Blang Bladeh,,1101052014,id:district:110105,4,,
id:village:1101052015,ID,village,Ie Buboh,,1101052015,id:district:110105,4,,
id:village:1101052016,ID,village,Keude Meukek,,1101052016,id:district:110105,4,,
id:village:1101052017,ID,village,Kuta Baro,,1101052017,id:district:110105,4,,
id:village:1101052018,ID,village,Tanjung Harapan,,1101052018,id:district:110105,4,,
id:village:1101052019,ID,village,Labuhan Tarok,,1101052019,id:district:110105,4,,
id:village:1101052020,ID,village,Lhok Aman,,1101052020,id:district:110105,4,,
id:village:1101052021,ID,village,Alue Meutuah,,1101052021,id:district:110105,4,,
id:village:1101052022,ID,village,Ladang Baro,,1101052022,id:district:110105,4,,
id:village:1101052023,ID,village,Labuhan Tarok II,,1101052023,id:district:110105,4,,
id:village:1101062001,ID,village,Dalam,,1101062001,id:district:110106,4,,
id:village:1101062002,ID,village,Subarang,,1101062002,id:district:110106,4,,
id:village:1101062003,ID,village,Kuta Baru,,1101062003,id:district:110106,4,,
id:village:1101062004,ID,village,Gunung Ketek,,1101062004,id:district:110106,4,,
