source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ir:province:alborz,IR,province,Alborz,,30,,1,,
ir:province:ardabil,IR,province,Ardabil,,24,,1,,
ir:province:bushehr,IR,province,Bushehr,,18,,1,,
ir:province:chaharmahal-and-bakhtiari,IR,province,Chaharmahal and Bakhtiari,,14,,1,,
ir:province:east-azerbaijan,IR,province,East Azerbaijan,,03,,1,,
ir:province:fars,IR,province,Fars,,07,,1,,
ir:province:gilan,IR,province,Gilan,,01,,1,,
ir:province:golestan,IR,province,Golestan,,27,,1,,
ir:province:hamadan,IR,province,Hamadan,,13,,1,,
ir:province:hormozgan,IR,province,Hormozgan,,22,,1,,
ir:province:ilam,IR,province,Ilam,,16,,1,,
ir:province:isfahan,IR,province,Isfahan,,10,,1,,
ir:province:kerman,IR,province,Kerman,,08,,1,,
ir:province:kermanshah,IR,province,Kermanshah,,05,,1,,
ir:province:khuzestan,IR,province,Khuzestan,,06,,1,,
ir:province:kohgiluyeh-and-boyer-ahmad,IR,province,Kohgiluyeh and Boyer-Ahmad,,17,,1,,
ir:province:kurdistan,IR,province,Kurdistan,,12,,1,,
ir:province:lorestan,IR,province,Lorestan,,15,,1,,
ir:province:markazi,IR,province,Markazi,,00,,1,,
ir:province:mazandaran,IR,province,Mazandaran,,02,,1,,
ir:province:north-khorasan,IR,province,North Khorasan,,28,,1,,
ir:province:qazvin,IR,province,Qazvin,,26,,1,,
ir:province:qom,IR,province,Qom,,25,,1,,
ir:province:razavi-khorasan,IR,province,Razavi Khorasan,,09,,1,,
ir:province:semnan,IR,province,Semnan,,20,,1,,
ir:province:sistan-and-baluchestan,IR,province,Sistan and Baluchestan,,11,,1,,
ir:province:south-khorasan,IR,province,South Khorasan,,29,,1,,
ir:province:tehran,IR,province,Tehran,,23,,1,,
ir:province:west-azerbaijan,IR,province,West Azerbaijan,,04,,1,,
ir:province:yazd,IR,province,Yazd,,21,,1,,
ir:province:zanjan,IR,province,Zanjan,,19,,1,,
ir:county:abadan,IR,county,Abadan,آبادان,IR015001,ir:province:khuzestan,2,,
ir:county:abadeh,IR,county,Abadeh,آباده,IR006001,ir:province:fars,2,,
ir:county:abarkuh,IR,county,Abarkuh,ابرکوه,IR030001,ir:province:yazd,2,,
ir:county:abbasabad,IR,county,Abbasabad,عباس آباد,IR020001,ir:province:mazandaran,2,,
ir:county:abdanan,IR,county,Abdanan,آبدانان,IR011001,ir:province:ilam,2,,
ir:county:abhar,IR,county,Abhar,ابهر,IR031001,ir:province:zanjan,2,,
ir:county:abumusa,IR,county,Abumusa,ابوموسی,IR010001,ir:province:hormozgan,2,,
ir:county:abyek,IR,county,Abyek,آبیک,IR022001,ir:province:qazvin,2,,
ir:county:aghajari,IR,county,Aghajari,آغاجاری,IR015002,ir:province:khuzestan,2,,
ir:county:ahar,IR,county,Ahar,اهر,IR005001,ir:province:east-azerbaijan,2,,
ir:county:ahvaz,IR,county,Ahvaz,اهواز,IR015003,ir:province:khuzestan,2,,
ir:county:ajabshir,IR,county,Ajabshir,عجبشیر,IR005002,ir:province:east-azerbaijan,2,,
ir:county:alborz,IR,county,Alborz,البرز,IR022002,ir:province:qazvin,2,,
ir:county:aliabad,IR,county,Aliabad,علی آباد,IR008001,ir:province:golestan,2,,
ir:county:aligudarz,IR,county,Aligudarz,الیگودرز,IR018001,ir:province:lorestan,2,,
ir:county:amlash,IR,county,Amlash,املش,IR007001,ir:province:gilan,2,,
ir:county:amol,IR,county,Amol,آمل,IR020002,ir:province:mazandaran,2,,
ir:county:anar,IR,county,Anar,انار,IR013001,ir:province:kerman,2,,
ir:county:anbarabad,IR,county,Anbarabad,عنبرآباد,IR013002,ir:province:kerman,2,,
ir:county:andika,IR,county,Andika,اندیکا,IR015004,ir:province:khuzestan,2,,
ir:county:andimeshk,IR,county,Andimeshk,اندیمشک,IR015005,ir:province:khuzestan,2,,
ir:county:aqqala,IR,county,Aqqala,آق قلا,IR008002,ir:province:golestan,2,,
ir:county:aradan,IR,county,Aradan,آرادان,IR025001,ir:province:semnan,2,,
ir:county:arak,IR,county,Arak,اراک,IR019001,ir:province:markazi,2,,
ir:county:aran-o-bidgol,IR,county,Aran-o-Bidgol,آران وبیدگل,IR012001,ir:province:isfahan,2,,
ir:county:ardabil,IR,county,Ardabil,اردبیل,IR002001,ir:province:ardabil,2,,
ir:county:ardal,IR,county,Ardal,اردل,IR004001,ir:province:chaharmahal-and-bakhtiari,2,,
ir:county:ardekan,IR,county,Ardekan,اردکان,IR030002,ir:province:yazd,2,,
ir:county:ardestan,IR,county,Ardestan,اردستان,IR012002,ir:province:isfahan,2,,
ir:county:arsanjan,IR,county,Arsanjan,ارسنجان,IR006002,ir:province:fars,2,,
ir:county:arzuiyeh,IR,county,Arzuiyeh,ارزوئیه,IR013003,ir:province:kerman,2,,
ir:county:asadabad,IR,county,Asadabad,اسدآباد,IR009001,ir:province:hamadan,2,,
ir:county:asaluyeh,IR,county,Asaluyeh,عسلویه,IR003001,ir:province:bushehr,2,,
ir:county:ashkezar,IR,county,Ashkezar,اشکذر,IR030003,ir:province:yazd,2,,
ir:county:ashtian,IR,county,Ashtian,آشتیان,IR019002,ir:province:markazi,2,,
ir:county:astane-ye-ashrafiyeh,IR,county,Astane-ye-Ashrafiyeh,آستانه اشرفیه,IR007002,ir:province:gilan,2,,
ir:county:astara,IR,county,Astara,آستارا,IR007003,ir:province:gilan,2,,
ir:county:avaj,IR,county,Avaj,آوج,IR022003,ir:province:qazvin,2,,
ir:county:azadshahr,IR,county,Azadshahr,آزادشهر,IR008003,ir:province:golestan,2,,
ir:county:azarshahr,IR,county,Azarshahr,آذرشهر,IR005003,ir:province:east-azerbaijan,2,,
ir:county:azna,IR,county,Azna,ازنا,IR018002,ir:province:lorestan,2,,
ir:county:babol,IR,county,Babol,بابل,IR020003,ir:province:mazandaran,2,,
ir:county:babolsar,IR,county,Babolsar,بابلسر,IR020004,ir:province:mazandaran,2,,
ir:county:badre,IR,county,Badre,بدره,IR011002,ir:province:ilam,2,,
ir:county:bafq,IR,county,Bafq,بافق,IR030004,ir:province:yazd,2,,
ir:county:baft,IR,county,Baft,بافت,IR013004,ir:province:kerman,2,,
ir:county:baghmalek,IR,county,Baghmalek,باغملک,IR015006,ir:province:khuzestan,2,,
ir:county:bahabad,IR,county,Bahabad,بهاباد,IR030005,ir:province:yazd,2,,
ir:county:bahar,IR,county,Bahar,بهار,IR009002,ir:province:hamadan,2,,
ir:county:baharestan,IR,county,Baharestan,بهارستان,IR028001,ir:province:tehran,2,,
ir:county:bahmai,IR,county,Bahmai,بهمئی,IR016001,ir:province:kohgiluyeh-and-boyer-ahmad,2,,
ir:county:bajestan,IR,county,Bajestan,بجستان,IR024001,ir:province:razavi-khorasan,2,,
ir:county:bakharz,IR,county,Bakharz,باخرز,IR024002,ir:province:razavi-khorasan,2,,
ir:county:bam,IR,county,Bam,بم,IR013005,ir:province:kerman,2,,
ir:county:bandar-abbas,IR,county,Bandar-Abbas,بندرعباس,IR010002,ir:province:hormozgan,2,,
ir:county:bandar-e-anzali,IR,county,Bandar-e-Anzali,بندر انزلی,IR007004,ir:province:gilan,2,,
ir:county:bandar-e-gaz,IR,county,Bandar-e-Gaz,بندر گز,IR008004,ir:province:golestan,2,,
ir:county:bandar-e-torkaman,IR,county,Bandar-e-Torkaman,ترکمن,IR008014,ir:province:golestan,2,,
ir:county:bandar-lengeh,IR,county,Bandar-Lengeh,بندر لنگه,IR010003,ir:province:hormozgan,2,,
