postcode,area_source_id,relationship_type,is_primary
11369,ir:province:tehran,served_by,true
33134,ir:province:tehran,served_by,true
35134,ir:province:semnan,served_by,true
36714,ir:province:semnan,served_by,true
37184,ir:province:qom,served_by,true
38481,ir:province:markazi,served_by,true
38516,ir:province:markazi,served_by,true
39531,ir:province:markazi,served_by,true
39771,ir:province:qom,served_by,true
43514,ir:province:gilan,served_by,true
43614,ir:province:gilan,served_by,true
43714,ir:province:gilan,served_by,true
45196,ir:province:zanjan,served_by,true
45617,ir:province:qazvin,served_by,true
45617,ir:province:zanjan,served_by,false
45816,ir:province:zanjan,served_by,true
46134,ir:province:mazandaran,served_by,true
46314,ir:province:mazandaran,served_by,true
46414,ir:province:mazandaran,served_by,true
46514,ir:province:mazandaran,served_by,true
46614,ir:province:mazandaran,served_by,true
47134,ir:province:mazandaran,served_by,true
47414,ir:province:mazandaran,served_by,true
49414,ir:province:golestan,served_by,true
49714,ir:province:golestan,served_by,true
49814,ir:province:golestan,served_by,true
51339,ir:province:east-azerbaijan,served_by,true
53781,ir:province:ardabil,served_by,true
53831,ir:province:ardabil,served_by,true
53918,ir:province:ardabil,served_by,true
54671,ir:province:ardabil,served_by,true
54911,ir:province:east-azerbaijan,served_by,true
56136,ir:province:ardabil,served_by,true
56317,ir:province:ardabil,served_by,true
56516,ir:province:ardabil,served_by,true
56617,ir:province:ardabil,served_by,true
56818,ir:province:ardabil,served_by,true
57314,ir:province:west-azerbaijan,served_by,true
58814,ir:province:west-azerbaijan,served_by,true
63614,ir:province:kohgiluyeh-and-boyer-ahmad,served_by,true
63814,ir:province:khuzestan,served_by,true
63951,ir:province:khuzestan,served_by,true
64914,ir:province:khuzestan,served_by,true
65141,ir:province:hamadan,served_by,true
65156,ir:province:hamadan,served_by,true
65181,ir:province:hamadan,served_by,true
65319,ir:province:hamadan,served_by,true
65331,ir:province:hamadan,served_by,true
65361,ir:province:hamadan,served_by,true
65519,ir:province:hamadan,served_by,true
65618,ir:province:hamadan,served_by,true
65781,ir:province:hamadan,served_by,true
65816,ir:province:hamadan,served_by,true
65841,ir:province:hamadan,served_by,true
66134,ir:province:kurdistan,served_by,true
66314,ir:province:kurdistan,served_by,true
66414,ir:province:kurdistan,served_by,true
66514,ir:province:kurdistan,served_by,true
66614,ir:province:kurdistan,served_by,true
66714,ir:province:kurdistan,served_by,true
67331,ir:province:kermanshah,served_by,true
67414,ir:province:kermanshah,served_by,true
67461,ir:province:kermanshah,served_by,true
67561,ir:province:kermanshah,served_by,true
67571,ir:province:kermanshah,served_by,true
67614,ir:province:kermanshah,served_by,true
67771,ir:province:kermanshah,served_by,true
67871,ir:province:kermanshah,served_by,true
67931,ir:province:kermanshah,served_by,true
67981,ir:province:kermanshah,served_by,true
68134,ir:province:lorestan,served_by,true
68177,ir:province:lorestan,served_by,true
68417,ir:province:lorestan,served_by,true
68516,ir:province:lorestan,served_by,true
68717,ir:province:lorestan,served_by,true
68816,ir:province:lorestan,served_by,true
68916,ir:province:lorestan,served_by,true
69134,ir:province:ilam,served_by,true
69616,ir:province:ilam,served_by,true
69716,ir:province:ilam,served_by,true
69816,ir:province:ilam,served_by,true
71364,ir:province:fars,served_by,true
73714,ir:province:fars,served_by,true
74614,ir:province:fars,served_by,true
75541,ir:province:bushehr,served_by,true
75614,ir:province:bushehr,served_by,true
75716,ir:province:bushehr,served_by,true
78514,ir:province:kerman,served_by,true
78814,ir:province:kerman,served_by,true
79146,ir:province:hormozgan,served_by,true
79391,ir:province:hormozgan,served_by,true
79514,ir:province:hormozgan,served_by,true
79591,ir:province:hormozgan,served_by,true
79714,ir:province:hormozgan,served_by,true
79814,ir:province:hormozgan,served_by,true
79916,ir:province:hormozgan,served_by,true
83431,ir:province:isfahan,served_by,true
83714,ir:province:isfahan,served_by,true
83771,ir:province:isfahan,served_by,true
88614,ir:province:chaharmahal-and-bakhtiari,served_by,true
88814,ir:province:chaharmahal-and-bakhtiari,served_by,true
88914,ir:province:chaharmahal-and-bakhtiari,served_by,true
94614,ir:province:north-khorasan,served_by,true
94714,ir:province:north-khorasan,served_by,true
96714,ir:province:south-khorasan,served_by,true
96914,ir:province:south-khorasan,served_by,true
97514,ir:province:yazd,served_by,true
97614,ir:province:south-khorasan,served_by,true
97716,ir:province:south-khorasan,served_by,true
98914,ir:province:sistan-and-baluchestan,served_by,true
