source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
iq:governorate:al-anbar,IQ,governorate,Al Anbar,,AN,,1,,
iq:governorate:erbil,IQ,governorate,Erbil,,AR,,1,,
iq:governorate:basra,IQ,governorate,Basra,,BA,,1,,
iq:governorate:babylon,IQ,governorate,Babylon,,BB,,1,,
iq:governorate:baghdad,IQ,governorate,Baghdad,,BG,,1,,
iq:governorate:dohuk,IQ,governorate,Dohuk,,DA,,1,,
iq:governorate:diyala,IQ,governorate,Diyala,,DI,,1,,
iq:governorate:dhi-qar,IQ,governorate,Dhi Qar,,DQ,,1,,
iq:governorate:halabja,IQ,governorate,Halabja,,HL,,1,,
iq:governorate:karbala,IQ,governorate,Karbala,,KA,,1,,
iq:governorate:kirkuk,IQ,governorate,Kirkuk,,KI,,1,,
iq:governorate:maysan,IQ,governorate,Maysan,,MA,,1,,
iq:governorate:al-muthanna,IQ,governorate,Al Muthanna,,MU,,1,,
iq:governorate:najaf,IQ,governorate,Najaf,,NA,,1,,
iq:governorate:nineveh,IQ,governorate,Nineveh,,NI,,1,,
iq:governorate:al-qadisiyyah,IQ,governorate,Al-Qadisiyyah,,QA,,1,,
iq:governorate:saladin,IQ,governorate,Saladin,,SD,,1,,
iq:governorate:sulaymaniyah,IQ,governorate,Sulaymaniyah,,SU,,1,,
iq:governorate:wasit,IQ,governorate,Wasit,,WA,,1,,
