postcode,area_source_id,relationship_type,is_primary
10001,iq:governorate:baghdad,served_by,true
10002,iq:governorate:baghdad,served_by,true
10003,iq:governorate:baghdad,served_by,true
10004,iq:governorate:baghdad,served_by,true
10005,iq:governorate:baghdad,served_by,true
10006,iq:governorate:baghdad,served_by,true
10007,iq:governorate:baghdad,served_by,true
10008,iq:governorate:baghdad,served_by,true
10009,iq:governorate:baghdad,served_by,true
10010,iq:governorate:baghdad,served_by,true
10011,iq:governorate:baghdad,served_by,true
10012,iq:governorate:baghdad,served_by,true
10013,iq:governorate:baghdad,served_by,true
10014,iq:governorate:baghdad,served_by,true
10015,iq:governorate:baghdad,served_by,true
10016,iq:governorate:baghdad,served_by,true
10017,iq:governorate:baghdad,served_by,true
10018,iq:governorate:baghdad,served_by,true
10019,iq:governorate:baghdad,served_by,true
10020,iq:governorate:baghdad,served_by,true
10021,iq:governorate:baghdad,served_by,true
10022,iq:governorate:baghdad,served_by,true
10023,iq:governorate:baghdad,served_by,true
10024,iq:governorate:baghdad,served_by,true
10044,iq:governorate:baghdad,served_by,true
10045,iq:governorate:baghdad,served_by,true
10046,iq:governorate:baghdad,served_by,true
10047,iq:governorate:baghdad,served_by,true
10048,iq:governorate:baghdad,served_by,true
10049,iq:governorate:baghdad,served_by,true
10050,iq:governorate:baghdad,served_by,true
10051,iq:governorate:baghdad,served_by,true
10052,iq:governorate:baghdad,served_by,true
10053,iq:governorate:baghdad,served_by,true
10054,iq:governorate:baghdad,served_by,true
10055,iq:governorate:baghdad,served_by,true
10056,iq:governorate:baghdad,served_by,true
10057,iq:governorate:baghdad,served_by,true
10058,iq:governorate:baghdad,served_by,true
10059,iq:governorate:baghdad,served_by,true
10060,iq:governorate:baghdad,served_by,true
10061,iq:governorate:baghdad,served_by,true
10062,iq:governorate:baghdad,served_by,true
10063,iq:governorate:baghdad,served_by,true
10064,iq:governorate:baghdad,served_by,true
10065,iq:governorate:baghdad,served_by,true
10066,iq:governorate:baghdad,served_by,true
10067,iq:governorate:baghdad,served_by,true
10068,iq:governorate:baghdad,served_by,true
10069,iq:governorate:baghdad,served_by,true
10070,iq:governorate:baghdad,served_by,true
10071,iq:governorate:baghdad,served_by,true
10072,iq:governorate:baghdad,served_by,true
10073,iq:governorate:baghdad,served_by,true
10074,iq:governorate:baghdad,served_by,true
10075,iq:governorate:baghdad,served_by,true
10076,iq:governorate:baghdad,served_by,true
10077,iq:governorate:baghdad,served_by,true
10078,iq:governorate:baghdad,served_by,true
10079,iq:governorate:baghdad,served_by,true
10080,iq:governorate:babylon,served_by,true
10081,iq:governorate:baghdad,served_by,true
10082,iq:governorate:baghdad,served_by,true
10083,iq:governorate:baghdad,served_by,true
10084,iq:governorate:baghdad,served_by,true
10085,iq:governorate:baghdad,served_by,true
10086,iq:governorate:baghdad,served_by,true
10087,iq:governorate:baghdad,served_by,true
10088,iq:governorate:baghdad,served_by,true
10089,iq:governorate:baghdad,served_by,true
10090,iq:governorate:baghdad,served_by,true
31001,iq:governorate:al-anbar,served_by,true
31002,iq:governorate:al-anbar,served_by,true
31003,iq:governorate:al-anbar,served_by,true
31004,iq:governorate:al-anbar,served_by,true
31005,iq:governorate:al-anbar,served_by,true
31006,iq:governorate:al-anbar,served_by,true
31007,iq:governorate:al-anbar,served_by,true
31008,iq:governorate:al-anbar,served_by,true
31009,iq:governorate:al-anbar,served_by,true
31010,iq:governorate:al-anbar,served_by,true
31011,iq:governorate:al-anbar,served_by,true
31012,iq:governorate:al-anbar,served_by,true
31013,iq:governorate:al-anbar,served_by,true
31014,iq:governorate:al-anbar,served_by,true
31015,iq:governorate:al-anbar,served_by,true
31016,iq:governorate:al-anbar,served_by,true
31017,iq:governorate:al-anbar,served_by,true
31018,iq:governorate:al-anbar,served_by,true
31019,iq:governorate:al-anbar,served_by,true
31020,iq:governorate:baghdad,served_by,true
31021,iq:governorate:al-anbar,served_by,true
31022,iq:governorate:al-anbar,served_by,true
32001,iq:governorate:diyala,served_by,true
32002,iq:governorate:diyala,served_by,true
32003,iq:governorate:diyala,served_by,true
32004,iq:governorate:diyala,served_by,true
32005,iq:governorate:diyala,served_by,true
32006,iq:governorate:diyala,served_by,true
32007,iq:governorate:diyala,served_by,true
32008,iq:governorate:diyala,served_by,true
32009,iq:governorate:diyala,served_by,true
32010,iq:governorate:diyala,served_by,true
32011,iq:governorate:diyala,served_by,true
32012,iq:governorate:diyala,served_by,true
32013,iq:governorate:diyala,served_by,true
32014,iq:governorate:diyala,served_by,true
32015,iq:governorate:diyala,served_by,true
32016,iq:governorate:diyala,served_by,true
32017,iq:governorate:diyala,served_by,true
32018,iq:governorate:diyala,served_by,true
32019,iq:governorate:diyala,served_by,true
34001,iq:governorate:saladin,served_by,true
34002,iq:governorate:saladin,served_by,true
34003,iq:governorate:saladin,served_by,true
34004,iq:governorate:baghdad,served_by,true
34005,iq:governorate:saladin,served_by,true
34006,iq:governorate:saladin,served_by,true
34007,iq:governorate:saladin,served_by,true
34008,iq:governorate:saladin,served_by,true
34009,iq:governorate:saladin,served_by,true
34010,iq:governorate:saladin,served_by,true
34011,iq:governorate:saladin,served_by,true
34012,iq:governorate:saladin,served_by,true
34013,iq:governorate:saladin,served_by,true
34014,iq:governorate:saladin,served_by,true
36001,iq:governorate:kirkuk,served_by,true
36002,iq:governorate:kirkuk,served_by,true
36003,iq:governorate:kirkuk,served_by,true
36004,iq:governorate:kirkuk,served_by,true
36005,iq:governorate:kirkuk,served_by,true
36006,iq:governorate:kirkuk,served_by,true
36007,iq:governorate:kirkuk,served_by,true
36008,iq:governorate:kirkuk,served_by,true
36009,iq:governorate:kirkuk,served_by,true
36010,iq:governorate:kirkuk,served_by,true
36011,iq:governorate:kirkuk,served_by,true
36012,iq:governorate:kirkuk,served_by,true
36013,iq:governorate:kirkuk,served_by,true
36014,iq:governorate:kirkuk,served_by,true
36015,iq:governorate:kirkuk,served_by,true
41001,iq:governorate:nineveh,served_by,true
41002,iq:governorate:nineveh,served_by,true
41003,iq:governorate:nineveh,served_by,true
41004,iq:governorate:nineveh,served_by,true
41005,iq:governorate:nineveh,served_by,true
41006,iq:governorate:nineveh,served_by,true
41007,iq:governorate:nineveh,served_by,true
41008,iq:governorate:nineveh,served_by,true
41009,iq:governorate:nineveh,served_by,true
41010,iq:governorate:nineveh,served_by,true
41011,iq:governorate:nineveh,served_by,true
41012,iq:governorate:nineveh,served_by,true
41013,iq:governorate:nineveh,served_by,true
41014,iq:governorate:nineveh,served_by,true
41015,iq:governorate:nineveh,served_by,true
41016,iq:governorate:nineveh,served_by,true
41017,iq:governorate:nineveh,served_by,true
41018,iq:governorate:nineveh,served_by,true
41019,iq:governorate:nineveh,served_by,true
41020,iq:governorate:nineveh,served_by,true
41021,iq:governorate:nineveh,served_by,true
41022,iq:governorate:nineveh,served_by,true
41023,iq:governorate:nineveh,served_by,true
41024,iq:governorate:nineveh,served_by,true
41025,iq:governorate:nineveh,served_by,true
42001,iq:governorate:dohuk,served_by,true
42002,iq:governorate:dohuk,served_by,true
42003,iq:governorate:dohuk,served_by,true
42004,iq:governorate:nineveh,served_by,true
42005,iq:governorate:dohuk,served_by,true
42006,iq:governorate:dohuk,served_by,true
42007,iq:governorate:dohuk,served_by,true
42008,iq:governorate:dohuk,served_by,true
42009,iq:governorate:dohuk,served_by,true
42010,iq:governorate:dohuk,served_by,true
42011,iq:governorate:dohuk,served_by,true
42012,iq:governorate:nineveh,served_by,true
44001,iq:governorate:erbil,served_by,true
44002,iq:governorate:erbil,served_by,true
44003,iq:governorate:erbil,served_by,true
44004,iq:governorate:erbil,served_by,true
44005,iq:governorate:erbil,served_by,true
44006,iq:governorate:erbil,served_by,true
44007,iq:governorate:erbil,served_by,true
44008,iq:governorate:erbil,served_by,true
44009,iq:governorate:erbil,served_by,true
44010,iq:governorate:erbil,served_by,true
44011,iq:governorate:erbil,served_by,true
44012,iq:governorate:erbil,served_by,true
44013,iq:governorate:erbil,served_by,true
44014,iq:governorate:erbil,served_by,true
44015,iq:governorate:erbil,served_by,true
44016,iq:governorate:nineveh,served_by,true
44017,iq:governorate:erbil,served_by,true
44018,iq:governorate:nineveh,served_by,true
44019,iq:governorate:erbil,served_by,true
44020,iq:governorate:nineveh,served_by,true
44021,iq:governorate:erbil,served_by,true
44022,iq:governorate:kirkuk,served_by,true
46001,iq:governorate:sulaymaniyah,served_by,true
46002,iq:governorate:sulaymaniyah,served_by,true
46003,iq:governorate:sulaymaniyah,served_by,true
46004,iq:governorate:sulaymaniyah,served_by,true
46005,iq:governorate:halabja,served_by,true
46006,iq:governorate:sulaymaniyah,served_by,true
46007,iq:governorate:halabja,served_by,true
46008,iq:governorate:halabja,served_by,true
46009,iq:governorate:sulaymaniyah,served_by,true
46010,iq:governorate:sulaymaniyah,served_by,true
46011,iq:governorate:sulaymaniyah,served_by,true
46012,iq:governorate:sulaymaniyah,served_by,true
46013,iq:governorate:sulaymaniyah,served_by,true
46014,iq:governorate:sulaymaniyah,served_by,true
46015,iq:governorate:erbil,served_by,true
46016,iq:governorate:erbil,served_by,true
46017,iq:governorate:sulaymaniyah,served_by,true
46018,iq:governorate:halabja,served_by,true
46019,iq:governorate:sulaymaniyah,served_by,true
46020,iq:governorate:sulaymaniyah,served_by,true
46021,iq:governorate:sulaymaniyah,served_by,true
46022,iq:governorate:diyala,served_by,true
46023,iq:governorate:sulaymaniyah,served_by,true
51001,iq:governorate:babylon,served_by,true
51002,iq:governorate:babylon,served_by,true
51003,iq:governorate:babylon,served_by,true
51004,iq:governorate:babylon,served_by,true
51005,iq:governorate:babylon,served_by,true
51006,iq:governorate:babylon,served_by,true
51007,iq:governorate:babylon,served_by,true
51008,iq:governorate:babylon,served_by,true
51009,iq:governorate:babylon,served_by,true
51010,iq:governorate:babylon,served_by,true
51011,iq:governorate:babylon,served_by,true
51012,iq:governorate:babylon,served_by,true
51013,iq:governorate:babylon,served_by,true
51014,iq:governorate:babylon,served_by,true
51015,iq:governorate:babylon,served_by,true
51016,iq:governorate:babylon,served_by,true
51017,iq:governorate:babylon,served_by,true
51018,iq:governorate:babylon,served_by,true
51019,iq:governorate:babylon,served_by,true
52001,iq:governorate:wasit,served_by,true
52002,iq:governorate:wasit,served_by,true
52003,iq:governorate:wasit,served_by,true
52004,iq:governorate:wasit,served_by,true
52005,iq:governorate:wasit,served_by,true
52006,iq:governorate:wasit,served_by,true
52007,iq:governorate:wasit,served_by,true
52008,iq:governorate:wasit,served_by,true
52009,iq:governorate:wasit,served_by,true
52010,iq:governorate:wasit,served_by,true
52011,iq:governorate:wasit,served_by,true
54001,iq:governorate:najaf,served_by,true
54002,iq:governorate:najaf,served_by,true
54003,iq:governorate:najaf,served_by,true
54004,iq:governorate:najaf,served_by,true
54005,iq:governorate:najaf,served_by,true
54006,iq:governorate:najaf,served_by,true
54007,iq:governorate:najaf,served_by,true
56001,iq:governorate:karbala,served_by,true
56002,iq:governorate:karbala,served_by,true
56003,iq:governorate:karbala,served_by,true
56004,iq:governorate:karbala,served_by,true
58001,iq:governorate:al-qadisiyyah,served_by,true
58002,iq:governorate:al-qadisiyyah,served_by,true
58003,iq:governorate:al-qadisiyyah,served_by,true
58004,iq:governorate:al-qadisiyyah,served_by,true
58005,iq:governorate:al-qadisiyyah,served_by,true
58006,iq:governorate:al-qadisiyyah,served_by,true
58007,iq:governorate:al-qadisiyyah,served_by,true
58008,iq:governorate:al-qadisiyyah,served_by,true
58009,iq:governorate:al-qadisiyyah,served_by,true
58010,iq:governorate:al-qadisiyyah,served_by,true
58011,iq:governorate:al-qadisiyyah,served_by,true
58012,iq:governorate:al-qadisiyyah,served_by,true
58013,iq:governorate:al-qadisiyyah,served_by,true
58014,iq:governorate:wasit,served_by,true
58015,iq:governorate:al-qadisiyyah,served_by,true
58016,iq:governorate:al-qadisiyyah,served_by,true
58017,iq:governorate:al-qadisiyyah,served_by,true
58018,iq:governorate:al-qadisiyyah,served_by,true
61001,iq:governorate:basra,served_by,true
61002,iq:governorate:basra,served_by,true
61003,iq:governorate:basra,served_by,true
61004,iq:governorate:basra,served_by,true
61005,iq:governorate:basra,served_by,true
61006,iq:governorate:basra,served_by,true
61007,iq:governorate:basra,served_by,true
61008,iq:governorate:basra,served_by,true
61009,iq:governorate:basra,served_by,true
61010,iq:governorate:basra,served_by,true
61011,iq:governorate:basra,served_by,true
61012,iq:governorate:basra,served_by,true
61013,iq:governorate:basra,served_by,true
61014,iq:governorate:basra,served_by,true
61015,iq:governorate:basra,served_by,true
61016,iq:governorate:basra,served_by,true
61017,iq:governorate:basra,served_by,true
61018,iq:governorate:basra,served_by,true
61019,iq:governorate:basra,served_by,true
61020,iq:governorate:basra,served_by,true
61021,iq:governorate:basra,served_by,true
61022,iq:governorate:basra,served_by,true
61023,iq:governorate:basra,served_by,true
61024,iq:governorate:basra,served_by,true
61025,iq:governorate:basra,served_by,true
61026,iq:governorate:basra,served_by,true
61027,iq:governorate:basra,served_by,true
61028,iq:governorate:basra,served_by,true
61029,iq:governorate:basra,served_by,true
61030,iq:governorate:basra,served_by,true
62001,iq:governorate:maysan,served_by,true
62002,iq:governorate:maysan,served_by,true
62003,iq:governorate:maysan,served_by,true
62004,iq:governorate:maysan,served_by,true
62005,iq:governorate:maysan,served_by,true
62006,iq:governorate:maysan,served_by,true
62007,iq:governorate:maysan,served_by,true
62008,iq:governorate:maysan,served_by,true
62009,iq:governorate:maysan,served_by,true
62010,iq:governorate:maysan,served_by,true
62011,iq:governorate:maysan,served_by,true
62012,iq:governorate:maysan,served_by,true
64001,iq:governorate:dhi-qar,served_by,true
64002,iq:governorate:dhi-qar,served_by,true
64003,iq:governorate:dhi-qar,served_by,true
64004,iq:governorate:dhi-qar,served_by,true
64005,iq:governorate:dhi-qar,served_by,true
64006,iq:governorate:dhi-qar,served_by,true
64007,iq:governorate:dhi-qar,served_by,true
64008,iq:governorate:dhi-qar,served_by,true
64009,iq:governorate:dhi-qar,served_by,true
64010,iq:governorate:dhi-qar,served_by,true
64011,iq:governorate:dhi-qar,served_by,true
64012,iq:governorate:dhi-qar,served_by,true
64013,iq:governorate:dhi-qar,served_by,true
64014,iq:governorate:dhi-qar,served_by,true
64015,iq:governorate:dhi-qar,served_by,true
64016,iq:governorate:dhi-qar,served_by,true
66001,iq:governorate:al-muthanna,served_by,true
66002,iq:governorate:al-muthanna,served_by,true
66003,iq:governorate:al-muthanna,served_by,true
66004,iq:governorate:al-muthanna,served_by,true
66005,iq:governorate:al-muthanna,served_by,true
66006,iq:governorate:al-muthanna,served_by,true
66007,iq:governorate:al-muthanna,served_by,true
66008,iq:governorate:al-muthanna,served_by,true
