source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ie:county:carlow,IE,county,Carlow,,CW,,1,,
ie:county:cavan,IE,county,Cavan,,CN,,1,,
ie:county:clare,IE,county,Clare,,CE,,1,,
ie:province:connacht,IE,province,Connacht,,C,,1,,
ie:county:cork,IE,county,Cork,,CO,,1,,
ie:county:donegal,IE,county,Donegal,,DL,,1,,
ie:county:dublin,IE,county,Dublin,,D,,1,,
ie:county:galway,IE,county,Galway,,G,,1,,
ie:county:kerry,IE,county,Kerry,,KY,,1,,
ie:county:kildare,IE,county,Kildare,,KE,,1,,
ie:county:kilkenny,IE,county,Kilkenny,,KK,,1,,
ie:county:laois,IE,county,Laois,,LS,,1,,
ie:province:leinster,IE,province,Leinster,,L,,1,,
ie:county:leitrim,IE,county,Leitrim,,LM,,1,,
ie:county:limerick,IE,county,Limerick,,LK,,1,,
ie:county:longford,IE,county,Longford,,LD,,1,,
ie:county:louth,IE,county,Louth,,LH,,1,,
ie:county:mayo,IE,county,Mayo,,MO,,1,,
ie:county:meath,IE,county,Meath,,MH,,1,,
ie:county:monaghan,IE,county,Monaghan,,MN,,1,,
ie:province:munster,IE,province,Munster,,M,,1,,
ie:county:offaly,IE,county,Offaly,,OY,,1,,
ie:county:roscommon,IE,county,Roscommon,,RN,,1,,
ie:county:sligo,IE,county,Sligo,,SO,,1,,
ie:county:tipperary,IE,county,Tipperary,,TA,,1,,
ie:province:ulster,IE,province,Ulster,,U,,1,,
ie:county:waterford,IE,county,Waterford,,WD,,1,,
ie:county:westmeath,IE,county,Westmeath,,WH,,1,,
ie:county:wexford,IE,county,Wexford,,WX,,1,,
ie:county:wicklow,IE,county,Wicklow,,WW,,1,,
