country_code,code
IE,A41
IE,A42
IE,A45
IE,A63
IE,A67
IE,A75
IE,A81
IE,A82
IE,A83
IE,A84
IE,A85
IE,A86
IE,A91
IE,A92
IE,A94
IE,A96
IE,A98
IE,C15
IE,D01
IE,D02
IE,D03
IE,D04
IE,D05
IE,D06
IE,D07
IE,D08
IE,D09
IE,D10
IE,D11
IE,D12
IE,D13
IE,D14
IE,D15
IE,D16
IE,D17
IE,D18
IE,D20
IE,D22
IE,D24
IE,D6W
IE,E21
IE,E25
IE,E32
IE,E34
IE,E41
IE,E45
IE,E53
IE,E91
IE,F12
IE,F23
IE,F26
IE,F28
IE,F31
IE,F35
IE,F42
IE,F45
IE,F52
IE,F56
IE,F91
IE,F92
IE,F93
IE,F94
IE,H12
IE,H14
IE,H16
IE,H18
IE,H23
IE,H53
IE,H54
IE,H62
IE,H65
IE,H71
IE,H91
IE,K32
IE,K34
IE,K36
IE,K45
IE,K56
IE,K67
IE,K78
IE,N37
IE,N39
IE,N41
IE,N91
IE,P12
IE,P14
IE,P17
IE,P24
IE,P25
IE,P31
IE,P32
IE,P36
IE,P43
IE,P47
IE,P51
IE,P56
IE,P61
IE,P67
IE,P72
IE,P75
IE,P81
IE,P85
IE,R14
IE,R21
IE,R32
IE,R35
IE,R42
IE,R45
IE,R51
IE,R56
IE,R93
IE,R95
IE,T12
IE,T23
IE,T34
IE,T45
IE,T56
IE,V14
IE,V15
IE,V23
IE,V31
IE,V35
IE,V42
IE,V92
IE,V93
IE,V94
IE,V95
IE,W12
IE,W23
IE,W34
IE,W91
IE,X35
IE,X42
IE,X91
IE,Y14
IE,Y21
IE,Y25
IE,Y34
IE,Y35
