source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
im:sheading:ayre,IM,sheading,Ayre,,01,,1,,
im:sheading:garff,IM,sheading,Garff,,02,,1,,
im:sheading:glenfaba,IM,sheading,Glenfaba,,03,,1,,
im:sheading:michael,IM,sheading,Michael,,04,,1,,
im:sheading:middle,IM,sheading,Middle,,05,,1,,
im:sheading:rushen,IM,sheading,Rushen,,06,,1,,
im:parish:andreas,IM,parish,Andreas,,,im:sheading:ayre,2,,
im:parish:arbory-and-rushen,IM,parish,Arbory and Rushen,,,im:sheading:rushen,2,,
im:parish:ballaugh,IM,parish,Ballaugh,,,im:sheading:michael,2,,
im:parish:braddan,IM,parish,Braddan,,,im:sheading:middle,2,,
im:parish:bride,IM,parish,Bride,,,im:sheading:ayre,2,,
im:town:castletown,IM,town,Castletown,,,im:sheading:rushen,2,,
im:town:douglas,IM,town,Douglas,,,im:sheading:middle,2,,
im:parish:garff,IM,parish,Garff,,,im:sheading:garff,2,,
im:parish:german,IM,parish,German,,,im:sheading:glenfaba,2,,
im:parish:jurby,IM,parish,Jurby,,,im:sheading:michael,2,,
im:parish:lezayre,IM,parish,Lezayre,,,im:sheading:ayre,2,,
im:parish:malew,IM,parish,Malew,,,im:sheading:rushen,2,,
im:parish:marown,IM,parish,Marown,,,im:sheading:middle,2,,
im:district:michael,IM,district,Michael,,,im:sheading:michael,2,,
im:district:onchan,IM,district,Onchan,,,im:sheading:middle,2,,
im:parish:patrick,IM,parish,Patrick,,,im:sheading:glenfaba,2,,
im:town:peel,IM,town,Peel,,,im:sheading:glenfaba,2,,
im:village:port-erin,IM,village,Port Erin,,,im:sheading:rushen,2,,
im:village:port-st-mary,IM,village,Port St Mary,,,im:sheading:rushen,2,,
im:town:ramsey,IM,town,Ramsey,,,im:sheading:garff,2,,
im:parish:santon,IM,parish,Santon,,,im:sheading:middle,2,,
