postcode,area_source_id,relationship_type,is_primary
IM1,im:town:douglas,served_by,true
IM2,im:town:douglas,served_by,true
IM3,im:district:onchan,served_by,true
IM4,im:parish:braddan,served_by,true
IM4,im:parish:marown,served_by,false
IM4,im:parish:german,served_by,false
IM4,im:parish:patrick,served_by,false
IM4,im:parish:garff,served_by,false
IM4,im:parish:santon,served_by,false
IM4,im:district:onchan,served_by,false
IM5,im:parish:patrick,served_by,true
IM5,im:town:peel,served_by,false
IM5,im:parish:german,served_by,false
IM6,im:district:michael,served_by,true
IM6,im:parish:german,served_by,false
IM7,im:parish:garff,served_by,true
IM7,im:parish:andreas,served_by,false
IM7,im:parish:ballaugh,served_by,false
IM7,im:parish:bride,served_by,false
IM7,im:parish:jurby,served_by,false
IM7,im:parish:lezayre,served_by,false
IM8,im:town:ramsey,served_by,true
IM9,im:parish:arbory-and-rushen,served_by,true
IM9,im:parish:malew,served_by,false
IM9,im:town:castletown,served_by,false
IM9,im:village:port-st-mary,served_by,false
IM9,im:village:port-erin,served_by,false
