source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
il:district:central,IL,district,Central,,M,,1,,
il:district:haifa,IL,district,Haifa,,HA,,1,,
il:district:jerusalem,IL,district,Jerusalem,,JM,,1,,
il:district:northern,IL,district,Northern,,Z,,1,,
il:district:southern,IL,district,Southern,,D,,1,,
il:district:tel-aviv,IL,district,Tel Aviv,,TA,,1,,
il:subdistrict:safed,IL,subdistrict,Safed,,,il:district:northern,2,,
il:subdistrict:kinneret,IL,subdistrict,Kinneret,,,il:district:northern,2,,
il:subdistrict:yizre-el,IL,subdistrict,Yizre'el,,,il:district:northern,2,,
il:subdistrict:akko,IL,subdistrict,Akko,,,il:district:northern,2,,
il:subdistrict:haifa,IL,subdistrict,Haifa,,,il:district:haifa,2,,
il:subdistrict:hadera,IL,subdistrict,Hadera,,,il:district:haifa,2,,
il:subdistrict:hasharon,IL,subdistrict,HaSharon,,,il:district:central,2,,
il:subdistrict:petah-tikva,IL,subdistrict,Petah Tikva,,,il:district:central,2,,
il:subdistrict:ramla,IL,subdistrict,Ramla,,,il:district:central,2,,
il:subdistrict:rehovot,IL,subdistrict,Rehovot,,,il:district:central,2,,
il:subdistrict:ashkelon,IL,subdistrict,Ashkelon,,,il:district:southern,2,,
il:subdistrict:be-er-sheva,IL,subdistrict,Be'er Sheva,,,il:district:southern,2,,
il:subdistrict:golan,IL,subdistrict,Golan,,,il:district:northern,2,,
il:subdistrict:jerusalem,IL,subdistrict,Jerusalem,,,il:district:jerusalem,2,,
il:subdistrict:tel-aviv,IL,subdistrict,Tel Aviv,,,il:district:tel-aviv,2,,
