source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ci:autonomous_district:abidjan,CI,autonomous_district,Abidjan,,AB,,1,,
ci:district:bas-sassandra,CI,district,Bas-Sassandra,,BS,,1,,
ci:district:comoe,CI,district,Comoé,,CM,,1,,
ci:district:denguele,CI,district,Denguélé,,DN,,1,,
ci:district:goh-djiboua,CI,district,Gôh-Djiboua,,GD,,1,,
ci:district:lacs,CI,district,Lacs,,LC,,1,,
ci:district:lagunes,CI,district,Lagunes,,LG,,1,,
ci:district:montagnes,CI,district,Montagnes,,MG,,1,,
ci:district:sassandra-marahoue,CI,district,Sassandra-Marahoué,,SM,,1,,
ci:district:savanes,CI,district,Savanes,,SV,,1,,
ci:district:vallee-du-bandama,CI,district,Vallée du Bandama,,VB,,1,,
ci:district:woroba,CI,district,Woroba,,WR,,1,,
ci:autonomous_district:yamoussoukro,CI,autonomous_district,Yamoussoukro,,YM,,1,,
ci:district:zanzan,CI,district,Zanzan,,ZZ,,1,,
