source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
je:parish:grouville,JE,parish,Grouville,,01,,1,,
je:parish:st-brelade,JE,parish,St Brelade,,02,,1,,
je:parish:st-clement,JE,parish,St Clement,,03,,1,,
je:parish:st-helier,JE,parish,St Helier,,04,,1,,
je:parish:st-john,JE,parish,St John,,05,,1,,
je:parish:st-lawrence,JE,parish,St Lawrence,,06,,1,,
je:parish:st-martin,JE,parish,St Martin,,07,,1,,
je:parish:st-mary,JE,parish,St Mary,,08,,1,,
je:parish:st-ouen,JE,parish,St Ouen,,09,,1,,
je:parish:st-peter,JE,parish,St Peter,,10,,1,,
je:parish:st-saviour,JE,parish,St Saviour,,11,,1,,
je:parish:trinity,JE,parish,Trinity,,12,,1,,
je:vingtaine:la-vingtaine-de-la-rocque,JE,vingtaine,La Vingtaine de la Rocque,,,je:parish:grouville,2,,
je:vingtaine:la-vingtaine-de-la-rue,JE,vingtaine,La Vingtaine de la Rue,,,je:parish:grouville,2,,
je:vingtaine:la-vingtaine-de-longueville,JE,vingtaine,La Vingtaine de Longueville,,,je:parish:grouville,2,,
je:vingtaine:la-vingtaine-des-marais,JE,vingtaine,La Vingtaine des Marais,,,je:parish:grouville,2,,
je:vingtaine:la-vingtaine-de-la-moye,JE,vingtaine,La Vingtaine de la Moye,,,je:parish:st-brelade,2,,
je:vingtaine:la-vingtaine-de-noirmont,JE,vingtaine,La Vingtaine de Noirmont,,,je:parish:st-brelade,2,,
je:vingtaine:la-vingtaine-des-quennevais,JE,vingtaine,La Vingtaine des Quennevais,,,je:parish:st-brelade,2,,
je:vingtaine:la-vingtaine-du-coin,JE,vingtaine,La Vingtaine du Coin,,,je:parish:st-brelade,2,,
je:vingtaine:la-grande-vingtaine,JE,vingtaine,La Grande Vingtaine,,,je:parish:st-clement,2,,
je:vingtaine:la-vingtaine-du-rocquier,JE,vingtaine,La Vingtaine du Rocquier,,,je:parish:st-clement,2,,
je:vingtaine:la-vingtaine-de-samares,JE,vingtaine,La Vingtaine de Samarès,,,je:parish:st-clement,2,,
je:canton:canton-de-bas-de-la-vingtaine-de-la-ville,JE,canton,Canton de Bas de la Vingtaine de la Ville,,,je:parish:st-helier,2,,
je:canton:canton-de-haut-de-la-vingtaine-de-la-ville,JE,canton,Canton de Haut de la Vingtaine de la Ville,,,je:parish:st-helier,2,,
je:vingtaine:la-vingtaine-de-haut-du-mont-au-pretre,JE,vingtaine,La Vingtaine de Haut du Mont au Prêtre,,,je:parish:st-helier,2,,
je:vingtaine:la-vingtaine-du-rouge-bouillon,JE,vingtaine,La Vingtaine du Rouge Bouillon,,,je:parish:st-helier,2,,
je:vingtaine:la-vingtaine-du-mont-a-l-abbe,JE,vingtaine,La Vingtaine du Mont à l'Abbé,,,je:parish:st-helier,2,,
je:vingtaine:la-vingtaine-du-mont-cochon,JE,vingtaine,La Vingtaine du Mont Cochon,,,je:parish:st-helier,2,,
je:vingtaine:la-vingtaine-de-bas-du-mont-au-pretre,JE,vingtaine,La Vingtaine de Bas du Mont au Prêtre,,,je:parish:st-helier,2,,
je:vingtaine:la-vingtaine-de-herupe,JE,vingtaine,La Vingtaine de Hérupe,,,je:parish:st-john,2,,
je:vingtaine:la-vingtaine-du-nord,JE,vingtaine,La Vingtaine du Nord,,,je:parish:st-john,2,,
je:vingtaine:la-vingtaine-du-douet,JE,vingtaine,La Vingtaine du Douet,,,je:parish:st-john,2,,
je:vingtaine:la-vingtaine-bas-de-la-vallee,JE,vingtaine,La Vingtaine Bas de la Vallée,,,je:parish:st-lawrence,2,,
je:vingtaine:la-vingtaine-du-coin-hatain,JE,vingtaine,La Vingtaine du Coin Hâtain,,,je:parish:st-lawrence,2,,
je:vingtaine:la-vingtaine-du-coin-motier,JE,vingtaine,La Vingtaine du Coin Motier,,,je:parish:st-lawrence,2,,
je:vingtaine:la-vingtaine-du-coin-tourgis-nord,JE,vingtaine,La Vingtaine du Coin Tourgis Nord,,,je:parish:st-lawrence,2,,
je:vingtaine:la-vingtaine-du-coin-tourgis-sud,JE,vingtaine,La Vingtaine du Coin Tourgis Sud,,,je:parish:st-lawrence,2,,
je:vingtaine:la-vingtaine-haut-de-la-vallee,JE,vingtaine,La Vingtaine Haut de la Vallée,,,je:parish:st-lawrence,2,,
je:vingtaine:la-vingtaine-de-faldouet,JE,vingtaine,La Vingtaine de Faldouet,,,je:parish:st-martin,2,,
je:vingtaine:la-vingtaine-de-la-queruee,JE,vingtaine,La Vingtaine de la Quéruée,,,je:parish:st-martin,2,,
je:vingtaine:la-vingtaine-de-l-eglise,JE,vingtaine,La Vingtaine de l'Église,,,je:parish:st-martin,2,,
je:vingtaine:la-vingtaine-de-rozel,JE,vingtaine,La Vingtaine de Rozel,,,je:parish:st-martin,2,,
je:vingtaine:la-vingtaine-du-fief-de-la-reine,JE,vingtaine,La Vingtaine du Fief de la Reine,,,je:parish:st-martin,2,,
je:vingtaine:st-mary:la-vingtaine-du-nord,JE,vingtaine,La Vingtaine du Nord,,,je:parish:st-mary,2,,
je:vingtaine:la-vingtaine-du-sud,JE,vingtaine,La Vingtaine du Sud,,,je:parish:st-mary,2,,
je:cueillette:la-cueillette-de-grantez,JE,cueillette,La Cueillette de Grantez,,,je:parish:st-ouen,2,,
je:cueillette:la-cueillette-de-leoville,JE,cueillette,La Cueillette de Léoville,,,je:parish:st-ouen,2,,
je:cueillette:la-cueillette-de-millais,JE,cueillette,La Cueillette de Millais,,,je:parish:st-ouen,2,,
je:cueillette:la-cueillette-de-vinchelez,JE,cueillette,La Cueillette de Vinchelez,,,je:parish:st-ouen,2,,
je:cueillette:la-grande-cueillette,JE,cueillette,La Grande Cueillette,,,je:parish:st-ouen,2,,
je:cueillette:la-petite-cueillette,JE,cueillette,La Petite Cueillette,,,je:parish:st-ouen,2,,
je:vingtaine:st-peter:la-grande-vingtaine,JE,vingtaine,La Grande Vingtaine,,,je:parish:st-peter,2,,
je:vingtaine:la-vingtaine-de-st-nicolas,JE,vingtaine,La Vingtaine de St. Nicolas,,,je:parish:st-peter,2,,
je:vingtaine:la-vingtaine-des-augerez,JE,vingtaine,La Vingtaine des Augerez,,,je:parish:st-peter,2,,
je:vingtaine:la-vingtaine-du-coin-varin,JE,vingtaine,La Vingtaine du Coin Varin,,,je:parish:st-peter,2,,
je:vingtaine:st-peter:la-vingtaine-du-douet,JE,vingtaine,La Vingtaine du Douet,,,je:parish:st-peter,2,,
je:vingtaine:la-vingtaine-de-la-petite-longueville,JE,vingtaine,La Vingtaine de la Petite Longueville,,,je:parish:st-saviour,2,,
je:vingtaine:la-vingtaine-de-la-grande-longueville,JE,vingtaine,La Vingtaine de la Grande Longueville,,,je:parish:st-saviour,2,,
je:vingtaine:la-vingtaine-de-maufant,JE,vingtaine,La Vingtaine de Maufant,,,je:parish:st-saviour,2,,
je:vingtaine:la-vingtaine-de-sous-la-hougue,JE,vingtaine,La Vingtaine de Sous la Hougue,,,je:parish:st-saviour,2,,
je:vingtaine:la-vingtaine-de-sous-l-eglise,JE,vingtaine,La Vingtaine de Sous l'Église,,,je:parish:st-saviour,2,,
je:vingtaine:la-vingtaine-des-pigneaux,JE,vingtaine,La Vingtaine des Pigneaux,,,je:parish:st-saviour,2,,
je:vingtaine:la-vingtaine-de-la-croiserie,JE,vingtaine,La Vingtaine de la Croiserie,,,je:parish:trinity,2,,
je:vingtaine:la-vingtaine-de-la-ville-a-l-eveque,JE,vingtaine,La Vingtaine de la Ville-à-l'Évêque,,,je:parish:trinity,2,,
je:vingtaine:trinity:la-vingtaine-de-rozel,JE,vingtaine,La Vingtaine de Rozel,,,je:parish:trinity,2,,
je:vingtaine:la-vingtaine-des-augres,JE,vingtaine,La Vingtaine des Augrès,,,je:parish:trinity,2,,
je:vingtaine:la-vingtaine-du-rondin,JE,vingtaine,La Vingtaine du Rondin,,,je:parish:trinity,2,,
