postcode,area_source_id,relationship_type,is_primary
11101,jo:liwa:amman:jizah,served_by,true
11104,jo:liwa:amman:muaqqar,served_by,true
11110,jo:liwa:amman:marka,served_by,true
11115,jo:liwa:amman:quaismeh,served_by,true
11118,jo:liwa:amman:marka,served_by,true
11120,jo:liwa:amman:wadi-essier,served_by,true
11121,jo:liwa:amman:wadi-essier,served_by,true
11121,jo:liwa:amman:al-jami-ah,served_by,false
11123,jo:liwa:amman:marka,served_by,true
11131,jo:liwa:amman:marka,served_by,true
11134,jo:liwa:amman:marka,served_by,true
11136,jo:liwa:amman:al-jami-ah,served_by,true
11140,jo:liwa:amman:marka,served_by,true
11141,jo:liwa:amman:amman-qasabah,served_by,true
11142,jo:liwa:amman:marka,served_by,true
11145,jo:liwa:amman:amman-qasabah,served_by,true
11151,jo:liwa:irbid:koorah,served_by,true
11152,jo:liwa:amman:quaismeh,served_by,true
11162,jo:liwa:amman:amman-qasabah,served_by,true
11163,jo:liwa:amman:marka,served_by,true
11171,jo:liwa:amman:amman-qasabah,served_by,true
11180,jo:liwa:amman:amman-qasabah,served_by,true
11181,jo:liwa:amman:amman-qasabah,served_by,true
11183,jo:liwa:amman:amman-qasabah,served_by,true
11185,jo:liwa:amman:wadi-essier,served_by,true
11190,jo:liwa:amman:amman-qasabah,served_by,true
11191,jo:liwa:amman:quaismeh,served_by,true
11192,jo:liwa:amman:muaqqar,served_by,true
11193,jo:liwa:amman:naour,served_by,true
11194,jo:liwa:amman:amman-qasabah,served_by,true
11195,jo:liwa:amman:marka,served_by,true
11196,jo:liwa:amman:amman-qasabah,served_by,true
11511,jo:liwa:amman:sahab,served_by,true
11512,jo:liwa:zarqa:hashemiyah,served_by,true
11591,jo:liwa:amman:quaismeh,served_by,true
11592,jo:liwa:amman:quaismeh,served_by,true
11593,jo:liwa:amman:quaismeh,served_by,true
11610,jo:liwa:amman:quaismeh,served_by,true
11621,jo:liwa:amman:quaismeh,served_by,true
11622,jo:liwa:amman:al-jami-ah,served_by,true
11623,jo:liwa:amman:quaismeh,served_by,true
11636,jo:liwa:ma-an:shobak,served_by,true
11710,jo:liwa:amman:naour,served_by,true
11731,jo:liwa:amman:jizah,served_by,true
11732,jo:liwa:amman:wadi-essier,served_by,true
11733,jo:liwa:amman:al-jami-ah,served_by,true
11810,jo:liwa:amman:wadi-essier,served_by,true
11814,jo:liwa:amman:wadi-essier,served_by,true
11821,jo:liwa:amman:al-jami-ah,served_by,true
11822,jo:liwa:amman:al-jami-ah,served_by,true
