source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
kz:region:abai,KZ,region,Abai,,10,,1,,
kz:region:akmola,KZ,region,Akmola,,11,,1,,
kz:region:aktobe,KZ,region,Aktobe,,15,,1,,
kz:region:almaty,KZ,region,Almaty,,19,,1,,
kz:city:almaty,KZ,city,Almaty,,75,,1,,
kz:city:astana,KZ,city,Astana,,71,,1,,
kz:region:atyrau,KZ,region,Atyrau,,23,,1,,
kz:region:east-kazakhstan,KZ,region,East Kazakhstan,,63,,1,,
kz:region:jambyl,KZ,region,Jambyl,,31,,1,,
kz:region:jetisu,KZ,region,Jetisu,,33,,1,,
kz:region:karaganda,KZ,region,Karaganda,,35,,1,,
kz:region:kostanay,KZ,region,Kostanay,,39,,1,,
kz:region:kyzylorda,KZ,region,Kyzylorda,,43,,1,,
kz:region:mangystau,KZ,region,Mangystau,,47,,1,,
kz:region:north-kazakhstan,KZ,region,North Kazakhstan,,59,,1,,
kz:region:pavlodar,KZ,region,Pavlodar,,55,,1,,
kz:city:shymkent,KZ,city,Shymkent,,79,,1,,
kz:region:turkistan,KZ,region,Turkistan,,61,,1,,
kz:region:ulytau,KZ,region,Ulytau,,62,,1,,
kz:region:west-kazakhstan,KZ,region,West Kazakhstan,,27,,1,,
