source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ke:county:baringo,KE,county,Baringo,,01,,1,,
ke:county:bomet,KE,county,Bomet,,02,,1,,
ke:county:bungoma,KE,county,Bungoma,,03,,1,,
ke:county:busia,KE,county,Busia,,04,,1,,
ke:county:elgeyo-marakwet,KE,county,Elgeyo-Marakwet,,05,,1,,
ke:county:embu,KE,county,Embu,,06,,1,,
ke:county:garissa,KE,county,Garissa,,07,,1,,
ke:county:homa-bay,KE,county,Homa Bay,,08,,1,,
ke:county:isiolo,KE,county,Isiolo,,09,,1,,
ke:county:kajiado,KE,county,Kajiado,,10,,1,,
ke:county:kakamega,KE,county,Kakamega,,11,,1,,
ke:county:kericho,KE,county,Kericho,,12,,1,,
ke:county:kiambu,KE,county,Kiambu,,13,,1,,
ke:county:kilifi,KE,county,Kilifi,,14,,1,,
ke:county:kirinyaga,KE,county,Kirinyaga,,15,,1,,
ke:county:kisii,KE,county,Kisii,,16,,1,,
ke:county:kisumu,KE,county,Kisumu,,17,,1,,
ke:county:kitui,KE,county,Kitui,,18,,1,,
ke:county:kwale,KE,county,Kwale,,19,,1,,
ke:county:laikipia,KE,county,Laikipia,,20,,1,,
ke:county:lamu,KE,county,Lamu,,21,,1,,
ke:county:machakos,KE,county,Machakos,,22,,1,,
ke:county:makueni,KE,county,Makueni,,23,,1,,
ke:county:mandera,KE,county,Mandera,,24,,1,,
ke:county:marsabit,KE,county,Marsabit,,25,,1,,
ke:county:meru,KE,county,Meru,,26,,1,,
ke:county:migori,KE,county,Migori,,27,,1,,
ke:county:mombasa,KE,county,Mombasa,,28,,1,,
ke:county:murang-a,KE,county,Murang'a,,29,,1,,
ke:county:nairobi-city,KE,county,Nairobi City,,30,,1,,
ke:county:nakuru,KE,county,Nakuru,,31,,1,,
ke:county:nandi,KE,county,Nandi,,32,,1,,
ke:county:narok,KE,county,Narok,,33,,1,,
ke:county:nyamira,KE,county,Nyamira,,34,,1,,
ke:county:nyandarua,KE,county,Nyandarua,,35,,1,,
ke:county:nyeri,KE,county,Nyeri,,36,,1,,
ke:county:samburu,KE,county,Samburu,,37,,1,,
ke:county:siaya,KE,county,Siaya,,38,,1,,
ke:county:taita-taveta,KE,county,Taita-Taveta,,39,,1,,
ke:county:tana-river,KE,county,Tana River,,40,,1,,
ke:county:tharaka-nithi,KE,county,Tharaka-Nithi,,41,,1,,
ke:county:trans-nzoia,KE,county,Trans Nzoia,,42,,1,,
ke:county:turkana,KE,county,Turkana,,43,,1,,
ke:county:uasin-gishu,KE,county,Uasin Gishu,,44,,1,,
ke:county:vihiga,KE,county,Vihiga,,45,,1,,
ke:county:wajir,KE,county,Wajir,,46,,1,,
ke:county:west-pokot,KE,county,West Pokot,,47,,1,,
ke:constituency:changamwe,KE,constituency,Changamwe,,,ke:county:mombasa,2,,
ke:constituency:jomvu,KE,constituency,Jomvu,,,ke:county:mombasa,2,,
ke:constituency:kisauni,KE,constituency,Kisauni,,,ke:county:mombasa,2,,
ke:constituency:nyali,KE,constituency,Nyali,,,ke:county:mombasa,2,,
ke:constituency:likoni,KE,constituency,Likoni,,,ke:county:mombasa,2,,
ke:constituency:mvita,KE,constituency,Mvita,,,ke:county:mombasa,2,,
ke:constituency:msambweni,KE,constituency,Msambweni,,,ke:county:kwale,2,,
ke:constituency:lunga-lunga,KE,constituency,Lunga Lunga,,,ke:county:kwale,2,,
ke:constituency:matuga,KE,constituency,Matuga,,,ke:county:kwale,2,,
ke:constituency:kinango,KE,constituency,Kinango,,,ke:county:kwale,2,,
ke:constituency:kilifi-north,KE,constituency,Kilifi North,,,ke:county:kilifi,2,,
ke:constituency:kilifi-south,KE,constituency,Kilifi South,,,ke:county:kilifi,2,,
ke:constituency:kaloleni,KE,constituency,Kaloleni,,,ke:county:kilifi,2,,
ke:constituency:rabai,KE,constituency,Rabai,,,ke:county:kilifi,2,,
ke:constituency:ganze,KE,constituency,Ganze,,,ke:county:kilifi,2,,
ke:constituency:malindi,KE,constituency,Malindi,,,ke:county:kilifi,2,,
ke:constituency:magarini,KE,constituency,Magarini,,,ke:county:kilifi,2,,
ke:constituency:garsen,KE,constituency,Garsen,,,ke:county:tana-river,2,,
ke:constituency:galole,KE,constituency,Galole,,,ke:county:tana-river,2,,
ke:constituency:bura,KE,constituency,Bura,,,ke:county:tana-river,2,,
ke:constituency:lamu-east,KE,constituency,Lamu East,,,ke:county:lamu,2,,
ke:constituency:lamu-west,KE,constituency,Lamu West,,,ke:county:lamu,2,,
ke:constituency:taveta,KE,constituency,Taveta,,,ke:county:taita-taveta,2,,
ke:constituency:wundanyi,KE,constituency,Wundanyi,,,ke:county:taita-taveta,2,,
ke:constituency:mwatate,KE,constituency,Mwatate,,,ke:county:taita-taveta,2,,
ke:constituency:voi,KE,constituency,Voi,,,ke:county:taita-taveta,2,,
ke:constituency:garissa-township,KE,constituency,Garissa Township,,,ke:county:garissa,2,,
ke:constituency:balambala,KE,constituency,Balambala,,,ke:county:garissa,2,,
ke:constituency:lagdera,KE,constituency,Lagdera,,,ke:county:garissa,2,,
ke:constituency:dadaab,KE,constituency,Dadaab,,,ke:county:garissa,2,,
ke:constituency:fafi,KE,constituency,Fafi,,,ke:county:garissa,2,,
ke:constituency:ijara,KE,constituency,Ijara,,,ke:county:garissa,2,,
ke:constituency:wajir-north,KE,constituency,Wajir North,,,ke:county:wajir,2,,
ke:constituency:wajir-east,KE,constituency,Wajir East,,,ke:county:wajir,2,,
ke:constituency:tarbaj,KE,constituency,Tarbaj,,,ke:county:wajir,2,,
ke:constituency:wajir-west,KE,constituency,Wajir West,,,ke:county:wajir,2,,
ke:constituency:eldas,KE,constituency,Eldas,,,ke:county:wajir,2,,
ke:constituency:wajir-south,KE,constituency,Wajir South,,,ke:county:wajir,2,,
ke:constituency:mandera-west,KE,constituency,Mandera West,,,ke:county:mandera,2,,
ke:constituency:banissa,KE,constituency,Banissa,,,ke:county:mandera,2,,
ke:constituency:mandera-north,KE,constituency,Mandera North,,,ke:county:mandera,2,,
ke:constituency:mandera-south,KE,constituency,Mandera South,,,ke:county:mandera,2,,
ke:constituency:mandera-east,KE,constituency,Mandera East,,,ke:county:mandera,2,,
ke:constituency:lafey,KE,constituency,Lafey,,,ke:county:mandera,2,,
ke:constituency:moyale,KE,constituency,Moyale,,,ke:county:marsabit,2,,
ke:constituency:north-horr,KE,constituency,North Horr,,,ke:county:marsabit,2,,
ke:constituency:saku,KE,constituency,Saku,,,ke:county:marsabit,2,,
ke:constituency:laisamis,KE,constituency,Laisamis,,,ke:county:marsabit,2,,
ke:constituency:isiolo-north,KE,constituency,Isiolo North,,,ke:county:isiolo,2,,
ke:constituency:isiolo-south,KE,constituency,Isiolo South,,,ke:county:isiolo,2,,
ke:constituency:igembe-south,KE,constituency,Igembe South,,,ke:county:meru,2,,
ke:constituency:igembe-central,KE,constituency,Igembe Central,,,ke:county:meru,2,,
ke:constituency:igembe-north,KE,constituency,Igembe North,,,ke:county:meru,2,,
ke:constituency:tigania-west,KE,constituency,Tigania West,,,ke:county:meru,2,,
ke:constituency:tigania-east,KE,constituency,Tigania East,,,ke:county:meru,2,,
ke:constituency:north-imenti,KE,constituency,North Imenti,,,ke:county:meru,2,,
ke:constituency:buuri,KE,constituency,Buuri,,,ke:county:meru,2,,
ke:constituency:central-imenti,KE,constituency,Central Imenti,,,ke:county:meru,2,,
ke:constituency:south-imenti,KE,constituency,South Imenti,,,ke:county:meru,2,,
ke:constituency:maara,KE,constituency,Maara,,,ke:county:tharaka-nithi,2,,
ke:constituency:chuka-igambang-ombe,KE,constituency,Chuka/Igambang'ombe,,,ke:county:tharaka-nithi,2,,
ke:constituency:tharaka,KE,constituency,Tharaka,,,ke:county:tharaka-nithi,2,,
ke:constituency:manyatta,KE,constituency,Manyatta,,,ke:county:embu,2,,
ke:constituency:runyenjes,KE,constituency,Runyenjes,,,ke:county:embu,2,,
ke:constituency:mbeere-south,KE,constituency,Mbeere South,,,ke:county:embu,2,,
ke:constituency:mbeere-north,KE,constituency,Mbeere North,,,ke:county:embu,2,,
ke:constituency:mwingi-north,KE,constituency,Mwingi North,,,ke:county:kitui,2,,
ke:constituency:mwingi-west,KE,constituency,Mwingi West,,,ke:county:kitui,2,,
ke:constituency:mwingi-central,KE,constituency,Mwingi Central,,,ke:county:kitui,2,,
ke:constituency:kitui-west,KE,constituency,Kitui West,,,ke:county:kitui,2,,
ke:constituency:kitui-rural,KE,constituency,Kitui Rural,,,ke:county:kitui,2,,
ke:constituency:kitui-central,KE,constituency,Kitui Central,,,ke:county:kitui,2,,
ke:constituency:kitui-east,KE,constituency,Kitui East,,,ke:county:kitui,2,,
ke:constituency:kitui-south,KE,constituency,Kitui South,,,ke:county:kitui,2,,
ke:constituency:masinga,KE,constituency,Masinga,,,ke:county:machakos,2,,
ke:constituency:yatta,KE,constituency,Yatta,,,ke:county:machakos,2,,
ke:constituency:kangundo,KE,constituency,Kangundo,,,ke:county:machakos,2,,
ke:constituency:matungulu,KE,constituency,Matungulu,,,ke:county:machakos,2,,
ke:constituency:kathiani,KE,constituency,Kathiani,,,ke:county:machakos,2,,
ke:constituency:mavoko,KE,constituency,Mavoko,,,ke:county:machakos,2,,
ke:constituency:machakos-town,KE,constituency,Machakos Town,,,ke:county:machakos,2,,
ke:constituency:mwala,KE,constituency,Mwala,,,ke:county:machakos,2,,
ke:constituency:mbooni,KE,constituency,Mbooni,,,ke:county:makueni,2,,
ke:constituency:kilome,KE,constituency,Kilome,,,ke:county:makueni,2,,
ke:constituency:kaiti,KE,constituency,Kaiti,,,ke:county:makueni,2,,
ke:constituency:makueni,KE,constituency,Makueni,,,ke:county:makueni,2,,
ke:constituency:kibwezi-west,KE,constituency,Kibwezi West,,,ke:county:makueni,2,,
ke:constituency:kibwezi-east,KE,constituency,Kibwezi East,,,ke:county:makueni,2,,
ke:constituency:kinangop,KE,constituency,Kinangop,,,ke:county:nyandarua,2,,
ke:constituency:kipipiri,KE,constituency,Kipipiri,,,ke:county:nyandarua,2,,
ke:constituency:ol-kalou,KE,constituency,Ol Kalou,,,ke:county:nyandarua,2,,
ke:constituency:ol-jorok,KE,constituency,Ol Jorok,,,ke:county:nyandarua,2,,
ke:constituency:ndaragwa,KE,constituency,Ndaragwa,,,ke:county:nyandarua,2,,
ke:constituency:tetu,KE,constituency,Tetu,,,ke:county:nyeri,2,,
