postcode,area_source_id,relationship_type,is_primary
KI0101,ki:council:makin,served_by,true
KI0102,ki:council:butaritari,served_by,true
KI0103,ki:council:marakei,served_by,true
KI0104,ki:council:abaiang,served_by,true
KI0105,ki:council:north-tarawa,served_by,true
KI0106,ki:council:south-tarawa,served_by,true
KI0107,ki:council:south-tarawa,served_by,true
KI0108,ki:council:betio,served_by,true
KI0109,ki:council:maiana,served_by,true
KI0110,ki:council:kuria,served_by,true
KI0111,ki:council:aranuka,served_by,true
KI0112,ki:council:abemama,served_by,true
KI0113,ki:council:nonouti,served_by,true
KI0114,ki:council:north-tabiteuea,served_by,true
KI0115,ki:council:south-tabiteuea,served_by,true
KI0116,ki:council:onotoa,served_by,true
KI0117,ki:council:beru,served_by,true
KI0118,ki:council:nikunau,served_by,true
KI0119,ki:council:tamana,served_by,true
KI0120,ki:council:arorae,served_by,true
KI0121,ki:council:banaba,served_by,true
KI0201,ki:council:canton,served_by,true
KI0301,ki:council:teraina,served_by,true
KI0302,ki:council:tabuaeran,served_by,true
KI0303,ki:council:kiritimati,served_by,true
