source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
xk:district:ferizaj,XK,district,Ferizaj,,XUF,,1,,
xk:district:gjakova,XK,district,Gjakova,,XDG,,1,,
xk:district:gjilan,XK,district,Gjilan,,XGJ,,1,,
xk:district:mitrovica,XK,district,Mitrovica,,XKM,,1,,
xk:district:peja,XK,district,Peja,,PEJ,,1,,
xk:district:pristina,XK,district,Pristina,,XPI,,1,,
xk:district:prizren,XK,district,Prizren,,PRI,,1,,
xk:municipality:ferizaj,XK,municipality,Ferizaj,,,xk:district:ferizaj,2,,
xk:municipality:hani-i-elezit,XK,municipality,Hani i Elezit,,,xk:district:ferizaj,2,,
xk:municipality:kacanik,XK,municipality,Kaçanik,,,xk:district:ferizaj,2,,
xk:municipality:shtime,XK,municipality,Shtime,,,xk:district:ferizaj,2,,
xk:municipality:strpce,XK,municipality,Štrpce,,,xk:district:ferizaj,2,,
xk:municipality:decan,XK,municipality,Deçan,,,xk:district:gjakova,2,,
xk:municipality:gjakova,XK,municipality,Gjakova,,,xk:district:gjakova,2,,
xk:municipality:junik,XK,municipality,Junik,,,xk:district:gjakova,2,,
xk:municipality:rahovec,XK,municipality,Rahovec,,,xk:district:gjakova,2,,
xk:municipality:gjilan,XK,municipality,Gjilan,,,xk:district:gjilan,2,,
xk:municipality:kamenica,XK,municipality,Kamenica,,,xk:district:gjilan,2,,
xk:municipality:klokot,XK,municipality,Klokot,,,xk:district:gjilan,2,,
xk:municipality:partes,XK,municipality,Parteš,,,xk:district:gjilan,2,,
xk:municipality:ranilug,XK,municipality,Ranilug,,,xk:district:gjilan,2,,
xk:municipality:viti,XK,municipality,Viti,,,xk:district:gjilan,2,,
xk:municipality:leposavic,XK,municipality,Leposavić,,,xk:district:mitrovica,2,,
xk:municipality:mitrovica,XK,municipality,Mitrovica,,,xk:district:mitrovica,2,,
xk:municipality:north-mitrovica,XK,municipality,North Mitrovica,,,xk:district:mitrovica,2,,
xk:municipality:skenderaj,XK,municipality,Skenderaj,,,xk:district:mitrovica,2,,
xk:municipality:vushtrri,XK,municipality,Vushtrri,,,xk:district:mitrovica,2,,
xk:municipality:zubin-potok,XK,municipality,Zubin Potok,,,xk:district:mitrovica,2,,
xk:municipality:zvecan,XK,municipality,Zvečan,,,xk:district:mitrovica,2,,
xk:municipality:peja,XK,municipality,Peja,,,xk:district:peja,2,,
xk:municipality:istog,XK,municipality,Istog,,,xk:district:peja,2,,
xk:municipality:klina,XK,municipality,Klina,,,xk:district:peja,2,,
xk:municipality:drenas,XK,municipality,Drenas,,,xk:district:pristina,2,,
xk:municipality:gracanica,XK,municipality,Gračanica,,,xk:district:pristina,2,,
xk:municipality:kosovo-polje,XK,municipality,Kosovo Polje,,,xk:district:pristina,2,,
xk:municipality:lipjan,XK,municipality,Lipjan,,,xk:district:pristina,2,,
xk:municipality:novo-brdo,XK,municipality,Novo Brdo,,,xk:district:pristina,2,,
xk:municipality:obiliq,XK,municipality,Obiliq,,,xk:district:pristina,2,,
xk:municipality:podujeve,XK,municipality,Podujevë,,,xk:district:pristina,2,,
xk:municipality:pristina,XK,municipality,Pristina,,,xk:district:pristina,2,,
xk:municipality:dragash,XK,municipality,Dragash,,,xk:district:prizren,2,,
xk:municipality:malisheva,XK,municipality,Malisheva,,,xk:district:prizren,2,,
xk:municipality:mamusha,XK,municipality,Mamusha,,,xk:district:prizren,2,,
xk:municipality:prizren,XK,municipality,Prizren,,,xk:district:prizren,2,,
xk:municipality:suva-reka,XK,municipality,Suva Reka,,,xk:district:prizren,2,,
