postcode,area_source_id,relationship_type,is_primary
10000,xk:municipality:pristina,served_by,true
10010,xk:municipality:pristina,served_by,true
10030,xk:municipality:pristina,served_by,true
10040,xk:municipality:pristina,served_by,true
10050,xk:municipality:pristina,served_by,true
10060,xk:municipality:pristina,served_by,true
10070,xk:municipality:pristina,served_by,true
10080,xk:municipality:pristina,served_by,true
10090,xk:municipality:pristina,served_by,true
10100,xk:municipality:pristina,served_by,true
10110,xk:municipality:pristina,served_by,true
10120,xk:municipality:pristina,served_by,true
10130,xk:municipality:pristina,served_by,true
10500,xk:municipality:gracanica,served_by,true
10510,xk:municipality:pristina,served_by,true
10520,xk:municipality:pristina,served_by,true
10530,xk:municipality:pristina,served_by,true
11000,xk:municipality:podujeve,served_by,true
11050,xk:municipality:podujeve,served_by,true
11060,xk:municipality:podujeve,served_by,true
11070,xk:municipality:podujeve,served_by,true
12000,xk:municipality:kosovo-polje,served_by,true
12010,xk:municipality:kosovo-polje,served_by,true
12050,xk:municipality:kosovo-polje,served_by,true
12060,xk:municipality:kosovo-polje,served_by,true
13000,xk:municipality:drenas,served_by,true
13050,xk:municipality:drenas,served_by,true
14000,xk:municipality:lipjan,served_by,true
14050,xk:municipality:lipjan,served_by,true
14060,xk:municipality:lipjan,served_by,true
15000,xk:municipality:obiliq,served_by,true
15050,xk:municipality:obiliq,served_by,true
16000,xk:municipality:novo-brdo,served_by,true
20000,xk:municipality:prizren,served_by,true
20010,xk:municipality:prizren,served_by,true
20020,xk:municipality:prizren,served_by,true
20030,xk:municipality:prizren,served_by,true
20040,xk:municipality:prizren,served_by,true
20050,xk:municipality:prizren,served_by,true
20060,xk:municipality:prizren,served_by,true
20080,xk:municipality:prizren,served_by,true
20510,xk:municipality:prizren,served_by,true
20520,xk:municipality:prizren,served_by,true
20530,xk:municipality:prizren,served_by,true
20540,xk:municipality:mamusha,served_by,true
20550,xk:municipality:prizren,served_by,true
21000,xk:municipality:rahovec,served_by,true
21010,xk:municipality:rahovec,served_by,true
21020,xk:municipality:rahovec,served_by,true
21050,xk:municipality:rahovec,served_by,true
21060,xk:municipality:rahovec,served_by,true
21070,xk:municipality:rahovec,served_by,true
21080,xk:municipality:rahovec,served_by,true
22000,xk:municipality:dragash,served_by,true
22050,xk:municipality:dragash,served_by,true
22060,xk:municipality:dragash,served_by,true
22070,xk:municipality:dragash,served_by,true
22080,xk:municipality:dragash,served_by,true
23000,xk:municipality:suva-reka,served_by,true
23050,xk:municipality:suva-reka,served_by,true
23060,xk:municipality:suva-reka,served_by,true
24000,xk:municipality:malisheva,served_by,true
24050,xk:municipality:malisheva,served_by,true
24060,xk:municipality:malisheva,served_by,true
30000,xk:municipality:peja,served_by,true
30010,xk:municipality:peja,served_by,true
30030,xk:municipality:peja,served_by,true
30040,xk:municipality:peja,served_by,true
30050,xk:municipality:peja,served_by,true
30080,xk:municipality:peja,served_by,true
30090,xk:municipality:peja,served_by,true
31000,xk:municipality:istog,served_by,true
31010,xk:municipality:istog,served_by,true
31020,xk:municipality:istog,served_by,true
31030,xk:municipality:peja,served_by,true
32000,xk:municipality:klina,served_by,true
32050,xk:municipality:klina,served_by,true
40000,xk:municipality:mitrovica,served_by,true
40010,xk:municipality:mitrovica,served_by,true
40040,xk:municipality:mitrovica,served_by,true
40050,xk:municipality:mitrovica,served_by,true
40060,xk:municipality:mitrovica,served_by,true
40500,xk:municipality:mitrovica,served_by,true
40550,xk:municipality:mitrovica,served_by,true
40600,xk:municipality:mitrovica,served_by,true
40650,xk:municipality:zubin-potok,served_by,true
40700,xk:municipality:mitrovica,served_by,true
41000,xk:municipality:skenderaj,served_by,true
41050,xk:municipality:skenderaj,served_by,true
42000,xk:municipality:vushtrri,served_by,true
43000,xk:municipality:zvecan,served_by,true
43500,xk:municipality:leposavic,served_by,true
50000,xk:municipality:gjakova,served_by,true
50010,xk:municipality:gjakova,served_by,true
50040,xk:municipality:gjakova,served_by,true
50050,xk:municipality:gjakova,served_by,true
50060,xk:municipality:gjakova,served_by,true
50070,xk:municipality:gjakova,served_by,true
50080,xk:municipality:gjakova,served_by,true
50090,xk:municipality:gjakova,served_by,true
50100,xk:municipality:gjakova,served_by,true
50500,xk:municipality:gjakova,served_by,true
50550,xk:municipality:gjakova,served_by,true
51000,xk:municipality:decan,served_by,true
51050,xk:municipality:junik,served_by,true
60000,xk:municipality:gjilan,served_by,true
60010,xk:municipality:gjilan,served_by,true
60030,xk:municipality:gjilan,served_by,true
60510,xk:municipality:gjilan,served_by,true
60520,xk:municipality:gjilan,served_by,true
61000,xk:municipality:viti,served_by,true
61050,xk:municipality:klokot,served_by,true
61060,xk:municipality:viti,served_by,true
62000,xk:municipality:kamenica,served_by,true
62050,xk:municipality:kamenica,served_by,true
62060,xk:municipality:kamenica,served_by,true
62070,xk:municipality:kamenica,served_by,true
70000,xk:municipality:ferizaj,served_by,true
70010,xk:municipality:ferizaj,served_by,true
70030,xk:municipality:ferizaj,served_by,true
70040,xk:municipality:ferizaj,served_by,true
70510,xk:municipality:ferizaj,served_by,true
70520,xk:municipality:ferizaj,served_by,true
71000,xk:municipality:kacanik,served_by,true
71510,xk:municipality:hani-i-elezit,served_by,true
72000,xk:municipality:shtime,served_by,true
73000,xk:municipality:strpce,served_by,true
