source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
kg:region:batken,KG,region,Batken,,B,,1,,
kg:city:bishkek,KG,city,Bishkek,,GB,,1,,
kg:region:chuy,KG,region,Chuy,,C,,1,,
kg:region:issyk-kul,KG,region,Issyk-Kul,,Y,,1,,
kg:region:jalal-abad,KG,region,Jalal-Abad,,J,,1,,
kg:region:naryn,KG,region,Naryn,,N,,1,,
kg:city:osh,KG,city,Osh,,GO,,1,,
kg:region:osh,KG,region,Osh,,O,,1,,
kg:region:talas,KG,region,Talas,,T,,1,,
kg:district:birinchi-may,KG,district,Birinchi May,,,kg:city:bishkek,2,,
kg:district:lenin,KG,district,Lenin,,,kg:city:bishkek,2,,
kg:district:oktyabr,KG,district,Oktyabr,,,kg:city:bishkek,2,,
kg:district:sverdlov,KG,district,Sverdlov,,,kg:city:bishkek,2,,
kg:district:alamudun,KG,district,Alamüdün,,,kg:region:chuy,2,,
kg:district:chuy,KG,district,Chüy,,,kg:region:chuy,2,,
kg:district:jayyl,KG,district,Jayyl,,,kg:region:chuy,2,,
kg:district:kemin,KG,district,Kemin,,,kg:region:chuy,2,,
kg:district:moskva,KG,district,Moskva,,,kg:region:chuy,2,,
kg:district:panfilov,KG,district,Panfilov,,,kg:region:chuy,2,,
kg:district:sokuluk,KG,district,Sokuluk,,,kg:region:chuy,2,,
kg:district:ysyk-ata,KG,district,Ysyk-Ata,,,kg:region:chuy,2,,
kg:district:ak-suu,KG,district,Ak-Suu,,,kg:region:issyk-kul,2,,
kg:district:issyk-kul,KG,district,Issyk-Kul,,,kg:region:issyk-kul,2,,
kg:district:jeti-oguz,KG,district,Jeti-Ögüz,,,kg:region:issyk-kul,2,,
kg:district:tong,KG,district,Tong,,,kg:region:issyk-kul,2,,
kg:district:tup,KG,district,Tüp,,,kg:region:issyk-kul,2,,
kg:district:ak-talaa,KG,district,Ak-Talaa,,,kg:region:naryn,2,,
kg:district:at-bashy,KG,district,At-Bashy,,,kg:region:naryn,2,,
kg:district:jumgal,KG,district,Jumgal,,,kg:region:naryn,2,,
kg:district:kochkor,KG,district,Kochkor,,,kg:region:naryn,2,,
kg:district:naryn,KG,district,Naryn,,,kg:region:naryn,2,,
kg:district:bakay-ata,KG,district,Bakay-Ata,,,kg:region:talas,2,,
kg:district:kara-buura,KG,district,Kara-Buura,,,kg:region:talas,2,,
kg:district:manas,KG,district,Manas,,,kg:region:talas,2,,
kg:district:talas,KG,district,Talas,,,kg:region:talas,2,,
kg:district:batken,KG,district,Batken,,,kg:region:batken,2,,
kg:district:kadamjay,KG,district,Kadamjay,,,kg:region:batken,2,,
kg:district:leylek,KG,district,Leylek,,,kg:region:batken,2,,
kg:district:aksy,KG,district,Aksy,,,kg:region:jalal-abad,2,,
kg:district:ala-buka,KG,district,Ala-Buka,,,kg:region:jalal-abad,2,,
kg:district:bazar-korgon,KG,district,Bazar-Korgon,,,kg:region:jalal-abad,2,,
kg:district:chatkal,KG,district,Chatkal,,,kg:region:jalal-abad,2,,
kg:district:nooken,KG,district,Nooken,,,kg:region:jalal-abad,2,,
kg:district:suzak,KG,district,Suzak,,,kg:region:jalal-abad,2,,
kg:district:toguz-toro,KG,district,Toguz-Toro,,,kg:region:jalal-abad,2,,
kg:district:toktogul,KG,district,Toktogul,,,kg:region:jalal-abad,2,,
kg:district:alay,KG,district,Alay,,,kg:region:osh,2,,
kg:district:aravan,KG,district,Aravan,,,kg:region:osh,2,,
kg:district:chong-alay,KG,district,Chong-Alay,,,kg:region:osh,2,,
kg:district:kara-kulja,KG,district,Kara-Kulja,,,kg:region:osh,2,,
kg:district:kara-suu,KG,district,Kara-Suu,,,kg:region:osh,2,,
kg:district:nookat,KG,district,Nookat,,,kg:region:osh,2,,
kg:district:ozgon,KG,district,Özgön,,,kg:region:osh,2,,
