source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
la:province:attapeu,LA,province,Attapeu,,AT,,1,,
la:province:bokeo,LA,province,Bokeo,,BK,,1,,
la:province:bolikhamsai,LA,province,Bolikhamsai,,BL,,1,,
la:province:champasak,LA,province,Champasak,,CH,,1,,
la:province:houaphanh,LA,province,Houaphanh,,HO,,1,,
la:province:khammouane,LA,province,Khammouane,,KH,,1,,
la:province:luang-namtha,LA,province,Luang Namtha,,LM,,1,,
la:province:luang-prabang,LA,province,Luang Prabang,,LP,,1,,
la:province:oudomxay,LA,province,Oudomxay,,OU,,1,,
la:province:phongsaly,LA,province,Phongsaly,,PH,,1,,
la:province:sainyabuli,LA,province,Sainyabuli,,XA,,1,,
la:province:salavan,LA,province,Salavan,,SL,,1,,
la:province:savannakhet,LA,province,Savannakhet,,SV,,1,,
la:province:sekong,LA,province,Sekong,,XE,,1,,
la:province:vientiane,LA,province,Vientiane,,VI,,1,,
la:prefecture:vientiane,LA,prefecture,Vientiane,,VT,,1,,
la:province:xaisomboun,LA,province,Xaisomboun,,XS,,1,,
la:province:xiangkhouang,LA,province,Xiangkhouang,,XI,,1,,
la:district:chanthabuly,LA,district,Chanthabuly,,1-01,la:prefecture:vientiane,2,,
la:district:sikhottabong,LA,district,Sikhottabong,,1-02,la:prefecture:vientiane,2,,
la:district:xaysetha,LA,district,Xaysetha,,1-03,la:prefecture:vientiane,2,,
la:district:sisattanak,LA,district,Sisattanak,,1-04,la:prefecture:vientiane,2,,
la:district:naxaithong,LA,district,Naxaithong,,1-05,la:prefecture:vientiane,2,,
la:district:xaythany,LA,district,Xaythany,,1-06,la:prefecture:vientiane,2,,
la:district:hadxayfong,LA,district,Hadxayfong,,1-07,la:prefecture:vientiane,2,,
la:district:sangthong-district,LA,district,Sangthong district,,1-08,la:prefecture:vientiane,2,,
la:district:mayparkngum-district,LA,district,Mayparkngum district,,1-09,la:prefecture:vientiane,2,,
la:district:phongsaly,LA,district,Phongsaly,,2-01,la:province:phongsaly,2,,
la:district:may,LA,district,May,,2-02,la:province:phongsaly,2,,
la:district:khoua,LA,district,Khoua,,2-03,la:province:phongsaly,2,,
la:district:samphanh,LA,district,Samphanh,,2-04,la:province:phongsaly,2,,
la:district:boun-neua,LA,district,Boun Neua,,2-05,la:province:phongsaly,2,,
la:district:yot-ou,LA,district,Yot Ou,,2-06,la:province:phongsaly,2,,
la:district:boun-tay,LA,district,Boun Tay,,2-07,la:province:phongsaly,2,,
la:district:namtha,LA,district,Namtha,,3-01,la:province:luang-namtha,2,,
la:district:sing,LA,district,Sing,,3-02,la:province:luang-namtha,2,,
la:district:long,LA,district,Long,,3-03,la:province:luang-namtha,2,,
la:district:viengphoukha,LA,district,Viengphoukha,,3-04,la:province:luang-namtha,2,,
la:district:na-le,LA,district,Na Le,,3-05,la:province:luang-namtha,2,,
la:district:xay,LA,district,Xay,,4-01,la:province:oudomxay,2,,
la:district:la,LA,district,La,,4-02,la:province:oudomxay,2,,
la:district:na-mo,LA,district,Na Mo,,4-03,la:province:oudomxay,2,,
la:district:nga,LA,district,Nga,,4-04,la:province:oudomxay,2,,
la:district:beng,LA,district,Beng,,4-05,la:province:oudomxay,2,,
la:district:houne,LA,district,Houne,,4-06,la:province:oudomxay,2,,
la:district:pak-beng,LA,district,Pak Beng,,4-07,la:province:oudomxay,2,,
la:district:houayxay,LA,district,Houayxay,,5-01,la:province:bokeo,2,,
la:district:ton-pheung,LA,district,Ton Pheung,,5-02,la:province:bokeo,2,,
la:district:meung,LA,district,Meung,,5-03,la:province:bokeo,2,,
la:district:pha-oudom,LA,district,Pha Oudom,,5-04,la:province:bokeo,2,,
la:district:pak-tha,LA,district,Pak Tha,,5-05,la:province:bokeo,2,,
la:district:luang-prabang,LA,district,Luang Prabang,,6-01,la:province:luang-prabang,2,,
la:district:xiengngeun,LA,district,Xiengngeun,,6-02,la:province:luang-prabang,2,,
la:district:nane,LA,district,Nane,,6-03,la:province:luang-prabang,2,,
la:district:pak-ou,LA,district,Pak Ou,,6-04,la:province:luang-prabang,2,,
la:district:nam-bak,LA,district,Nam Bak,,6-05,la:province:luang-prabang,2,,
la:district:ngoy,LA,district,Ngoy,,6-06,la:province:luang-prabang,2,,
la:district:pak-seng,LA,district,Pak Seng,,6-07,la:province:luang-prabang,2,,
la:district:phonxay,LA,district,Phonxay,,6-08,la:province:luang-prabang,2,,
la:district:chomphet,LA,district,Chomphet,,6-09,la:province:luang-prabang,2,,
la:district:viengkham,LA,district,Viengkham,,6-10,la:province:luang-prabang,2,,
la:district:phoukhoune,LA,district,Phoukhoune,,6-11,la:province:luang-prabang,2,,
la:district:phonthong,LA,district,Phonthong,,6-12,la:province:luang-prabang,2,,
la:district:xam-neua,LA,district,Xam Neua,,7-01,la:province:houaphanh,2,,
la:district:xiengkho,LA,district,Xiengkho,,7-02,la:province:houaphanh,2,,
la:district:hiam,LA,district,Hiam,,7-03,la:province:houaphanh,2,,
la:district:viengxay,LA,district,Viengxay,,7-04,la:province:houaphanh,2,,
la:district:houameuang,LA,district,Houameuang,,7-05,la:province:houaphanh,2,,
la:district:samtay,LA,district,Samtay,,7-06,la:province:houaphanh,2,,
la:district:sop-bao,LA,district,Sop Bao,,7-07,la:province:houaphanh,2,,
la:district:et,LA,district,Et,,7-08,la:province:houaphanh,2,,
la:district:kone,LA,district,Kone,,7-09,la:province:houaphanh,2,,
la:district:xon,LA,district,Xon,,7-10,la:province:houaphanh,2,,
la:district:sainyabuli,LA,district,Sainyabuli,,8-01,la:province:sainyabuli,2,,
la:district:khop,LA,district,Khop,,8-02,la:province:sainyabuli,2,,
la:district:hongsa,LA,district,Hongsa,,8-03,la:province:sainyabuli,2,,
la:district:ngeun,LA,district,Ngeun,,8-04,la:province:sainyabuli,2,,
la:district:xienghone,LA,district,Xienghone,,8-05,la:province:sainyabuli,2,,
la:district:phiang,LA,district,Phiang,,8-06,la:province:sainyabuli,2,,
la:district:parklai,LA,district,Parklai,,8-07,la:province:sainyabuli,2,,
la:district:kenethao,LA,district,Kenethao,,8-08,la:province:sainyabuli,2,,
