postcode,area_source_id,relationship_type,is_primary
LV-1001,lv:state_city:riga,served_by,true
LV-1002,lv:state_city:riga,served_by,true
LV-1003,lv:state_city:riga,served_by,true
LV-1004,lv:state_city:riga,served_by,true
LV-1005,lv:state_city:riga,served_by,true
LV-1006,lv:state_city:riga,served_by,true
LV-1007,lv:state_city:riga,served_by,true
LV-1009,lv:state_city:riga,served_by,true
LV-1010,lv:state_city:riga,served_by,true
LV-1011,lv:state_city:riga,served_by,true
LV-1012,lv:state_city:riga,served_by,true
LV-1013,lv:state_city:riga,served_by,true
LV-1014,lv:state_city:riga,served_by,true
LV-1015,lv:state_city:riga,served_by,true
LV-1016,lv:state_city:riga,served_by,true
LV-1019,lv:state_city:riga,served_by,true
LV-1021,lv:state_city:riga,served_by,true
LV-1023,lv:municipality:ropazi,served_by,true
LV-1023,lv:state_city:riga,served_by,false
LV-1024,lv:municipality:ropazi,served_by,true
LV-1024,lv:state_city:riga,served_by,false
LV-1026,lv:state_city:riga,served_by,true
LV-1029,lv:state_city:riga,served_by,true
LV-1030,lv:state_city:riga,served_by,true
LV-1034,lv:state_city:riga,served_by,true
LV-1035,lv:state_city:riga,served_by,true
LV-1038,lv:state_city:riga,served_by,true
LV-1039,lv:state_city:riga,served_by,true
LV-1044,lv:municipality:marupe,served_by,true
LV-1045,lv:state_city:riga,served_by,true
LV-1046,lv:state_city:riga,served_by,true
LV-1048,lv:state_city:riga,served_by,true
LV-1050,lv:state_city:riga,served_by,true
LV-1053,lv:municipality:marupe,served_by,true
LV-1055,lv:state_city:riga,served_by,true
LV-1057,lv:municipality:ropazi,served_by,true
LV-1057,lv:state_city:riga,served_by,false
LV-1058,lv:municipality:marupe,served_by,true
LV-1058,lv:state_city:riga,served_by,false
LV-1063,lv:state_city:riga,served_by,true
LV-1064,lv:state_city:riga,served_by,true
LV-1067,lv:state_city:riga,served_by,true
LV-1069,lv:state_city:riga,served_by,true
LV-1073,lv:state_city:riga,served_by,true
LV-1076,lv:municipality:kekava,served_by,true
LV-1076,lv:state_city:riga,served_by,false
LV-1079,lv:state_city:riga,served_by,true
LV-1082,lv:state_city:riga,served_by,true
LV-1083,lv:state_city:riga,served_by,true
LV-1084,lv:state_city:riga,served_by,true
LV-2008,lv:state_city:jurmala,served_by,true
LV-2010,lv:state_city:jurmala,served_by,true
LV-2011,lv:municipality:marupe,served_by,true
LV-2011,lv:state_city:jurmala,served_by,false
LV-2012,lv:state_city:jurmala,served_by,true
LV-2015,lv:state_city:jurmala,served_by,true
LV-2016,lv:state_city:jurmala,served_by,true
LV-2101,lv:municipality:marupe,served_by,true
LV-2103,lv:municipality:adazi,served_by,true
LV-2105,lv:municipality:marupe,served_by,true
LV-2107,lv:municipality:marupe,served_by,true
LV-2108,lv:municipality:marupe,served_by,true
LV-2111,lv:municipality:kekava,served_by,true
LV-2112,lv:municipality:kekava,served_by,true
LV-2113,lv:municipality:kekava,served_by,false
