country_code,code
LV,LV-1001
LV,LV-1002
LV,LV-1003
LV,LV-1004
LV,LV-1005
LV,LV-1006
LV,LV-1007
LV,LV-1009
LV,LV-1010
LV,LV-1011
LV,LV-1012
LV,LV-1013
LV,LV-1014
LV,LV-1015
LV,LV-1016
LV,LV-1019
LV,LV-1021
LV,LV-1023
LV,LV-1024
LV,LV-1026
LV,LV-1029
LV,LV-1030
LV,LV-1034
LV,LV-1035
LV,LV-1038
LV,LV-1039
LV,LV-1044
LV,LV-1045
LV,LV-1046
LV,LV-1048
LV,LV-1050
LV,LV-1053
LV,LV-1055
LV,LV-1057
LV,LV-1058
LV,LV-1063
LV,LV-1064
LV,LV-1067
LV,LV-1069
LV,LV-1073
LV,LV-1076
LV,LV-1079
LV,LV-1082
LV,LV-1083
LV,LV-1084
LV,LV-2008
LV,LV-2010
LV,LV-2011
LV,LV-2012
LV,LV-2015
LV,LV-2016
LV,LV-2101
LV,LV-2103
LV,LV-2105
LV,LV-2107
LV,LV-2108
LV,LV-2111
LV,LV-2112
LV,LV-2113
LV,LV-2114
LV,LV-2117
LV,LV-2118
LV,LV-2119
LV,LV-2121
LV,LV-2123
LV,LV-2124
LV,LV-2125
LV,LV-2127
LV,LV-2128
LV,LV-2130
LV,LV-2133
LV,LV-2135
LV,LV-2136
LV,LV-2137
LV,LV-2140
LV,LV-2141
LV,LV-2142
LV,LV-2144
LV,LV-2145
LV,LV-2150
LV,LV-2151
LV,LV-2152
LV,LV-2154
LV,LV-2160
LV,LV-2161
LV,LV-2162
LV,LV-2163
LV,LV-2164
LV,LV-2166
LV,LV-2167
LV,LV-2169
LV,LV-2170
LV,LV-3001
LV,LV-3002
LV,LV-3003
LV,LV-3004
LV,LV-3007
LV,LV-3008
LV,LV-3011
LV,LV-3014
LV,LV-3016
LV,LV-3017
LV,LV-3018
LV,LV-3020
LV,LV-3021
LV,LV-3022
LV,LV-3023
LV,LV-3026
LV,LV-3028
LV,LV-3031
LV,LV-3034
LV,LV-3036
LV,LV-3037
LV,LV-3040
LV,LV-3042
LV,LV-3043
LV,LV-3045
LV,LV-3101
LV,LV-3104
LV,LV-3110
LV,LV-3113
LV,LV-3118
LV,LV-3119
LV,LV-3120
LV,LV-3122
LV,LV-3123
LV,LV-3124
LV,LV-3128
LV,LV-3129
LV,LV-3131
LV,LV-3132
LV,LV-3133
LV,LV-3134
LV,LV-3135
LV,LV-3137
LV,LV-3139
LV,LV-3140
LV,LV-3142
LV,LV-3145
LV,LV-3146
LV,LV-3147
LV,LV-3148
LV,LV-3201
LV,LV-3251
LV,LV-3253
LV,LV-3257
LV,LV-3258
LV,LV-3260
LV,LV-3261
LV,LV-3262
LV,LV-3264
LV,LV-3270
LV,LV-3275
LV,LV-3280
LV,LV-3281
LV,LV-3283
LV,LV-3284
LV,LV-3285
LV,LV-3287
LV,LV-3291
LV,LV-3292
LV,LV-3294
LV,LV-3297
LV,LV-3298
LV,LV-3301
LV,LV-3306
LV,LV-3307
LV,LV-3309
LV,LV-3310
LV,LV-3312
LV,LV-3313
LV,LV-3314
LV,LV-3317
LV,LV-3319
LV,LV-3320
LV,LV-3321
LV,LV-3322
LV,LV-3323
LV,LV-3324
LV,LV-3325
LV,LV-3326
LV,LV-3328
LV,LV-3329
LV,LV-3330
LV,LV-3332
LV,LV-3333
LV,LV-3401
LV,LV-3402
LV,LV-3405
LV,LV-3407
LV,LV-3411
LV,LV-3414
LV,LV-3416
LV,LV-3430
LV,LV-3431
LV,LV-3433
LV,LV-3434
LV,LV-3435
LV,LV-3436
LV,LV-3438
LV,LV-3440
LV,LV-3441
LV,LV-3442
LV,LV-3443
LV,LV-3444
LV,LV-3445
LV,LV-3446
LV,LV-3447
LV,LV-3452
LV,LV-3453
LV,LV-3455
LV,LV-3456
LV,LV-3457
LV,LV-3461
LV,LV-3463
LV,LV-3466
LV,LV-3473
LV,LV-3474
LV,LV-3475
LV,LV-3476
LV,LV-3477
LV,LV-3480
LV,LV-3482
LV,LV-3484
LV,LV-3485
LV,LV-3486
LV,LV-3487
LV,LV-3601
LV,LV-3602
LV,LV-3604
LV,LV-3612
LV,LV-3613
LV,LV-3614
LV,LV-3615
LV,LV-3617
LV,LV-3619
LV,LV-3620
LV,LV-3621
LV,LV-3623
LV,LV-3624
LV,LV-3626
LV,LV-3627
LV,LV-3701
LV,LV-3708
LV,LV-3709
LV,LV-3710
LV,LV-3711
LV,LV-3713
LV,LV-3714
LV,LV-3716
LV,LV-3717
LV,LV-3718
LV,LV-3719
LV,LV-3721
LV,LV-3722
LV,LV-3723
LV,LV-3724
LV,LV-3725
LV,LV-3729
LV,LV-3730
LV,LV-3731
LV,LV-3732
LV,LV-3801
LV,LV-3851
LV,LV-3852
LV,LV-3853
LV,LV-3861
LV,LV-3862
LV,LV-3871
LV,LV-3873
LV,LV-3875
LV,LV-3876
LV,LV-3880
LV,LV-3882
LV,LV-3883
LV,LV-3890
LV,LV-3891
LV,LV-3892
LV,LV-3893
LV,LV-3894
LV,LV-3895
LV,LV-3896
LV,LV-3897
LV,LV-3898
LV,LV-3899
LV,LV-3901
LV,LV-3905
LV,LV-3906
LV,LV-3907
LV,LV-3908
LV,LV-3910
LV,LV-3913
LV,LV-3914
LV,LV-3915
LV,LV-3917
LV,LV-3918
LV,LV-3921
LV,LV-3924
LV,LV-3925
LV,LV-3926
LV,LV-3927
LV,LV-3929
LV,LV-3930
LV,LV-3931
LV,LV-3932
LV,LV-3933
LV,LV-3936
LV,LV-4001
LV,LV-4004
LV,LV-4010
LV,LV-4011
LV,LV-4012
LV,LV-4013
LV,LV-4020
LV,LV-4022
LV,LV-4023
LV,LV-4025
LV,LV-4033
LV,LV-4035
LV,LV-4043
LV,LV-4050
LV,LV-4052
LV,LV-4054
LV,LV-4061
LV,LV-4063
LV,LV-4064
LV,LV-4068
LV,LV-4101
LV,LV-4102
LV,LV-4103
LV,LV-4108
LV,LV-4110
LV,LV-4112
LV,LV-4113
LV,LV-4116
LV,LV-4118
LV,LV-4119
LV,LV-4122
LV,LV-4123
LV,LV-4125
LV,LV-4126
LV,LV-4128
LV,LV-4129
LV,LV-4131
LV,LV-4132
LV,LV-4133
LV,LV-4136
LV,LV-4139
LV,LV-4141
LV,LV-4143
LV,LV-4144
LV,LV-4146
LV,LV-4151
LV,LV-4152
LV,LV-4154
LV,LV-4201
LV,LV-4206
LV,LV-4208
LV,LV-4210
LV,LV-4211
LV,LV-4213
LV,LV-4215
LV,LV-4216
LV,LV-4219
LV,LV-4220
LV,LV-4222
LV,LV-4223
LV,LV-4224
LV,LV-4227
LV,LV-4228
LV,LV-4232
LV,LV-4234
LV,LV-4240
LV,LV-4241
LV,LV-4242
LV,LV-4244
LV,LV-4245
LV,LV-4247
LV,LV-4248
LV,LV-4301
LV,LV-4332
LV,LV-4333
LV,LV-4335
LV,LV-4336
LV,LV-4337
LV,LV-4339
LV,LV-4340
LV,LV-4341
LV,LV-4342
LV,LV-4344
LV,LV-4345
LV,LV-4348
LV,LV-4350
LV,LV-4351
LV,LV-4352
LV,LV-4354
LV,LV-4355
LV,LV-4358
LV,LV-4359
LV,LV-4401
LV,LV-4405
LV,LV-4406
LV,LV-4409
LV,LV-4410
LV,LV-4412
LV,LV-4415
LV,LV-4416
LV,LV-4417
LV,LV-4420
LV,LV-4421
LV,LV-4424
LV,LV-4425
LV,LV-4426
LV,LV-4428
LV,LV-4429
LV,LV-4501
LV,LV-4561
LV,LV-4562
LV,LV-4566
LV,LV-4567
LV,LV-4570
LV,LV-4571
LV,LV-4572
LV,LV-4573
LV,LV-4574
LV,LV-4576
LV,LV-4577
LV,LV-4580
LV,LV-4582
LV,LV-4583
LV,LV-4584
LV,LV-4585
LV,LV-4586
LV,LV-4587
LV,LV-4590
LV,LV-4591
LV,LV-4592
LV,LV-4594
LV,LV-4595
LV,LV-4601
LV,LV-4604
LV,LV-4611
LV,LV-4612
LV,LV-4614
LV,LV-4615
LV,LV-4616
LV,LV-4617
LV,LV-4618
LV,LV-4619
LV,LV-4621
LV,LV-4622
LV,LV-4623
LV,LV-4625
LV,LV-4626
LV,LV-4627
LV,LV-4628
LV,LV-4630
LV,LV-4631
LV,LV-4633
LV,LV-4634
LV,LV-4635
LV,LV-4636
LV,LV-4638
LV,LV-4640
LV,LV-4641
LV,LV-4642
LV,LV-4643
LV,LV-4645
LV,LV-4647
LV,LV-4648
LV,LV-4649
LV,LV-4650
LV,LV-4652
LV,LV-4701
LV,LV-4706
LV,LV-4707
LV,LV-4708
LV,LV-4711
LV,LV-4712
LV,LV-4713
LV,LV-4715
LV,LV-4716
LV,LV-4718
LV,LV-4723
LV,LV-4724
LV,LV-4726
LV,LV-4727
LV,LV-4728
LV,LV-4729
LV,LV-4730
LV,LV-4731
LV,LV-4733
LV,LV-4735
LV,LV-4801
LV,LV-4824
LV,LV-4825
LV,LV-4826
LV,LV-4830
LV,LV-4833
LV,LV-4834
LV,LV-4835
LV,LV-4836
LV,LV-4837
LV,LV-4838
LV,LV-4840
LV,LV-4841
LV,LV-4844
LV,LV-4846
LV,LV-4847
LV,LV-4852
LV,LV-4853
LV,LV-4855
LV,LV-4860
LV,LV-4862
LV,LV-4863
LV,LV-4865
LV,LV-4870
LV,LV-4871
LV,LV-4873
LV,LV-4880
LV,LV-4884
LV,LV-5001
LV,LV-5003
LV,LV-5011
LV,LV-5012
LV,LV-5015
LV,LV-5016
LV,LV-5020
LV,LV-5022
LV,LV-5033
LV,LV-5041
LV,LV-5044
LV,LV-5045
LV,LV-5047
LV,LV-5052
LV,LV-5060
LV,LV-5062
LV,LV-5064
LV,LV-5065
LV,LV-5070
LV,LV-5071
LV,LV-5101
LV,LV-5106
LV,LV-5108
LV,LV-5109
LV,LV-5110
LV,LV-5111
LV,LV-5112
LV,LV-5113
LV,LV-5115
LV,LV-5118
LV,LV-5120
LV,LV-5123
LV,LV-5124
LV,LV-5125
LV,LV-5128
LV,LV-5129
LV,LV-5130
LV,LV-5133
LV,LV-5134
LV,LV-5135
LV,LV-5201
LV,LV-5202
LV,LV-5204
LV,LV-5208
LV,LV-5209
LV,LV-5210
LV,LV-5211
LV,LV-5212
LV,LV-5214
LV,LV-5215
LV,LV-5216
LV,LV-5217
LV,LV-5218
LV,LV-5220
LV,LV-5221
LV,LV-5222
LV,LV-5223
LV,LV-5224
LV,LV-5226
LV,LV-5228
LV,LV-5229
LV,LV-5230
LV,LV-5232
LV,LV-5236
LV,LV-5237
LV,LV-5238
LV,LV-5239
LV,LV-5301
LV,LV-5304
LV,LV-5305
LV,LV-5311
LV,LV-5312
LV,LV-5315
LV,LV-5316
LV,LV-5318
LV,LV-5320
LV,LV-5323
LV,LV-5325
LV,LV-5326
LV,LV-5327
LV,LV-5328
LV,LV-5329
LV,LV-5330
LV,LV-5331
LV,LV-5333
LV,LV-5334
LV,LV-5335
LV,LV-5337
LV,LV-5401
LV,LV-5404
LV,LV-5410
LV,LV-5412
LV,LV-5413
LV,LV-5414
LV,LV-5415
LV,LV-5417
LV,LV-5418
LV,LV-5422
LV,LV-5438
LV,LV-5439
LV,LV-5440
LV,LV-5441
LV,LV-5442
LV,LV-5443
LV,LV-5444
LV,LV-5447
LV,LV-5449
LV,LV-5450
LV,LV-5451
LV,LV-5456
LV,LV-5458
LV,LV-5459
LV,LV-5460
LV,LV-5461
LV,LV-5462
LV,LV-5463
LV,LV-5465
LV,LV-5469
LV,LV-5470
LV,LV-5471
LV,LV-5473
LV,LV-5474
LV,LV-5477
LV,LV-5481
LV,LV-5601
LV,LV-5651
LV,LV-5652
LV,LV-5653
LV,LV-5655
LV,LV-5656
LV,LV-5660
LV,LV-5662
LV,LV-5664
LV,LV-5666
LV,LV-5668
LV,LV-5671
LV,LV-5674
LV,LV-5676
