postcode,area_source_id,relationship_type,is_primary
1001,lb:caza:aley,served_by,true
1014,lb:caza:baabda,served_by,true
1100,lb:governorate:beirut,served_by,true
1101,lb:governorate:beirut,served_by,true
1102,lb:governorate:beirut,served_by,true
1103,lb:governorate:beirut,served_by,true
1104,lb:governorate:beirut,served_by,true
1105,lb:governorate:beirut,served_by,true
1106,lb:governorate:beirut,served_by,true
1107,lb:governorate:beirut,served_by,true
1107-2090,lb:caza:baabda,served_by,true
1201,lb:caza:matn,served_by,true
1202,lb:caza:baalbek,served_by,true
1203,lb:caza:matn,served_by,true
1204,lb:caza:keserwan,served_by,true
1207,lb:caza:matn,served_by,true
1215,lb:caza:keserwan,served_by,true
1225,lb:caza:keserwan,served_by,true
1233,lb:caza:matn,served_by,true
1235,lb:caza:matn,served_by,true
1304,lb:caza:zgharta,served_by,true
1341,lb:caza:miniyeh-danniyeh,served_by,true
1352,lb:caza:koura,served_by,true
1355,lb:caza:koura,served_by,true
1359,lb:caza:koura,served_by,true
1367,lb:caza:zgharta,served_by,true
1369,lb:caza:zgharta,served_by,true
1400,lb:caza:batroun,served_by,true
1411,lb:caza:batroun,served_by,true
1417,lb:caza:batroun,served_by,true
1431,lb:caza:keserwan,served_by,true
1441,lb:caza:keserwan,served_by,true
1456,lb:caza:matn,served_by,true
1513,lb:caza:baabda,served_by,true
1515,lb:caza:baabda,served_by,true
1517,lb:caza:baabda,served_by,true
1519,lb:caza:baabda,served_by,true
1549,lb:caza:aley,served_by,true
1611,lb:caza:sidon,served_by,true
1613,lb:caza:sidon,served_by,true
1615,lb:caza:jezzine,served_by,true
1619,lb:caza:jezzine,served_by,true
1631,lb:caza:sidon,served_by,true
1645,lb:caza:tyre,served_by,true
1651,lb:caza:tyre,served_by,true
1727,lb:caza:hasbaya,served_by,true
1731,lb:caza:marjeyoun,served_by,true
1741,lb:caza:bint-jbeil,served_by,true
1753,lb:caza:bint-jbeil,served_by,true
1801,lb:caza:zahle,served_by,true
1802,lb:caza:zahle,served_by,true
1835,lb:caza:baalbek,served_by,true
1841,lb:caza:zahle,served_by,true
1843,lb:caza:zahle,served_by,true
1849,lb:caza:western-beqaa,served_by,true
1851,lb:caza:western-beqaa,served_by,true
1853,lb:caza:western-beqaa,served_by,true
1855,lb:caza:western-beqaa,served_by,true
1861,lb:caza:rashaya,served_by,true
1863,lb:caza:western-beqaa,served_by,true
2020,lb:governorate:beirut,served_by,true
2030,lb:governorate:beirut,served_by,true
2050,lb:governorate:beirut,served_by,true
2207,lb:caza:keserwan,served_by,true
2303,lb:caza:keserwan,served_by,true
2402,lb:caza:keserwan,served_by,true
2404,lb:caza:matn,served_by,true
2421,lb:caza:matn,served_by,true
2423,lb:caza:matn,served_by,true
2426,lb:caza:matn,served_by,true
2429,lb:caza:matn,served_by,true
2502,lb:caza:matn,served_by,true
2611,lb:caza:matn,served_by,true
2615,lb:caza:matn,served_by,true
2617,lb:caza:matn,served_by,true
2621,lb:caza:matn,served_by,true
2622,lb:caza:matn,served_by,true
2624,lb:caza:matn,served_by,true
2701,lb:caza:matn,served_by,true
2753,lb:caza:matn,served_by,true
2763,lb:caza:matn,served_by,true
2764,lb:caza:matn,served_by,true
2813,lb:caza:baabda,served_by,true
2827,lb:caza:baabda,served_by,true
2828,lb:caza:baabda,served_by,true
2832,lb:governorate:beirut,served_by,true
3018,lb:caza:tripoli,served_by,true
3103,lb:caza:akkar,served_by,true
3115,lb:caza:akkar,served_by,true
3123,lb:caza:akkar,served_by,true
3143,lb:caza:akkar,served_by,true
3144,lb:caza:akkar,served_by,true
3145,lb:caza:akkar,served_by,true
3151,lb:caza:akkar,served_by,true
3153,lb:caza:akkar,served_by,true
3154,lb:caza:akkar,served_by,true
3156,lb:caza:akkar,served_by,true
3158,lb:caza:akkar,served_by,true
3163,lb:caza:akkar,served_by,true
3166,lb:caza:akkar,served_by,true
3167,lb:caza:akkar,served_by,true
3176,lb:caza:akkar,served_by,true
3187,lb:caza:akkar,served_by,true
3188,lb:caza:akkar,served_by,true
3189,lb:caza:akkar,served_by,true
3196,lb:caza:akkar,served_by,true
3221,lb:caza:akkar,served_by,true
3223,lb:caza:akkar,served_by,true
3225,lb:caza:akkar,served_by,true
3233,lb:caza:akkar,served_by,true
3235,lb:caza:akkar,served_by,true
3238,lb:caza:akkar,served_by,true
3239,lb:caza:akkar,served_by,true
3241,lb:caza:akkar,served_by,true
3242,lb:caza:akkar,served_by,true
3243,lb:caza:akkar,served_by,true
3254,lb:caza:akkar,served_by,true
3261,lb:caza:akkar,served_by,true
3265,lb:caza:akkar,served_by,true
3302,lb:caza:akkar,served_by,true
3316,lb:caza:akkar,served_by,true
3322,lb:caza:akkar,served_by,true
3323,lb:caza:akkar,served_by,true
3324,lb:caza:akkar,served_by,true
3326,lb:caza:akkar,served_by,true
3328,lb:caza:akkar,served_by,true
3337,lb:caza:akkar,served_by,true
3338,lb:caza:akkar,served_by,true
3339,lb:caza:akkar,served_by,true
3342,lb:caza:akkar,served_by,true
3343,lb:caza:akkar,served_by,true
3345,lb:caza:akkar,served_by,true
3354,lb:caza:akkar,served_by,true
3362,lb:caza:akkar,served_by,true
3363,lb:caza:akkar,served_by,true
3365,lb:caza:akkar,served_by,true
3366,lb:caza:akkar,served_by,true
3381,lb:caza:akkar,served_by,true
3384,lb:caza:akkar,served_by,true
3386,lb:caza:akkar,served_by,true
3396,lb:caza:akkar,served_by,true
3414,lb:caza:akkar,served_by,true
3416,lb:caza:akkar,served_by,true
3422,lb:caza:akkar,served_by,true
3423,lb:caza:akkar,served_by,true
3424,lb:caza:akkar,served_by,true
3428,lb:caza:akkar,served_by,true
3435,lb:caza:akkar,served_by,true
3436,lb:caza:akkar,served_by,true
3444,lb:caza:akkar,served_by,true
3451,lb:caza:akkar,served_by,true
3453,lb:caza:akkar,served_by,true
3462,lb:caza:akkar,served_by,true
3466,lb:caza:akkar,served_by,true
3472,lb:caza:akkar,served_by,true
3485,lb:caza:akkar,served_by,true
3514,lb:caza:tripoli,served_by,true
3555,lb:caza:miniyeh-danniyeh,served_by,true
3566,lb:caza:miniyeh-danniyeh,served_by,true
3567,lb:caza:miniyeh-danniyeh,served_by,true
3577,lb:caza:miniyeh-danniyeh,served_by,true
3578,lb:caza:miniyeh-danniyeh,served_by,true
3579,lb:caza:miniyeh-danniyeh,served_by,true
3586,lb:caza:miniyeh-danniyeh,served_by,true
3587,lb:caza:miniyeh-danniyeh,served_by,true
3588,lb:caza:miniyeh-danniyeh,served_by,true
3589,lb:caza:miniyeh-danniyeh,served_by,true
3606,lb:caza:miniyeh-danniyeh,served_by,true
3613,lb:caza:miniyeh-danniyeh,served_by,true
3622,lb:caza:miniyeh-danniyeh,served_by,true
3625,lb:caza:miniyeh-danniyeh,served_by,true
3640,lb:caza:miniyeh-danniyeh,served_by,true
3641,lb:caza:miniyeh-danniyeh,served_by,true
3643,lb:caza:miniyeh-danniyeh,served_by,true
3644,lb:caza:miniyeh-danniyeh,served_by,true
3650,lb:caza:miniyeh-danniyeh,served_by,true
3651,lb:caza:miniyeh-danniyeh,served_by,true
3652,lb:caza:miniyeh-danniyeh,served_by,true
3654,lb:caza:miniyeh-danniyeh,served_by,true
3655,lb:caza:miniyeh-danniyeh,served_by,true
3660,lb:caza:miniyeh-danniyeh,served_by,true
3662,lb:caza:miniyeh-danniyeh,served_by,true
3707,lb:caza:zgharta,served_by,true
3712,lb:caza:zgharta,served_by,true
3713,lb:caza:zgharta,served_by,true
3715,lb:caza:zgharta,served_by,true
3716,lb:caza:zgharta,served_by,true
3721,lb:caza:zgharta,served_by,true
3723,lb:caza:zgharta,served_by,true
3725,lb:caza:zgharta,served_by,true
3728,lb:caza:zgharta,served_by,true
3730,lb:caza:zgharta,served_by,true
3737,lb:caza:zgharta,served_by,true
3740,lb:caza:miniyeh-danniyeh,served_by,true
3741,lb:caza:zgharta,served_by,true
3742,lb:caza:zgharta,served_by,true
3746,lb:caza:zgharta,served_by,true
3750,lb:caza:miniyeh-danniyeh,served_by,true
3751,lb:caza:zgharta,served_by,true
3756,lb:caza:zgharta,served_by,true
3760,lb:caza:miniyeh-danniyeh,served_by,true
3761,lb:caza:zgharta,served_by,true
3766,lb:caza:zgharta,served_by,true
3769,lb:caza:zgharta,served_by,true
3816,lb:caza:koura,served_by,true
3823,lb:caza:koura,served_by,true
3838,lb:caza:koura,served_by,true
3839,lb:caza:koura,served_by,true
3843,lb:caza:koura,served_by,true
3844,lb:caza:koura,served_by,true
3852,lb:caza:koura,served_by,true
3855,lb:caza:koura,served_by,true
3858,lb:caza:koura,served_by,true
3862,lb:caza:koura,served_by,true
3863,lb:caza:koura,served_by,true
3868,lb:caza:koura,served_by,true
3868,lb:caza:bsharri,served_by,false
3871,lb:caza:koura,served_by,true
3877,lb:caza:koura,served_by,true
3878,lb:caza:koura,served_by,true
3884,lb:caza:koura,served_by,true
3886,lb:caza:koura,served_by,true
3891,lb:caza:koura,served_by,true
3911,lb:caza:koura,served_by,true
3914,lb:caza:bsharri,served_by,true
3914,lb:caza:koura,served_by,false
3915,lb:caza:bsharri,served_by,true
3922,lb:caza:bsharri,served_by,true
3924,lb:caza:bsharri,served_by,true
3925,lb:caza:bsharri,served_by,true
3926,lb:caza:bsharri,served_by,true
3934,lb:caza:bsharri,served_by,true
3936,lb:caza:bsharri,served_by,true
3944,lb:caza:bsharri,served_by,true
3946,lb:caza:bsharri,served_by,true
3947,lb:caza:bsharri,served_by,true
3954,lb:caza:bsharri,served_by,true
3957,lb:caza:bsharri,served_by,true
3958,lb:caza:bsharri,served_by,true
3968,lb:caza:bsharri,served_by,true
4004,lb:caza:batroun,served_by,true
4104,lb:caza:batroun,served_by,true
4107,lb:caza:batroun,served_by,true
4118,lb:caza:batroun,served_by,true
4123,lb:caza:batroun,served_by,true
4127,lb:caza:batroun,served_by,true
4128,lb:caza:batroun,served_by,true
4129,lb:caza:batroun,served_by,true
4143,lb:caza:batroun,served_by,true
4143,lb:caza:koura,served_by,false
4146,lb:caza:batroun,served_by,true
4165,lb:caza:koura,served_by,true
4175,lb:caza:batroun,served_by,true
4200,lb:caza:batroun,served_by,true
4201,lb:caza:batroun,served_by,true
4203,lb:caza:batroun,served_by,true
4204,lb:caza:batroun,served_by,true
4215,lb:caza:byblos,served_by,true
4216,lb:caza:batroun,served_by,true
