source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
lr:county:bomi,LR,county,Bomi,,BM,,1,,
lr:county:bong,LR,county,Bong,,BG,,1,,
lr:county:gbarpolu,LR,county,Gbarpolu,,GP,,1,,
lr:county:grand-bassa,LR,county,Grand Bassa,,GB,,1,,
lr:county:grand-cape-mount,LR,county,Grand Cape Mount,,CM,,1,,
lr:county:grand-gedeh,LR,county,Grand Gedeh,,GG,,1,,
lr:county:grand-kru,LR,county,Grand Kru,,GK,,1,,
lr:county:lofa,LR,county,Lofa,,LO,,1,,
lr:county:margibi,LR,county,Margibi,,MG,,1,,
lr:county:maryland,LR,county,Maryland,,MY,,1,,
lr:county:montserrado,LR,county,Montserrado,,MO,,1,,
lr:county:nimba,LR,county,Nimba,,NI,,1,,
lr:county:river-cess,LR,county,River Cess,,RI,,1,,
lr:county:river-gee,LR,county,River Gee,,RG,,1,,
lr:county:sinoe,LR,county,Sinoe,,SI,,1,,
lr:district:dowein,LR,district,Dowein,,,lr:county:bomi,2,,
lr:district:klay,LR,district,Klay,,,lr:county:bomi,2,,
lr:district:senjeh,LR,district,Senjeh,,,lr:county:bomi,2,,
lr:district:suehn-mecca,LR,district,Suehn Mecca,,,lr:county:bomi,2,,
lr:district:tehr,LR,district,Tehr,,,lr:county:bomi,2,,
lr:district:boinsen,LR,district,Boinsen,,,lr:county:bong,2,,
lr:district:fuamah,LR,district,Fuamah,,,lr:county:bong,2,,
lr:district:jorquelleh,LR,district,Jorquelleh,,,lr:county:bong,2,,
lr:district:kokoyah,LR,district,Kokoyah,,,lr:county:bong,2,,
lr:district:kpaai,LR,district,Kpaai,,,lr:county:bong,2,,
lr:district:panta-kpa,LR,district,Panta-Kpa,,,lr:county:bong,2,,
lr:district:salala,LR,district,Salala,,,lr:county:bong,2,,
lr:district:sanayea,LR,district,Sanayea,,,lr:county:bong,2,,
lr:district:suakoko,LR,district,Suakoko,,,lr:county:bong,2,,
lr:district:tukpahblee,LR,district,Tukpahblee,,,lr:county:bong,2,,
lr:district:yeallequelleh,LR,district,Yeallequelleh,,,lr:county:bong,2,,
lr:district:zota,LR,district,Zota,,,lr:county:bong,2,,
lr:district:belleh,LR,district,Belleh,,,lr:county:gbarpolu,2,,
lr:district:bopolu,LR,district,Bopolu,,,lr:county:gbarpolu,2,,
lr:district:bokomu,LR,district,Bokomu,,,lr:county:gbarpolu,2,,
lr:district:gbarma,LR,district,Gbarma,,,lr:county:gbarpolu,2,,
