source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ly:popularate:al-butnan,LY,popularate,Al Butnan,,BU,,1,,
ly:popularate:al-wahat,LY,popularate,Al Wahat,,WA,,1,,
ly:popularate:benghazi,LY,popularate,Benghazi,,BA,,1,,
ly:popularate:derna,LY,popularate,Derna,,DR,,1,,
ly:popularate:ghat,LY,popularate,Ghat,,GT,,1,,
ly:popularate:jabal-al-akhdar,LY,popularate,Jabal al Akhdar,,JA,,1,,
ly:popularate:jabal-al-gharbi,LY,popularate,Jabal al Gharbi,,JG,,1,,
ly:popularate:jafara,LY,popularate,Jafara,,JI,,1,,
ly:popularate:jufra,LY,popularate,Jufra,,JU,,1,,
ly:popularate:kufra,LY,popularate,Kufra,,KF,,1,,
ly:popularate:marj,LY,popularate,Marj,,MJ,,1,,
ly:popularate:misrata,LY,popularate,Misrata,,MI,,1,,
ly:popularate:murqub,LY,popularate,Murqub,,MB,,1,,
ly:popularate:murzuq,LY,popularate,Murzuq,,MQ,,1,,
ly:popularate:nalut,LY,popularate,Nalut,,NL,,1,,
ly:popularate:nuqat-al-khams,LY,popularate,Nuqat al Khams,,NQ,,1,,
ly:popularate:sabha,LY,popularate,Sabha,,SB,,1,,
ly:popularate:sirte,LY,popularate,Sirte,,SR,,1,,
ly:popularate:tripoli,LY,popularate,Tripoli,,TB,,1,,
ly:popularate:wadi-al-hayaa,LY,popularate,Wadi al Hayaa,,WD,,1,,
ly:popularate:wadi-al-shatii,LY,popularate,Wadi al Shatii,,WS,,1,,
ly:popularate:zawiya,LY,popularate,Zawiya,,ZA,,1,,
ly:baladiya:umm-arrazam,LY,baladiya,Umm arrazam,,LY010101,ly:popularate:derna,2,,
ly:baladiya:derna,LY,baladiya,Derna,,LY010102,ly:popularate:derna,2,,
ly:baladiya:alqubba,LY,baladiya,Alqubba,,LY010103,ly:popularate:derna,2,,
ly:baladiya:alqayqab,LY,baladiya,Alqayqab,,LY010104,ly:popularate:derna,2,,
ly:baladiya:labriq,LY,baladiya,Labriq,,LY010105,ly:popularate:derna,2,,
ly:baladiya:jardas-alabeed,LY,baladiya,Jardas Alabeed,,LY010201,ly:popularate:marj,2,,
ly:baladiya:almarj,LY,baladiya,Almarj,,LY010202,ly:popularate:marj,2,,
ly:baladiya:assahel,LY,baladiya,Assahel,,LY010203,ly:popularate:marj,2,,
ly:baladiya:alabyar,LY,baladiya,Alabyar,,LY010301,ly:popularate:benghazi,2,,
ly:baladiya:toukra,LY,baladiya,Toukra,,LY010302,ly:popularate:benghazi,2,,
ly:baladiya:suloug,LY,baladiya,Suloug,,LY010303,ly:popularate:benghazi,2,,
ly:baladiya:benghazi,LY,baladiya,Benghazi,,LY010304,ly:popularate:benghazi,2,,
ly:baladiya:gemienis,LY,baladiya,Gemienis,,LY010305,ly:popularate:benghazi,2,,
ly:baladiya:emsaed,LY,baladiya,Emsaed,,LY010401,ly:popularate:al-butnan,2,,
ly:baladiya:bir-alashhab,LY,baladiya,Bir Alashhab,,LY010402,ly:popularate:al-butnan,2,,
ly:baladiya:tobruk,LY,baladiya,Tobruk,,LY010403,ly:popularate:al-butnan,2,,
ly:baladiya:ejkherra,LY,baladiya,Ejkherra,,LY010501,ly:popularate:al-wahat,2,,
ly:baladiya:jalu,LY,baladiya,Jalu,,LY010502,ly:popularate:al-wahat,2,,
ly:baladiya:aujala,LY,baladiya,Aujala,,LY010503,ly:popularate:al-wahat,2,,
ly:baladiya:ejdabia,LY,baladiya,Ejdabia,,LY010504,ly:popularate:al-wahat,2,,
ly:baladiya:marada,LY,baladiya,Marada,,LY010505,ly:popularate:al-wahat,2,,
