postcode,area_source_id,relationship_type,is_primary
9485,li:commune:eschen,served_by,true
9486,li:commune:mauren,served_by,true
9487,li:commune:gamprin,served_by,true
9488,li:commune:schellenberg,served_by,true
9490,li:commune:vaduz,served_by,true
9491,li:commune:ruggell,served_by,true
9492,li:commune:eschen,served_by,true
9493,li:commune:mauren,served_by,true
9494,li:commune:schaan,served_by,true
9495,li:commune:triesen,served_by,true
9496,li:commune:balzers,served_by,true
9497,li:commune:triesenberg,served_by,true
9498,li:commune:planken,served_by,true
