source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
lt:district_municipality:akmene,LT,district_municipality,Akmenė,,01,,1,,
lt:district_municipality:alytus-03,LT,district_municipality,Alytus,,03,,1,,
lt:city_municipality:alytaus-miestas,LT,city_municipality,Alytaus miestas,,02,,1,,
lt:county:alytus,LT,county,Alytus,,AL,,1,,
lt:district_municipality:anyksciai,LT,district_municipality,Anykščiai,,04,,1,,
lt:municipality:birstonas,LT,municipality,Birštonas,,05,,1,,
lt:district_municipality:birzai,LT,district_municipality,Biržai,,06,,1,,
lt:municipality:druskininkai,LT,municipality,Druskininkai,,07,,1,,
lt:municipality:elektrenai,LT,municipality,Elektrėnai,,08,,1,,
lt:district_municipality:ignalina,LT,district_municipality,Ignalina,,09,,1,,
lt:district_municipality:jonava,LT,district_municipality,Jonava,,10,,1,,
lt:district_municipality:joniskis,LT,district_municipality,Joniškis,,11,,1,,
lt:district_municipality:jurbarkas,LT,district_municipality,Jurbarkas,,12,,1,,
lt:district_municipality:kaisiadorys,LT,district_municipality,Kaišiadorys,,13,,1,,
lt:municipality:kalvarija,LT,municipality,Kalvarija,,14,,1,,
lt:county:kaunas,LT,county,Kaunas,,KU,,1,,
lt:district_municipality:kaunas-16,LT,district_municipality,Kaunas,,16,,1,,
lt:city_municipality:kauno-miestas,LT,city_municipality,Kauno miestas,,15,,1,,
lt:municipality:kazlu-ruda,LT,municipality,Kazlų Rūda,,17,,1,,
lt:district_municipality:kedainiai,LT,district_municipality,Kėdainiai,,18,,1,,
lt:district_municipality:kelme,LT,district_municipality,Kelmė,,19,,1,,
lt:county:klaipeda,LT,county,Klaipėda,,KL,,1,,
lt:district_municipality:klaipeda,LT,district_municipality,Klaipėda,,21,,1,,
lt:city_municipality:klaipedos-miestas,LT,city_municipality,Klaipėdos miestas,,20,,1,,
lt:district_municipality:kretinga,LT,district_municipality,Kretinga,,22,,1,,
lt:district_municipality:kupiskis,LT,district_municipality,Kupiškis,,23,,1,,
lt:district_municipality:lazdijai,LT,district_municipality,Lazdijai,,24,,1,,
lt:district_municipality:marijampole,LT,district_municipality,Marijampolė,,25,,1,,
lt:county:marijampole,LT,county,Marijampolė,,MR,,1,,
lt:district_municipality:mazeikiai,LT,district_municipality,Mažeikiai,,26,,1,,
lt:district_municipality:moletai,LT,district_municipality,Molėtai,,27,,1,,
lt:municipality:neringa,LT,municipality,Neringa,,28,,1,,
lt:municipality:pagegiai,LT,municipality,Pagėgiai,,29,,1,,
lt:district_municipality:pakruojis,LT,district_municipality,Pakruojis,,30,,1,,
lt:city_municipality:palangos-miestas,LT,city_municipality,Palangos miestas,,31,,1,,
lt:city_municipality:panevezio-miestas,LT,city_municipality,Panevėžio miestas,,32,,1,,
lt:district_municipality:panevezys,LT,district_municipality,Panevėžys,,33,,1,,
lt:county:panevezys,LT,county,Panevėžys,,PN,,1,,
lt:district_municipality:pasvalys,LT,district_municipality,Pasvalys,,34,,1,,
lt:district_municipality:plunge,LT,district_municipality,Plungė,,35,,1,,
lt:district_municipality:prienai,LT,district_municipality,Prienai,,36,,1,,
lt:district_municipality:radviliskis,LT,district_municipality,Radviliškis,,37,,1,,
lt:district_municipality:raseiniai,LT,district_municipality,Raseiniai,,38,,1,,
lt:municipality:rietavas,LT,municipality,Rietavas,,39,,1,,
lt:district_municipality:rokiskis,LT,district_municipality,Rokiškis,,40,,1,,
lt:district_municipality:sakiai,LT,district_municipality,Šakiai,,41,,1,,
lt:district_municipality:salcininkai,LT,district_municipality,Šalčininkai,,42,,1,,
lt:county:siauliai,LT,county,Šiauliai,,SA,,1,,
lt:city_municipality:siauliu-miestas,LT,city_municipality,Šiaulių miestas,,43,,1,,
lt:district_municipality:siauliai-44,LT,district_municipality,Šiauliai,,44,,1,,
lt:district_municipality:silale,LT,district_municipality,Šilalė,,45,,1,,
lt:district_municipality:silute,LT,district_municipality,Šilutė,,46,,1,,
lt:district_municipality:sirvintos,LT,district_municipality,Širvintos,,47,,1,,
lt:district_municipality:skuodas,LT,district_municipality,Skuodas,,48,,1,,
lt:district_municipality:svencionys,LT,district_municipality,Švenčionys,,49,,1,,
lt:county:taurage,LT,county,Tauragė,,TA,,1,,
lt:district_municipality:taurage,LT,district_municipality,Tauragė,,50,,1,,
lt:district_municipality:telsiai,LT,district_municipality,Telšiai,,51,,1,,
lt:county:telsiai,LT,county,Telšiai,,TE,,1,,
lt:district_municipality:trakai,LT,district_municipality,Trakai,,52,,1,,
lt:district_municipality:ukmerge,LT,district_municipality,Ukmergė,,53,,1,,
lt:district_municipality:utena,LT,district_municipality,Utena,,54,,1,,
lt:county:utena,LT,county,Utena,,UT,,1,,
lt:district_municipality:varena,LT,district_municipality,Varėna,,55,,1,,
lt:district_municipality:vilkaviskis,LT,district_municipality,Vilkaviškis,,56,,1,,
lt:district_municipality:vilnius-58,LT,district_municipality,Vilnius,,58,,1,,
lt:city_municipality:vilniaus-miestas,LT,city_municipality,Vilniaus miestas,,57,,1,,
lt:county:vilnius,LT,county,Vilnius,,VL,,1,,
lt:municipality:visaginas,LT,municipality,Visaginas,,59,,1,,
lt:district_municipality:zarasai,LT,district_municipality,Zarasai,,60,,1,,
