country_code,code
LU,L-1111
LU,L-1112
LU,L-1113
LU,L-1114
LU,L-1115
LU,L-1116
LU,L-1117
LU,L-1118
LU,L-1119
LU,L-1120
LU,L-1121
LU,L-1122
LU,L-1123
LU,L-1124
LU,L-1125
LU,L-1126
LU,L-1127
LU,L-1128
LU,L-1129
LU,L-1130
LU,L-1131
LU,L-1132
LU,L-1133
LU,L-1134
LU,L-1135
LU,L-1136
LU,L-1137
LU,L-1138
LU,L-1139
LU,L-1140
LU,L-1141
LU,L-1142
LU,L-1143
LU,L-1144
LU,L-1145
LU,L-1146
LU,L-1147
LU,L-1148
LU,L-1149
LU,L-1150
LU,L-1151
LU,L-1152
LU,L-1153
LU,L-1159
LU,L-1160
LU,L-1161
LU,L-1208
LU,L-1209
LU,L-1210
LU,L-1211
LU,L-1212
LU,L-1213
LU,L-1214
LU,L-1215
LU,L-1216
LU,L-1217
LU,L-1218
LU,L-1219
LU,L-1220
LU,L-1221
LU,L-1222
LU,L-1223
LU,L-1224
LU,L-1225
LU,L-1226
LU,L-1227
LU,L-1228
LU,L-1229
LU,L-1230
LU,L-1231
LU,L-1232
LU,L-1233
LU,L-1234
LU,L-1235
LU,L-1236
LU,L-1237
LU,L-1238
LU,L-1239
LU,L-1240
LU,L-1241
LU,L-1242
LU,L-1243
LU,L-1244
LU,L-1245
LU,L-1246
LU,L-1247
LU,L-1248
LU,L-1249
LU,L-1250
LU,L-1251
LU,L-1252
LU,L-1253
LU,L-1254
LU,L-1255
LU,L-1256
LU,L-1257
LU,L-1258
LU,L-1259
LU,L-1260
LU,L-1261
LU,L-1262
LU,L-1263
LU,L-1264
LU,L-1265
LU,L-1266
LU,L-1267
LU,L-1268
LU,L-1269
LU,L-1270
LU,L-1271
LU,L-1272
LU,L-1273
LU,L-1274
LU,L-1275
LU,L-1276
LU,L-1277
LU,L-1278
LU,L-1279
LU,L-1280
LU,L-1281
LU,L-1282
LU,L-1283
LU,L-1309
LU,L-1310
LU,L-1311
LU,L-1312
LU,L-1313
LU,L-1314
LU,L-1315
LU,L-1316
LU,L-1317
LU,L-1318
LU,L-1319
LU,L-1320
LU,L-1321
LU,L-1322
LU,L-1323
LU,L-1324
LU,L-1325
LU,L-1326
LU,L-1327
LU,L-1328
LU,L-1329
LU,L-1330
LU,L-1331
LU,L-1332
LU,L-1333
LU,L-1334
LU,L-1335
LU,L-1336
LU,L-1337
LU,L-1338
LU,L-1339
LU,L-1340
LU,L-1341
LU,L-1342
LU,L-1343
LU,L-1344
LU,L-1345
LU,L-1346
LU,L-1347
LU,L-1348
LU,L-1349
LU,L-1350
LU,L-1351
LU,L-1352
LU,L-1353
LU,L-1354
LU,L-1355
LU,L-1356
LU,L-1357
LU,L-1358
LU,L-1359
LU,L-1361
LU,L-1362
LU,L-1363
LU,L-1364
LU,L-1365
LU,L-1366
LU,L-1367
LU,L-1368
LU,L-1369
LU,L-1370
LU,L-1371
LU,L-1372
LU,L-1373
LU,L-1374
LU,L-1375
LU,L-1376
LU,L-1409
LU,L-1411
LU,L-1412
LU,L-1413
LU,L-1414
LU,L-1415
LU,L-1416
LU,L-1417
LU,L-1418
LU,L-1419
LU,L-1420
LU,L-1421
LU,L-1422
LU,L-1423
LU,L-1424
LU,L-1425
LU,L-1426
LU,L-1427
LU,L-1428
LU,L-1429
LU,L-1430
LU,L-1431
LU,L-1432
LU,L-1433
LU,L-1434
LU,L-1445
LU,L-1448
LU,L-1449
LU,L-1450
LU,L-1451
LU,L-1452
LU,L-1453
LU,L-1454
LU,L-1455
LU,L-1456
LU,L-1457
LU,L-1458
LU,L-1459
LU,L-1460
LU,L-1461
LU,L-1462
LU,L-1463
LU,L-1464
LU,L-1465
LU,L-1466
LU,L-1467
LU,L-1468
LU,L-1469
LU,L-1470
LU,L-1471
LU,L-1472
LU,L-1473
LU,L-1474
LU,L-1475
LU,L-1476
LU,L-1477
LU,L-1478
LU,L-1479
LU,L-1480
LU,L-1481
LU,L-1482
LU,L-1483
LU,L-1484
LU,L-1490
LU,L-1499
LU,L-1508
LU,L-1509
LU,L-1510
LU,L-1511
LU,L-1512
LU,L-1513
LU,L-1514
LU,L-1515
LU,L-1516
LU,L-1517
LU,L-1518
LU,L-1519
LU,L-1520
LU,L-1521
LU,L-1522
LU,L-1523
LU,L-1524
LU,L-1525
LU,L-1526
LU,L-1527
LU,L-1528
LU,L-1529
LU,L-1530
LU,L-1531
LU,L-1532
LU,L-1533
LU,L-1534
LU,L-1535
LU,L-1536
LU,L-1537
LU,L-1538
LU,L-1539
LU,L-1540
LU,L-1541
LU,L-1542
LU,L-1543
LU,L-1544
LU,L-1545
LU,L-1546
LU,L-1547
LU,L-1548
LU,L-1549
LU,L-1550
LU,L-1551
LU,L-1552
LU,L-1553
LU,L-1554
LU,L-1610
LU,L-1611
LU,L-1613
LU,L-1615
LU,L-1616
LU,L-1617
LU,L-1618
LU,L-1619
LU,L-1620
LU,L-1621
LU,L-1622
LU,L-1623
LU,L-1624
LU,L-1625
LU,L-1626
LU,L-1627
LU,L-1628
LU,L-1629
LU,L-1630
LU,L-1631
LU,L-1632
LU,L-1633
LU,L-1634
LU,L-1635
LU,L-1636
LU,L-1637
LU,L-1638
LU,L-1639
LU,L-1640
LU,L-1641
LU,L-1642
LU,L-1643
LU,L-1644
LU,L-1645
LU,L-1646
LU,L-1647
LU,L-1648
LU,L-1649
LU,L-1650
LU,L-1651
LU,L-1652
LU,L-1653
LU,L-1654
LU,L-1655
LU,L-1656
LU,L-1660
LU,L-1661
LU,L-1670
LU,L-1709
LU,L-1710
LU,L-1711
LU,L-1712
LU,L-1713
LU,L-1714
LU,L-1715
LU,L-1716
LU,L-1717
LU,L-1718
LU,L-1719
LU,L-1720
LU,L-1721
LU,L-1722
LU,L-1723
LU,L-1724
LU,L-1725
LU,L-1726
LU,L-1727
LU,L-1728
LU,L-1729
LU,L-1730
LU,L-1731
LU,L-1732
LU,L-1733
LU,L-1734
LU,L-1735
LU,L-1736
LU,L-1737
LU,L-1738
LU,L-1739
LU,L-1740
LU,L-1741
LU,L-1742
LU,L-1743
LU,L-1744
LU,L-1745
LU,L-1746
LU,L-1747
LU,L-1748
LU,L-1749
LU,L-1750
LU,L-1751
LU,L-1752
LU,L-1753
LU,L-1754
LU,L-1811
LU,L-1812
LU,L-1813
LU,L-1814
LU,L-1815
LU,L-1816
LU,L-1817
LU,L-1818
LU,L-1820
LU,L-1821
LU,L-1822
LU,L-1831
LU,L-1832
LU,L-1833
LU,L-1834
LU,L-1835
LU,L-1836
LU,L-1837
LU,L-1838
LU,L-1839
LU,L-1840
LU,L-1841
LU,L-1842
LU,L-1845
LU,L-1850
LU,L-1851
LU,L-1852
LU,L-1853
LU,L-1854
LU,L-1855
LU,L-1856
LU,L-1857
LU,L-1858
LU,L-1859
LU,L-1860
LU,L-1861
LU,L-1862
LU,L-1863
LU,L-1864
LU,L-1865
LU,L-1866
LU,L-1867
LU,L-1868
LU,L-1869
LU,L-1870
LU,L-1871
LU,L-1872
LU,L-1873
LU,L-1874
LU,L-1875
LU,L-1880
LU,L-1881
LU,L-1882
LU,L-1896
LU,L-1897
LU,L-1898
LU,L-1899
LU,L-1910
LU,L-1911
LU,L-1912
LU,L-1913
LU,L-1914
LU,L-1915
LU,L-1916
LU,L-1917
LU,L-1918
LU,L-1919
LU,L-1920
LU,L-1921
LU,L-1922
LU,L-1923
LU,L-1924
LU,L-1925
LU,L-1926
LU,L-1927
LU,L-1928
LU,L-1929
LU,L-1930
LU,L-1931
LU,L-1932
LU,L-1933
LU,L-1934
LU,L-1935
LU,L-1936
LU,L-1937
LU,L-1938
LU,L-1939
LU,L-1940
LU,L-1941
LU,L-1942
LU,L-1943
LU,L-1944
LU,L-1945
LU,L-1946
LU,L-1947
LU,L-1948
LU,L-1949
LU,L-1950
LU,L-1951
LU,L-1952
LU,L-1953
LU,L-1954
LU,L-1955
LU,L-2110
LU,L-2111
LU,L-2112
LU,L-2113
LU,L-2114
LU,L-2115
LU,L-2116
LU,L-2117
LU,L-2118
LU,L-2119
LU,L-2120
LU,L-2121
LU,L-2122
LU,L-2123
LU,L-2124
LU,L-2125
LU,L-2127
LU,L-2128
LU,L-2129
LU,L-2130
LU,L-2131
LU,L-2132
LU,L-2133
LU,L-2134
LU,L-2135
LU,L-2136
LU,L-2137
LU,L-2138
LU,L-2139
LU,L-2140
LU,L-2141
LU,L-2142
LU,L-2143
LU,L-2144
LU,L-2145
LU,L-2146
LU,L-2147
LU,L-2148
LU,L-2149
LU,L-2150
LU,L-2151
LU,L-2152
LU,L-2153
LU,L-2154
LU,L-2155
LU,L-2156
LU,L-2157
LU,L-2158
LU,L-2159
LU,L-2160
LU,L-2161
LU,L-2162
LU,L-2163
LU,L-2164
LU,L-2165
LU,L-2166
LU,L-2167
LU,L-2168
LU,L-2169
LU,L-2170
LU,L-2171
LU,L-2172
LU,L-2173
LU,L-2174
LU,L-2175
LU,L-2176
LU,L-2177
LU,L-2178
LU,L-2179
LU,L-2180
LU,L-2181
LU,L-2182
LU,L-2183
LU,L-2184
LU,L-2185
LU,L-2186
LU,L-2210
LU,L-2211
LU,L-2212
LU,L-2213
LU,L-2214
LU,L-2215
LU,L-2220
LU,L-2221
LU,L-2222
LU,L-2223
LU,L-2224
LU,L-2225
LU,L-2226
LU,L-2227
LU,L-2228
LU,L-2229
LU,L-2230
LU,L-2231
LU,L-2232
LU,L-2233
LU,L-2234
LU,L-2240
LU,L-2241
LU,L-2242
LU,L-2243
LU,L-2261
LU,L-2262
LU,L-2263
LU,L-2265
LU,L-2266
LU,L-2267
LU,L-2268
LU,L-2269
LU,L-2270
LU,L-2271
LU,L-2272
LU,L-2273
LU,L-2308
LU,L-2309
LU,L-2310
LU,L-2311
LU,L-2312
