source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mg:province:toamasina,MG,province,Toamasina,,A,,1,,
mg:province:antsiranana,MG,province,Antsiranana,,D,,1,,
mg:province:fianarantsoa,MG,province,Fianarantsoa,,F,,1,,
mg:province:mahajanga,MG,province,Mahajanga,,M,,1,,
mg:province:antananarivo,MG,province,Antananarivo,,T,,1,,
mg:province:toliara,MG,province,Toliara,,U,,1,,
mg:region:diana,MG,region,Diana,,,mg:province:antsiranana,2,,
mg:region:sava,MG,region,Sava,,,mg:province:antsiranana,2,,
mg:region:itasy,MG,region,Itasy,,,mg:province:antananarivo,2,,
mg:region:analamanga,MG,region,Analamanga,,,mg:province:antananarivo,2,,
mg:region:vakinankaratra,MG,region,Vakinankaratra,,,mg:province:antananarivo,2,,
mg:region:bongolava,MG,region,Bongolava,,,mg:province:antananarivo,2,,
mg:region:sofia,MG,region,Sofia,,,mg:province:mahajanga,2,,
mg:region:boeny,MG,region,Boeny,,,mg:province:mahajanga,2,,
mg:region:betsiboka,MG,region,Betsiboka,,,mg:province:mahajanga,2,,
mg:region:melaky,MG,region,Melaky,,,mg:province:mahajanga,2,,
mg:region:alaotra-mangoro,MG,region,Alaotra-Mangoro,,,mg:province:toamasina,2,,
mg:region:atsinanana,MG,region,Atsinanana,,,mg:province:toamasina,2,,
mg:region:ambatosoa,MG,region,Ambatosoa,,,mg:province:toamasina,2,,
mg:region:analanjirofo,MG,region,Analanjirofo,,,mg:province:toamasina,2,,
mg:region:amoron-i-mania,MG,region,Amoron'i Mania,,,mg:province:fianarantsoa,2,,
mg:region:matsiatra-ambony,MG,region,Matsiatra Ambony,,,mg:province:fianarantsoa,2,,
mg:region:vatovavy,MG,region,Vatovavy,,,mg:province:fianarantsoa,2,,
mg:region:atsimo-atsinanana,MG,region,Atsimo-Atsinanana,,,mg:province:fianarantsoa,2,,
mg:region:ihorombe,MG,region,Ihorombe,,,mg:province:fianarantsoa,2,,
mg:region:menabe,MG,region,Menabe,,,mg:province:toliara,2,,
mg:region:atsimo-andrefana,MG,region,Atsimo-Andrefana,,,mg:province:toliara,2,,
mg:region:androy,MG,region,Androy,,,mg:province:toliara,2,,
mg:region:anosy,MG,region,Anosy,,,mg:province:toliara,2,,
mg:region:fitovinany,MG,region,Fitovinany,,,mg:province:fianarantsoa,2,,
mg:district:ambalavao,MG,district,Ambalavao,,,mg:region:matsiatra-ambony,3,,
mg:district:ambanja,MG,district,Ambanja,,,mg:region:diana,3,,
mg:district:ambato-boeni,MG,district,Ambato-Boeni,,,mg:region:boeny,3,,
mg:district:ambatofinandrahana,MG,district,Ambatofinandrahana,,,mg:region:amoron-i-mania,3,,
mg:district:ambatolampy,MG,district,Ambatolampy,,,mg:region:vakinankaratra,3,,
mg:district:ambatomainty,MG,district,Ambatomainty,,,mg:region:melaky,3,,
mg:district:ambatondrazaka,MG,district,Ambatondrazaka,,,mg:region:alaotra-mangoro,3,,
mg:district:ambilobe,MG,district,Ambilobe,,,mg:region:diana,3,,
mg:district:amboasary-atsimo,MG,district,Amboasary-Atsimo,,,mg:region:anosy,3,,
mg:district:ambohidratrimo,MG,district,Ambohidratrimo,,,mg:region:analamanga,3,,
mg:district:ambohimahasoa,MG,district,Ambohimahasoa,,,mg:region:matsiatra-ambony,3,,
mg:district:ambositra,MG,district,Ambositra,,,mg:region:amoron-i-mania,3,,
mg:district:ambovombe-androy,MG,district,Ambovombe-Androy,,,mg:region:androy,3,,
mg:district:ampanihy,MG,district,Ampanihy,,,mg:region:atsimo-andrefana,3,,
mg:district:amparafaravola,MG,district,Amparafaravola,,,mg:region:alaotra-mangoro,3,,
mg:district:analalava,MG,district,Analalava,,,mg:region:sofia,3,,
mg:district:andapa,MG,district,Andapa,,,mg:region:sava,3,,
mg:district:andilamena,MG,district,Andilamena,,,mg:region:alaotra-mangoro,3,,
mg:district:andramasina,MG,district,Andramasina,,,mg:region:analamanga,3,,
