postcode,area_source_id,relationship_type,is_primary
101,mg:district:antananarivo-renivohitra,served_by,true
102,mg:district:antananarivo-atsimondrano,served_by,true
103,mg:district:antananarivo-avaradrano,served_by,true
104,mg:district:ambatolampy,served_by,true
105,mg:district:ambohidratrimo,served_by,true
106,mg:district:andramasina,served_by,true
107,mg:district:anjozorobe,served_by,true
108,mg:district:ankazobe,served_by,true
109,mg:district:antanifotsy,served_by,true
110,mg:district:antsirabe-i,served_by,true
111,mg:district:antsirabe-ii,served_by,true
112,mg:district:arivonimamo,served_by,true
113,mg:district:betafo,served_by,true
113,mg:district:mandoto,served_by,false
114,mg:district:faratsiho,served_by,true
115,mg:district:fenoarivo-afovoany,served_by,true
116,mg:district:manjakandriana,served_by,true
117,mg:district:miarinarivo,served_by,true
118,mg:district:soavinandriana,served_by,true
119,mg:district:tsiroanomandidy,served_by,true
201,mg:district:antsiranana-i,served_by,true
202,mg:district:antsiranana-ii,served_by,true
203,mg:district:ambanja,served_by,true
204,mg:district:ambilobe,served_by,true
205,mg:district:andapa,served_by,true
206,mg:district:antalaha,served_by,true
207,mg:district:nosy-be,served_by,true
208,mg:district:sambava,served_by,true
209,mg:district:vohemar,served_by,true
301,mg:district:fianarantsoa-i,served_by,true
303,mg:district:ambalavao,served_by,true
303,mg:district:lalangina,served_by,false
304,mg:district:ambatofinandrahana,served_by,true
305,mg:district:ambohimahasoa,served_by,true
305,mg:district:vohibato,served_by,false
306,mg:district:ambositra,served_by,true
307,mg:district:befotaka,served_by,true
308,mg:district:fandriana,served_by,true
309,mg:district:farafangana,served_by,true
310,mg:district:ikongo,served_by,true
311,mg:district:iakora,served_by,true
312,mg:district:ifanadiana,served_by,true
313,mg:district:ihosy,served_by,true
314,mg:district:ikalamavony,served_by,true
314,mg:district:isandra,served_by,false
315,mg:district:ivohibe,served_by,true
316,mg:district:manakara-atsimo,served_by,true
317,mg:district:mananjary,served_by,true
318,mg:district:midongy-atsimo,served_by,true
319,mg:district:nosy-varika,served_by,true
320,mg:district:vangaindrano,served_by,true
321,mg:district:vohipeno,served_by,true
322,mg:district:vondrozo,served_by,true
323,mg:district:manandriana,served_by,true
401,mg:district:mahajanga-i,served_by,true
402,mg:district:mahajanga-ii,served_by,true
403,mg:district:ambato-boeni,served_by,true
404,mg:district:ambatomainty,served_by,true
405,mg:district:analalava,served_by,true
406,mg:district:antsalova,served_by,true
407,mg:district:antsohihy,served_by,true
408,mg:district:bealanana,served_by,true
409,mg:district:befandriana-avaratra,served_by,true
410,mg:district:besalampy,served_by,true
411,mg:district:kandreho,served_by,true
412,mg:district:maevatanana,served_by,true
413,mg:district:maintirano,served_by,true
414,mg:district:mampikony,served_by,true
415,mg:district:mandritsara,served_by,true
416,mg:district:marovoay,served_by,true
417,mg:district:mitsinjo,served_by,true
418,mg:district:morafenobe,served_by,true
419,mg:district:boriziny-vaovao,served_by,true
420,mg:district:soalala,served_by,true
421,mg:district:tsaratanana,served_by,true
501,mg:district:toamasina-i,served_by,true
502,mg:district:toamasina-ii,served_by,true
503,mg:district:ambatondrazaka,served_by,true
504,mg:district:amparafaravola,served_by,true
505,mg:district:andilamena,served_by,true
506,mg:district:anosibe-anala,served_by,true
507,mg:district:antanambao-manampotsy,served_by,true
508,mg:district:vohibinany,served_by,true
509,mg:district:fenoarivo-atsinanana,served_by,true
510,mg:district:mahanoro,served_by,true
511,mg:district:mananara-avaratra,served_by,true
512,mg:district:maroantsetra,served_by,true
513,mg:district:marolambo,served_by,true
514,mg:district:moramanga,served_by,true
515,mg:district:nosy-boraha,served_by,true
516,mg:district:soanierana-ivongo,served_by,true
517,mg:district:vatomandry,served_by,true
518,mg:district:vavatenina,served_by,true
601,mg:district:toliara-i,served_by,true
602,mg:district:toliara-ii,served_by,true
603,mg:district:amboasary-atsimo,served_by,true
604,mg:district:ambovombe-androy,served_by,true
605,mg:district:ampanihy,served_by,true
606,mg:district:ankazoabo-atsimo,served_by,true
607,mg:district:bekily,served_by,true
608,mg:district:beloni-tsiribihina,served_by,true
609,mg:district:beloha,served_by,true
610,mg:district:benenitra,served_by,true
611,mg:district:beroroha,served_by,true
612,mg:district:betioky-atsimo,served_by,true
613,mg:district:betroka,served_by,true
614,mg:district:taolagnaro,served_by,true
615,mg:district:mahabo,served_by,true
616,mg:district:manja,served_by,true
617,mg:district:miandrivazo,served_by,true
618,mg:district:morombe,served_by,true
619,mg:district:morondava,served_by,true
620,mg:district:sakaraha,served_by,true
621,mg:district:tsihombe,served_by,true
