source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mw:district:balaka,MW,district,Balaka,,BA,,1,,
mw:district:blantyre,MW,district,Blantyre,,BL,,1,,
mw:region:central,MW,region,Central,,C,,1,,
mw:district:chikwawa,MW,district,Chikwawa,,CK,,1,,
mw:district:chiradzulu,MW,district,Chiradzulu,,CR,,1,,
mw:district:chitipa,MW,district,Chitipa,,CT,,1,,
mw:district:dedza,MW,district,Dedza,,DE,,1,,
mw:district:dowa,MW,district,Dowa,,DO,,1,,
mw:district:karonga,MW,district,Karonga,,KR,,1,,
mw:district:kasungu,MW,district,Kasungu,,KS,,1,,
mw:district:likoma,MW,district,Likoma,,LK,,1,,
mw:district:lilongwe,MW,district,Lilongwe,,LI,,1,,
mw:district:machinga,MW,district,Machinga,,MH,,1,,
mw:district:mangochi,MW,district,Mangochi,,MG,,1,,
mw:district:mchinji,MW,district,Mchinji,,MC,,1,,
mw:district:mulanje,MW,district,Mulanje,,MU,,1,,
mw:district:mwanza,MW,district,Mwanza,,MW,,1,,
mw:district:mzimba,MW,district,Mzimba,,MZ,,1,,
mw:district:neno,MW,district,Neno,,NE,,1,,
mw:district:nkhata-bay,MW,district,Nkhata Bay,,NB,,1,,
mw:district:nkhotakota,MW,district,Nkhotakota,,NK,,1,,
mw:region:northern,MW,region,Northern,,N,,1,,
mw:district:nsanje,MW,district,Nsanje,,NS,,1,,
mw:district:ntcheu,MW,district,Ntcheu,,NU,,1,,
mw:district:ntchisi,MW,district,Ntchisi,,NI,,1,,
mw:district:phalombe,MW,district,Phalombe,,PH,,1,,
mw:district:rumphi,MW,district,Rumphi,,RU,,1,,
mw:district:salima,MW,district,Salima,,SA,,1,,
mw:region:southern,MW,region,Southern,,S,,1,,
mw:district:thyolo,MW,district,Thyolo,,TH,,1,,
mw:district:zomba,MW,district,Zomba,,ZO,,1,,
