source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
my:state:johor,MY,state,Johor,,johor,,1,,
my:state:kedah,MY,state,Kedah,,kedah,,1,,
my:state:kelantan,MY,state,Kelantan,,kelantan,,1,,
my:state:melaka,MY,state,Melaka,,melaka,,1,,
my:state:negeri-sembilan,MY,state,Negeri Sembilan,,negeri-sembilan,,1,,
my:state:pahang,MY,state,Pahang,,pahang,,1,,
my:state:perak,MY,state,Perak,,perak,,1,,
my:state:perlis,MY,state,Perlis,,perlis,,1,,
my:state:pulau-pinang,MY,state,Pulau Pinang,,pulau-pinang,,1,,
my:state:sabah,MY,state,Sabah,,sabah,,1,,
my:state:sarawak,MY,state,Sarawak,,sarawak,,1,,
my:state:selangor,MY,state,Selangor,,selangor,,1,,
my:state:terengganu,MY,state,Terengganu,,terengganu,,1,,
my:state:wilayah-persekutuan-kuala-lumpur,MY,wilayah_persekutuan,Wilayah Persekutuan Kuala Lumpur,,wp-kuala-lumpur,,1,,
my:state:wilayah-persekutuan-putrajaya,MY,wilayah_persekutuan,Wilayah Persekutuan Putrajaya,,wp-putrajaya,,1,,
my:state:wilayah-persekutuan-labuan,MY,wilayah_persekutuan,Wilayah Persekutuan Labuan,,wp-labuan,,1,,
my:district:johor:johor-bahru,MY,district,Johor Bahru,,,my:state:johor,2,,
my:district:johor:batu-pahat,MY,district,Batu Pahat,,,my:state:johor,2,,
my:district:johor:kluang,MY,district,Kluang,,,my:state:johor,2,,
my:district:johor:kulai,MY,district,Kulai,,,my:state:johor,2,,
my:district:johor:muar,MY,district,Muar,,,my:state:johor,2,,
my:district:johor:kota-tinggi,MY,district,Kota Tinggi,,,my:state:johor,2,,
my:district:johor:segamat,MY,district,Segamat,,,my:state:johor,2,,
my:district:johor:pontian,MY,district,Pontian,,,my:state:johor,2,,
my:district:johor:tangkak,MY,district,Tangkak,,,my:state:johor,2,,
my:district:johor:mersing,MY,district,Mersing,,,my:state:johor,2,,
my:district:kedah:kuala-muda,MY,district,Kuala Muda,,,my:state:kedah,2,,
my:district:kedah:kota-setar,MY,district,Kota Setar,,,my:state:kedah,2,,
my:district:kedah:kulim,MY,district,Kulim,,,my:state:kedah,2,,
my:district:kedah:kubang-pasu,MY,district,Kubang Pasu,,,my:state:kedah,2,,
my:district:kedah:baling,MY,district,Baling,,,my:state:kedah,2,,
my:district:kedah:pendang,MY,district,Pendang,,,my:state:kedah,2,,
my:district:kedah:langkawi,MY,district,Langkawi,,,my:state:kedah,2,,
my:district:kedah:yan,MY,district,Yan,,,my:state:kedah,2,,
my:district:kedah:sik,MY,district,Sik,,,my:state:kedah,2,,
my:district:kedah:padang-terap,MY,district,Padang Terap,,,my:state:kedah,2,,
my:district:kedah:pokok-sena,MY,district,Pokok Sena,,,my:state:kedah,2,,
my:district:kedah:bandar-baharu,MY,district,Bandar Baharu,,,my:state:kedah,2,,
my:district:kelantan:kota-bharu,MY,district,Kota Bharu,,,my:state:kelantan,2,,
my:district:kelantan:pasir-mas,MY,district,Pasir Mas,,,my:state:kelantan,2,,
