source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mv:city:addu,MV,city,Addu,,01,,1,,
mv:atoll:alif-alif,MV,atoll,Alif Alif,,02,,1,,
mv:atoll:alif-dhaal,MV,atoll,Alif Dhaal,,00,,1,,
mv:atoll:baa,MV,atoll,Baa,,20,,1,,
mv:atoll:dhaalu,MV,atoll,Dhaalu,,17,,1,,
mv:atoll:faafu,MV,atoll,Faafu,,14,,1,,
mv:atoll:gaafu-alif,MV,atoll,Gaafu Alif,,27,,1,,
mv:atoll:gaafu-dhaalu,MV,atoll,Gaafu Dhaalu,,28,,1,,
mv:atoll:haa-alif,MV,atoll,Haa Alif,,07,,1,,
mv:atoll:haa-dhaalu,MV,atoll,Haa Dhaalu,,23,,1,,
mv:atoll:kaafu,MV,atoll,Kaafu,,26,,1,,
mv:atoll:laamu,MV,atoll,Laamu,,05,,1,,
mv:atoll:lhaviyani,MV,atoll,Lhaviyani,,03,,1,,
mv:city:male,MV,city,Malé,,MLE,,1,,
mv:atoll:meemu,MV,atoll,Meemu,,12,,1,,
mv:atoll:noonu,MV,atoll,Noonu,,25,,1,,
mv:atoll:raa,MV,atoll,Raa,,13,,1,,
mv:atoll:shaviyani,MV,atoll,Shaviyani,,24,,1,,
mv:atoll:thaa,MV,atoll,Thaa,,08,,1,,
mv:atoll:vaavu,MV,atoll,Vaavu,,04,,1,,
mv:city:fuvahmulah,MV,city,Fuvahmulah,,FVM,,1,,
mv:city:kulhudhuffushi,MV,city,Kulhudhuffushi,,KUH,,1,,
mv:city:thinadhoo,MV,city,Thinadhoo,,THD,,1,,
