source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mt:local_council:attard,MT,local_council,Attard,,01,,1,,
mt:local_council:balzan,MT,local_council,Balzan,,02,,1,,
mt:local_council:birgu,MT,local_council,Birgu,,03,,1,,
mt:local_council:birkirkara,MT,local_council,Birkirkara,,04,,1,,
mt:local_council:birzebbuga,MT,local_council,Birżebbuġa,,05,,1,,
mt:local_council:cospicua,MT,local_council,Cospicua,,06,,1,,
mt:local_council:dingli,MT,local_council,Dingli,,07,,1,,
mt:local_council:fgura,MT,local_council,Fgura,,08,,1,,
mt:local_council:floriana,MT,local_council,Floriana,,09,,1,,
mt:local_council:fontana,MT,local_council,Fontana,,10,,1,,
mt:local_council:gajnsielem,MT,local_council,Għajnsielem,,13,,1,,
mt:local_council:garb,MT,local_council,Għarb,,14,,1,,
mt:local_council:gargur,MT,local_council,Għargħur,,15,,1,,
mt:local_council:gasri,MT,local_council,Għasri,,16,,1,,
mt:local_council:gaxaq,MT,local_council,Għaxaq,,17,,1,,
mt:local_council:gudja,MT,local_council,Gudja,,11,,1,,
mt:local_council:gzira,MT,local_council,Gżira,,12,,1,,
mt:local_council:amrun,MT,local_council,Ħamrun,,18,,1,,
mt:local_council:iklin,MT,local_council,Iklin,,19,,1,,
mt:local_council:kalkara,MT,local_council,Kalkara,,21,,1,,
mt:local_council:kercem,MT,local_council,Kerċem,,22,,1,,
mt:local_council:kirkop,MT,local_council,Kirkop,,23,,1,,
mt:local_council:lija,MT,local_council,Lija,,24,,1,,
mt:local_council:luqa,MT,local_council,Luqa,,25,,1,,
mt:local_council:marsa,MT,local_council,Marsa,,26,,1,,
mt:local_council:marsaskala,MT,local_council,Marsaskala,,27,,1,,
mt:local_council:marsaxlokk,MT,local_council,Marsaxlokk,,28,,1,,
mt:local_council:mdina,MT,local_council,Mdina,,29,,1,,
mt:local_council:melliea,MT,local_council,Mellieħa,,30,,1,,
mt:local_council:mgarr,MT,local_council,Mġarr,,31,,1,,
mt:local_council:mosta,MT,local_council,Mosta,,32,,1,,
mt:local_council:mqabba,MT,local_council,Mqabba,,33,,1,,
mt:local_council:msida,MT,local_council,Msida,,34,,1,,
mt:local_council:mtarfa,MT,local_council,Mtarfa,,35,,1,,
mt:local_council:munxar,MT,local_council,Munxar,,36,,1,,
mt:local_council:nadur,MT,local_council,Nadur,,37,,1,,
mt:local_council:naxxar,MT,local_council,Naxxar,,38,,1,,
mt:local_council:paola,MT,local_council,Paola,,39,,1,,
mt:local_council:pembroke,MT,local_council,Pembroke,,40,,1,,
mt:local_council:pieta,MT,local_council,Pietà,,41,,1,,
mt:local_council:qala,MT,local_council,Qala,,42,,1,,
mt:local_council:qormi,MT,local_council,Qormi,,43,,1,,
mt:local_council:qrendi,MT,local_council,Qrendi,,44,,1,,
mt:local_council:rabat,MT,local_council,Rabat,,46,,1,,
mt:local_council:safi,MT,local_council,Safi,,47,,1,,
mt:local_council:san-gwann,MT,local_council,San Ġwann,,49,,1,,
mt:local_council:san-lawrenz,MT,local_council,San Lawrenz,,50,,1,,
mt:local_council:sannat,MT,local_council,Sannat,,52,,1,,
mt:local_council:santa-lucija,MT,local_council,Santa Luċija,,53,,1,,
mt:local_council:santa-venera,MT,local_council,Santa Venera,,54,,1,,
mt:local_council:senglea,MT,local_council,Senglea,,20,,1,,
mt:local_council:siggiewi,MT,local_council,Siġġiewi,,55,,1,,
mt:local_council:sliema,MT,local_council,Sliema,,56,,1,,
mt:local_council:st-julians,MT,local_council,St. Julian's,,48,,1,,
mt:local_council:st-pauls-bay,MT,local_council,St. Paul's Bay,,51,,1,,
mt:local_council:swieqi,MT,local_council,Swieqi,,57,,1,,
mt:local_council:ta-xbiex,MT,local_council,Ta' Xbiex,,58,,1,,
mt:local_council:tarxien,MT,local_council,Tarxien,,59,,1,,
mt:local_council:valletta,MT,local_council,Valletta,,60,,1,,
mt:local_council:victoria,MT,local_council,Victoria,,45,,1,,
mt:local_council:xagra,MT,local_council,Xagħra,,61,,1,,
mt:local_council:xewkija,MT,local_council,Xewkija,,62,,1,,
mt:local_council:xgajra,MT,local_council,Xgħajra,,63,,1,,
mt:local_council:zabbar,MT,local_council,Żabbar,,64,,1,,
mt:local_council:zebbug-gozo,MT,local_council,Żebbuġ Gozo,,65,,1,,
mt:local_council:zebbug-malta,MT,local_council,Żebbuġ Malta,,66,,1,,
mt:local_council:zejtun,MT,local_council,Żejtun,,67,,1,,
mt:local_council:zurrieq,MT,local_council,Żurrieq,,68,,1,,
