postcode,area_source_id,relationship_type,is_primary
ATD 1000,mt:local_council:attard,served_by,true
ATD 1010,mt:local_council:attard,served_by,true
ATD 1011,mt:local_council:attard,served_by,true
ATD 1013,mt:local_council:attard,served_by,true
ATD 1020,mt:local_council:attard,served_by,true
ATD 1021,mt:local_council:attard,served_by,true
ATD 1022,mt:local_council:attard,served_by,true
ATD 1023,mt:local_council:attard,served_by,true
ATD 1024,mt:local_council:attard,served_by,true
ATD 1025,mt:local_council:attard,served_by,true
ATD 1026,mt:local_council:attard,served_by,true
ATD 1027,mt:local_council:attard,served_by,true
ATD 1028,mt:local_council:attard,served_by,true
ATD 1029,mt:local_council:attard,served_by,true
ATD 1030,mt:local_council:attard,served_by,true
ATD 1040,mt:local_council:attard,served_by,true
ATD 1051,mt:local_council:attard,served_by,true
ATD 1060,mt:local_council:attard,served_by,true
ATD 1061,mt:local_council:attard,served_by,true
ATD 1062,mt:local_council:attard,served_by,true
ATD 1063,mt:local_council:attard,served_by,true
ATD 1070,mt:local_council:attard,served_by,true
ATD 1071,mt:local_council:attard,served_by,true
ATD 1080,mt:local_council:attard,served_by,true
ATD 1081,mt:local_council:attard,served_by,true
ATD 1100,mt:local_council:attard,served_by,true
ATD 1101,mt:local_council:attard,served_by,true
ATD 1102,mt:local_council:attard,served_by,true
ATD 1103,mt:local_council:attard,served_by,true
ATD 1110,mt:local_council:attard,served_by,true
ATD 1111,mt:local_council:attard,served_by,true
ATD 1113,mt:local_council:attard,served_by,true
ATD 1121,mt:local_council:attard,served_by,true
ATD 1123,mt:local_council:attard,served_by,true
ATD 1124,mt:local_council:attard,served_by,true
ATD 1125,mt:local_council:attard,served_by,true
ATD 1132,mt:local_council:attard,served_by,true
ATD 1133,mt:local_council:attard,served_by,true
ATD 1134,mt:local_council:attard,served_by,true
ATD 1135,mt:local_council:attard,served_by,true
ATD 1140,mt:local_council:attard,served_by,true
ATD 1141,mt:local_council:attard,served_by,true
ATD 1151,mt:local_council:attard,served_by,true
ATD 1152,mt:local_council:attard,served_by,true
ATD 1153,mt:local_council:attard,served_by,true
