source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mh:chain:ralik,MH,chain,Ralik,,L,,1,,
mh:chain:ratak,MH,chain,Ratak,,T,,1,,
mh:municipality:ailinglaplap,MH,municipality,Ailinglaplap,,ALL,mh:chain:ralik,2,,
mh:municipality:ailuk,MH,municipality,Ailuk,,ALK,mh:chain:ratak,2,,
mh:municipality:arno,MH,municipality,Arno,,ARN,mh:chain:ratak,2,,
mh:municipality:aur,MH,municipality,Aur,,AUR,mh:chain:ratak,2,,
mh:municipality:bikini-kili,MH,municipality,Bikini & Kili,,KIL,mh:chain:ralik,2,,
mh:municipality:ebon,MH,municipality,Ebon,,EBO,mh:chain:ralik,2,,
mh:municipality:enewetak-ujelang,MH,municipality,Enewetak & Ujelang,,ENI,mh:chain:ralik,2,,
mh:municipality:jabat,MH,municipality,Jabat,,JAB,mh:chain:ralik,2,,
mh:municipality:jaluit,MH,municipality,Jaluit,,JAL,mh:chain:ralik,2,,
mh:municipality:kwajalein,MH,municipality,Kwajalein,,KWA,mh:chain:ralik,2,,
mh:municipality:lae,MH,municipality,Lae,,LAE,mh:chain:ralik,2,,
mh:municipality:lib,MH,municipality,Lib,,LIB,mh:chain:ralik,2,,
mh:municipality:likiep,MH,municipality,Likiep,,LIK,mh:chain:ratak,2,,
mh:municipality:majuro,MH,municipality,Majuro,,MAJ,mh:chain:ratak,2,,
mh:municipality:maloelap,MH,municipality,Maloelap,,MAL,mh:chain:ratak,2,,
mh:municipality:mejit,MH,municipality,Mejit,,MEJ,mh:chain:ratak,2,,
mh:municipality:mili,MH,municipality,Mili,,MIL,mh:chain:ratak,2,,
mh:municipality:namdrik,MH,municipality,Namdrik,,NMK,mh:chain:ralik,2,,
mh:municipality:namu,MH,municipality,Namu,,NMU,mh:chain:ralik,2,,
mh:municipality:rongelap,MH,municipality,Rongelap,,RON,mh:chain:ralik,2,,
mh:municipality:ujae,MH,municipality,Ujae,,UJA,mh:chain:ralik,2,,
mh:municipality:utrik,MH,municipality,Utrik,,UTI,mh:chain:ratak,2,,
mh:municipality:wotho,MH,municipality,Wotho,,WTH,mh:chain:ralik,2,,
mh:municipality:wotje,MH,municipality,Wotje,,WTJ,mh:chain:ratak,2,,
