source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mq:district:fort-de-france,MQ,district,Fort-de-France,,01,,1,,
mq:district:la-trinite,MQ,district,La Trinité,,02,,1,,
mq:district:le-marin,MQ,district,Le Marin,,03,,1,,
mq:district:saint-pierre,MQ,district,Saint-Pierre,,04,,1,,
mq:commune:fort-de-france,MQ,commune,Fort-de-France,,97209,mq:district:fort-de-france,2,,
mq:commune:le-lamentin,MQ,commune,Le Lamentin,,97213,mq:district:fort-de-france,2,,
mq:commune:saint-joseph,MQ,commune,Saint-Joseph,,97224,mq:district:fort-de-france,2,,
mq:commune:schoelcher,MQ,commune,Schœlcher,,97229,mq:district:fort-de-france,2,,
mq:commune:l-ajoupa-bouillon,MQ,commune,L'Ajoupa-Bouillon,,97201,mq:district:la-trinite,2,,
mq:commune:basse-pointe,MQ,commune,Basse-Pointe,,97203,mq:district:la-trinite,2,,
mq:commune:grand-riviere,MQ,commune,Grand'Rivière,,97211,mq:district:la-trinite,2,,
mq:commune:gros-morne,MQ,commune,Gros-Morne,,97212,mq:district:la-trinite,2,,
mq:commune:le-lorrain,MQ,commune,Le Lorrain,,97214,mq:district:la-trinite,2,,
mq:commune:macouba,MQ,commune,Macouba,,97215,mq:district:la-trinite,2,,
mq:commune:le-marigot,MQ,commune,Le Marigot,,97216,mq:district:la-trinite,2,,
mq:commune:le-robert,MQ,commune,Le Robert,,97222,mq:district:la-trinite,2,,
mq:commune:sainte-marie,MQ,commune,Sainte-Marie,,97228,mq:district:la-trinite,2,,
mq:commune:la-trinite,MQ,commune,La Trinité,,97230,mq:district:la-trinite,2,,
mq:commune:les-anses-d-arlet,MQ,commune,Les Anses-d'Arlet,,97202,mq:district:le-marin,2,,
mq:commune:le-diamant,MQ,commune,Le Diamant,,97206,mq:district:le-marin,2,,
mq:commune:ducos,MQ,commune,Ducos,,97207,mq:district:le-marin,2,,
mq:commune:le-francois,MQ,commune,Le François,,97210,mq:district:le-marin,2,,
mq:commune:le-marin,MQ,commune,Le Marin,,97217,mq:district:le-marin,2,,
mq:commune:riviere-pilote,MQ,commune,Rivière-Pilote,,97220,mq:district:le-marin,2,,
mq:commune:riviere-salee,MQ,commune,Rivière-Salée,,97221,mq:district:le-marin,2,,
mq:commune:sainte-anne,MQ,commune,Sainte-Anne,,97226,mq:district:le-marin,2,,
mq:commune:saint-esprit,MQ,commune,Saint-Esprit,,97223,mq:district:le-marin,2,,
mq:commune:sainte-luce,MQ,commune,Sainte-Luce,,97227,mq:district:le-marin,2,,
mq:commune:les-trois-ilets,MQ,commune,Les Trois-Îlets,,97231,mq:district:le-marin,2,,
mq:commune:le-vauclin,MQ,commune,Le Vauclin,,97232,mq:district:le-marin,2,,
mq:commune:bellefontaine,MQ,commune,Bellefontaine,,97234,mq:district:saint-pierre,2,,
mq:commune:le-carbet,MQ,commune,Le Carbet,,97204,mq:district:saint-pierre,2,,
mq:commune:case-pilote,MQ,commune,Case-Pilote,,97205,mq:district:saint-pierre,2,,
mq:commune:fonds-saint-denis,MQ,commune,Fonds-Saint-Denis,,97208,mq:district:saint-pierre,2,,
mq:commune:le-morne-rouge,MQ,commune,Le Morne-Rouge,,97218,mq:district:saint-pierre,2,,
mq:commune:le-morne-vert,MQ,commune,Le Morne-Vert,,97233,mq:district:saint-pierre,2,,
mq:commune:le-precheur,MQ,commune,Le Prêcheur,,97219,mq:district:saint-pierre,2,,
mq:commune:saint-pierre,MQ,commune,Saint-Pierre,,97225,mq:district:saint-pierre,2,,
