postcode,area_source_id,relationship_type,is_primary
97200,mq:commune:fort-de-france,served_by,true
97211,mq:commune:riviere-pilote,served_by,true
97212,mq:commune:saint-joseph,served_by,true
97213,mq:commune:gros-morne,served_by,true
97214,mq:commune:le-lorrain,served_by,true
97215,mq:commune:riviere-salee,served_by,true
97216,mq:commune:l-ajoupa-bouillon,served_by,true
97217,mq:commune:les-anses-d-arlet,served_by,true
97218,mq:commune:basse-pointe,served_by,true
97218,mq:commune:grand-riviere,served_by,false
97218,mq:commune:macouba,served_by,false
97220,mq:commune:la-trinite,served_by,true
97221,mq:commune:le-carbet,served_by,true
97222,mq:commune:bellefontaine,served_by,true
97222,mq:commune:case-pilote,served_by,false
97223,mq:commune:le-diamant,served_by,true
97224,mq:commune:ducos,served_by,true
97225,mq:commune:le-marigot,served_by,true
97226,mq:commune:le-morne-vert,served_by,true
97227,mq:commune:sainte-anne,served_by,true
97228,mq:commune:sainte-luce,served_by,true
97229,mq:commune:les-trois-ilets,served_by,true
97230,mq:commune:sainte-marie,served_by,true
97231,mq:commune:le-robert,served_by,true
97232,mq:commune:le-lamentin,served_by,true
97233,mq:commune:schoelcher,served_by,true
97234,mq:commune:fort-de-france,served_by,true
97240,mq:commune:le-francois,served_by,true
97250,mq:commune:fonds-saint-denis,served_by,false
97250,mq:commune:le-precheur,served_by,false
97250,mq:commune:saint-pierre,served_by,true
97260,mq:commune:le-morne-rouge,served_by,true
97270,mq:commune:saint-esprit,served_by,true
97280,mq:commune:le-vauclin,served_by,true
97290,mq:commune:le-marin,served_by,true
