source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mr:region:adrar,MR,region,Adrar,,07,,1,,
mr:region:assaba,MR,region,Assaba,,03,,1,,
mr:region:brakna,MR,region,Brakna,,05,,1,,
mr:region:dakhlet-nouadhibou,MR,region,Dakhlet Nouadhibou,,08,,1,,
mr:region:gorgol,MR,region,Gorgol,,04,,1,,
mr:region:guidimaka,MR,region,Guidimaka,,10,,1,,
mr:region:hodh-ech-chargui,MR,region,Hodh Ech Chargui,,01,,1,,
mr:region:hodh-el-gharbi,MR,region,Hodh El Gharbi,,02,,1,,
mr:region:inchiri,MR,region,Inchiri,,12,,1,,
mr:region:nouakchott-nord,MR,region,Nouakchott-Nord,,14,,1,,
mr:region:nouakchott-ouest,MR,region,Nouakchott-Ouest,,13,,1,,
mr:region:nouakchott-sud,MR,region,Nouakchott-Sud,,15,,1,,
mr:region:tagant,MR,region,Tagant,,09,,1,,
mr:region:tiris-zemmour,MR,region,Tiris Zemmour,,11,,1,,
mr:region:trarza,MR,region,Trarza,,06,,1,,
mr:department:adel-bagrou,MR,department,Adel Bagrou,,,mr:region:hodh-ech-chargui,2,,
mr:department:aioun,MR,department,Aïoun,,,mr:region:hodh-el-gharbi,2,,
mr:department:akjoujt,MR,department,Akjoujt,,,mr:region:inchiri,2,,
mr:department:aleg,MR,department,Aleg,,,mr:region:brakna,2,,
mr:department:amourj,MR,department,Amourj,,,mr:region:hodh-ech-chargui,2,,
mr:department:aoujeft,MR,department,Aoujeft,,,mr:region:adrar,2,,
mr:department:arafat,MR,department,Arafat,,,mr:region:nouakchott-sud,2,,
mr:department:atar,MR,department,Atar,,,mr:region:adrar,2,,
mr:department:bababe,MR,department,Bababé,,,mr:region:brakna,2,,
mr:department:barkeol,MR,department,Barkéol,,,mr:region:assaba,2,,
mr:department:bassiknou,MR,department,Bassiknou,,,mr:region:hodh-ech-chargui,2,,
mr:department:benichab,MR,department,Bénichab,,,mr:region:inchiri,2,,
mr:department:bir-moghrein,MR,department,Bir Moghrein,,,mr:region:tiris-zemmour,2,,
mr:department:bogue,MR,department,Bogué,,,mr:region:brakna,2,,
mr:department:boumdeid,MR,department,Boumdeid,,,mr:region:assaba,2,,
mr:department:boutilimit,MR,department,Boutilimit,,,mr:region:trarza,2,,
mr:department:chami,MR,department,Chami,,,mr:region:dakhlet-nouadhibou,2,,
mr:department:chinguetti,MR,department,Chinguetti,,,mr:region:adrar,2,,
mr:department:dar-naim,MR,department,Dar Naïm,,,mr:region:nouakchott-nord,2,,
mr:department:djigueni,MR,department,Djigueni,,,mr:region:hodh-ech-chargui,2,,
mr:department:el-mina,MR,department,El Mina,,,mr:region:nouakchott-sud,2,,
mr:department:f-deirick,MR,department,F'Déirick,,,mr:region:tiris-zemmour,2,,
mr:department:ghabou,MR,department,Ghabou,,,mr:region:guidimaka,2,,
mr:department:guerou,MR,department,Guerou,,,mr:region:assaba,2,,
mr:department:kaedi,MR,department,Kaédi,,,mr:region:gorgol,2,,
mr:department:kankossa,MR,department,Kankossa,,,mr:region:assaba,2,,
mr:department:keur-macene,MR,department,Keur Macène,,,mr:region:trarza,2,,
mr:department:kiffa,MR,department,Kiffa,,,mr:region:assaba,2,,
