source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mu:dependency:agalega-islands,MU,dependency,Agalega Islands,,AG,,1,,
mu:district:black-river,MU,district,Black River,,BL,,1,,
mu:district:flacq,MU,district,Flacq,,FL,,1,,
mu:district:grand-port,MU,district,Grand Port,,GP,,1,,
mu:district:moka,MU,district,Moka,,MO,,1,,
mu:district:pamplemousses,MU,district,Pamplemousses,,PA,,1,,
mu:district:plaines-wilhems,MU,district,Plaines Wilhems,,PW,,1,,
mu:district:port-louis,MU,district,Port Louis,,PL,,1,,
mu:district:riviere-du-rempart,MU,district,Rivière du Rempart,,RR,,1,,
mu:dependency:rodrigues-island,MU,dependency,Rodrigues Island,,RO,,1,,
mu:dependency:saint-brandon-islands,MU,dependency,Saint Brandon Islands,,CC,,1,,
mu:district:savanne,MU,district,Savanne,,SA,,1,,
mu:city:port-louis,MU,city,Port Louis,,,mu:district:port-louis,2,,
mu:town:vacoas-phoenix,MU,town,Vacoas-Phoenix,,,mu:district:plaines-wilhems,2,,
mu:town:beau-bassin-rose-hill,MU,town,Beau Bassin-Rose Hill,,,mu:district:plaines-wilhems,2,,
mu:town:curepipe,MU,town,Curepipe,,,mu:district:plaines-wilhems,2,,
mu:town:quatre-bornes,MU,town,Quatre Bornes,,,mu:district:plaines-wilhems,2,,
mu:village:albion,MU,village,Albion,,,mu:district:black-river,2,,
mu:village:amaury,MU,village,Amaury,,,mu:district:riviere-du-rempart,2,,
mu:village:amitie-gokhoola,MU,village,Amitié-Gokhoola,,,mu:district:riviere-du-rempart,2,,
mu:village:anse-la-raie,MU,village,Anse La Raie,,,mu:district:riviere-du-rempart,2,,
mu:village:arsenal,MU,village,Arsenal,,,mu:district:pamplemousses,2,,
mu:village:baie-du-cap,MU,village,Baie du Cap,,,mu:district:savanne,2,,
mu:village:baie-du-tombeau,MU,village,Baie du Tombeau,,,mu:district:pamplemousses,2,,
mu:village:bambous,MU,village,Bambous,,,mu:district:black-river,2,,
mu:village:bambous-virieux,MU,village,Bambous Virieux,,,mu:district:grand-port,2,,
mu:village:bananes,MU,village,Bananes,,,mu:district:grand-port,2,,
mu:village:beau-vallon,MU,village,Beau Vallon,,,mu:district:grand-port,2,,
mu:village:bel-air-riviere-seche,MU,village,Bel Air Rivière Sèche,,,mu:district:flacq,2,,
mu:village:bel-ombre,MU,village,Bel Ombre,,,mu:district:savanne,2,,
mu:village:belle-vue-haurel,MU,village,Belle Vue Haurel,,,mu:district:pamplemousses,2,,
mu:village:benares,MU,village,Bénarès,,,mu:district:savanne,2,,
mu:village:bois-cheri,MU,village,Bois Chéri,,,mu:district:savanne,2,,
mu:village:bois-des-amourettes,MU,village,Bois des Amourettes,,,mu:district:grand-port,2,,
mu:village:bon-accueil,MU,village,Bon Accueil,,,mu:district:flacq,2,,
mu:village:bramsthan,MU,village,Bramsthan,,,mu:district:flacq,2,,
mu:village:brisee-verdiere,MU,village,Brisée Verdière,,,mu:district:flacq,2,,
mu:village:britannia,MU,village,Britannia,,,mu:district:savanne,2,,
mu:village:calebasses,MU,village,Calebasses,,,mu:district:pamplemousses,2,,
mu:village:camp-carol,MU,village,Camp Carol,,,mu:district:grand-port,2,,
mu:village:camp-de-masque,MU,village,Camp de Masque,,,mu:district:flacq,2,,
mu:village:camp-de-masque-pave,MU,village,Camp de Masque Pavé,,,mu:district:flacq,2,,
mu:village:camp-diable,MU,village,Camp Diable,,,mu:district:savanne,2,,
mu:village:camp-ithier,MU,village,Camp Ithier,,,mu:district:flacq,2,,
mu:village:camp-thorel,MU,village,Camp Thorel,,,mu:district:moka,2,,
mu:village:cap-malheureux,MU,village,Cap Malheureux,,,mu:district:riviere-du-rempart,2,,
mu:village:cascavelle,MU,village,Cascavelle,,,mu:district:black-river,2,,
mu:village:case-noyale,MU,village,Case Noyale,,,mu:district:black-river,2,,
mu:village:centre-de-flacq,MU,village,Centre de Flacq,,,mu:district:flacq,2,,
mu:village:chamarel,MU,village,Chamarel,,,mu:district:black-river,2,,
mu:village:chamouny,MU,village,Chamouny,,,mu:district:savanne,2,,
mu:village:chemin-grenier,MU,village,Chemin Grenier,,,mu:district:savanne,2,,
mu:village:clemencia,MU,village,Clémencia,,,mu:district:flacq,2,,
mu:village:cluny,MU,village,Cluny,,,mu:district:grand-port,2,,
