country_code,code
MU,11101
MU,11102
MU,11103
MU,11104
MU,11105
MU,11106
MU,11107
MU,11108
MU,11109
MU,11110
MU,11111
MU,11112
MU,11113
MU,11114
MU,11115
MU,11116
MU,11117
MU,11118
MU,11119
MU,11120
MU,11121
MU,11122
MU,11123
MU,11124
MU,11125
MU,11126
MU,11127
MU,11128
MU,11129
MU,11130
MU,11131
MU,11132
MU,11133
MU,11134
MU,11135
MU,11201
MU,11202
MU,11203
MU,11204
MU,11205
MU,11206
MU,11207
MU,11208
MU,11209
MU,11210
MU,11211
MU,11212
MU,11213
MU,11214
MU,11215
MU,11216
MU,11217
MU,11218
MU,11219
MU,11220
MU,11221
MU,11222
MU,11223
MU,11224
MU,11225
MU,11226
MU,11227
MU,11301
MU,11302
MU,11303
MU,11304
MU,11305
MU,11306
MU,11307
MU,11308
MU,11309
MU,11310
MU,11311
MU,11312
MU,11313
MU,11314
MU,11315
MU,11316
MU,11317
MU,11318
MU,11319
MU,11320
MU,11321
MU,11322
MU,11323
MU,11324
MU,11325
MU,11326
MU,11327
MU,11328
MU,11401
MU,11402
MU,11403
MU,11404
MU,11405
MU,11406
MU,11407
MU,11408
MU,11409
MU,11410
MU,11411
MU,11412
MU,11413
MU,11501
MU,11502
MU,11503
MU,11504
MU,11505
MU,11506
MU,11601
MU,11602
MU,11603
MU,11604
MU,11605
MU,11606
MU,11607
MU,11608
MU,11609
MU,11610
MU,11611
MU,11612
MU,11613
MU,11614
MU,11615
MU,11701
MU,11702
MU,11703
MU,11704
MU,11705
MU,11706
MU,11707
MU,11708
MU,11801
MU,11802
MU,11803
MU,11804
MU,11805
MU,11806
MU,11807
MU,11808
MU,11809
MU,11810
MU,11811
MU,11812
MU,11813
MU,11814
MU,11815
MU,11816
MU,11817
MU,11818
MU,20101
MU,20102
MU,20103
MU,20104
MU,20105
MU,20106
MU,20107
MU,20108
MU,20109
MU,20110
MU,20111
MU,20201
MU,20202
MU,20203
MU,20204
MU,20301
MU,20302
MU,20303
MU,20401
MU,20402
MU,20403
MU,20404
MU,20405
MU,20406
MU,20501
MU,20502
MU,20503
MU,20504
MU,20505
MU,20506
MU,20507
MU,20508
MU,20509
MU,20510
MU,20511
MU,20512
MU,20513
MU,20514
MU,20515
MU,20516
MU,20601
MU,20602
MU,20603
MU,20801
MU,20802
MU,20803
MU,20804
MU,20805
MU,20806
MU,20807
MU,20808
MU,20809
MU,20810
MU,20811
MU,20812
MU,20813
MU,20814
MU,20901
MU,20902
MU,20903
MU,20904
MU,21001
MU,21002
MU,21003
MU,21004
MU,21005
MU,21006
MU,21007
MU,21008
MU,21009
MU,21010
MU,21011
MU,21012
MU,21013
MU,21014
MU,21015
MU,21016
MU,21017
MU,21201
MU,21202
MU,21203
MU,21204
MU,21205
MU,21206
MU,21207
MU,21208
MU,21209
MU,21210
MU,21211
MU,21212
MU,21213
MU,21214
MU,21215
