source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
yt:commune:acoua,YT,commune,Acoua,,14,,1,,
yt:commune:bandraboua,YT,commune,Bandraboua,,16,,1,,
yt:commune:bandrele,YT,commune,Bandrélé,,05,,1,,
yt:commune:boueni,YT,commune,Boueni,,07,,1,,
yt:commune:chiconi,YT,commune,Chiconi,,11,,1,,
yt:commune:chirongui,YT,commune,Chirongui,,08,,1,,
yt:commune:dembeni,YT,commune,Dembeni,,04,,1,,
yt:commune:dzaoudzi,YT,commune,Dzaoudzi,,01,,1,,
yt:commune:kani-keli,YT,commune,Kani Keli,,06,,1,,
yt:commune:koungou,YT,commune,Koungou,,17,,1,,
yt:commune:mtsangamouji,YT,commune,M'Tsangamouji,,13,,1,,
yt:commune:mamoudzou,YT,commune,Mamoudzou,,03,,1,,
yt:commune:mtsamboro,YT,commune,Mtsamboro,,15,,1,,
yt:commune:ouangani,YT,commune,Ouangani,,10,,1,,
yt:commune:pamandzi,YT,commune,Pamandzi,,02,,1,,
yt:commune:sada,YT,commune,Sada,,09,,1,,
yt:commune:tsingoni,YT,commune,Tsingoni,,12,,1,,
