source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mx:state:aguascalientes,MX,state,Aguascalientes,,AGU,,1,,
mx:state:baja-california,MX,state,Baja California,,BCN,,1,,
mx:state:baja-california-sur,MX,state,Baja California Sur,,BCS,,1,,
mx:state:campeche,MX,state,Campeche,,CAM,,1,,
mx:state:chihuahua,MX,state,Chihuahua,,CHH,,1,,
mx:state:chiapas,MX,state,Chiapas,,CHP,,1,,
mx:state:ciudad-de-mexico,MX,state,Ciudad de México,,CMX,,1,,
mx:state:coahuila-de-zaragoza,MX,state,Coahuila de Zaragoza,,COA,,1,,
mx:state:colima,MX,state,Colima,,COL,,1,,
mx:state:durango,MX,state,Durango,,DUR,,1,,
mx:state:guerrero,MX,state,Guerrero,,GRO,,1,,
mx:state:guanajuato,MX,state,Guanajuato,,GUA,,1,,
mx:state:hidalgo,MX,state,Hidalgo,,HID,,1,,
mx:state:jalisco,MX,state,Jalisco,,JAL,,1,,
mx:state:estado-de-mexico,MX,state,Estado de México,,MEX,,1,,
mx:state:michoacan-de-ocampo,MX,state,Michoacán de Ocampo,,MIC,,1,,
mx:state:morelos,MX,state,Morelos,,MOR,,1,,
mx:state:nayarit,MX,state,Nayarit,,NAY,,1,,
mx:state:nuevo-leon,MX,state,Nuevo León,,NLE,,1,,
mx:state:oaxaca,MX,state,Oaxaca,,OAX,,1,,
mx:state:puebla,MX,state,Puebla,,PUE,,1,,
mx:state:queretaro,MX,state,Querétaro,,QUE,,1,,
mx:state:quintana-roo,MX,state,Quintana Roo,,ROO,,1,,
mx:state:sinaloa,MX,state,Sinaloa,,SIN,,1,,
mx:state:san-luis-potosi,MX,state,San Luis Potosí,,SLP,,1,,
mx:state:sonora,MX,state,Sonora,,SON,,1,,
mx:state:tabasco,MX,state,Tabasco,,TAB,,1,,
mx:state:tamaulipas,MX,state,Tamaulipas,,TAM,,1,,
mx:state:tlaxcala,MX,state,Tlaxcala,,TLA,,1,,
mx:state:veracruz-de-ignacio-de-la-llave,MX,state,Veracruz de Ignacio de la Llave,,VER,,1,,
mx:state:yucatan,MX,state,Yucatán,,YUC,,1,,
mx:state:zacatecas,MX,state,Zacatecas,,ZAC,,1,,
