source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
fm:state:chuuk,FM,state,Chuuk,,TRK,,1,,
fm:state:kosrae,FM,state,Kosrae,,KSA,,1,,
fm:state:pohnpei,FM,state,Pohnpei,,PNI,,1,,
fm:state:yap,FM,state,Yap,,YAP,,1,,
fm:municipality:eot,FM,municipality,Eot,,,fm:state:chuuk,2,,
fm:municipality:ettal,FM,municipality,Ettal,,,fm:state:chuuk,2,,
fm:municipality:fananu,FM,municipality,Fananu,,,fm:state:chuuk,2,,
fm:municipality:fanapanges,FM,municipality,Fanapanges,,,fm:state:chuuk,2,,
fm:municipality:fefen,FM,municipality,Fefen,,,fm:state:chuuk,2,,
fm:municipality:fono,FM,municipality,Fono,,,fm:state:chuuk,2,,
fm:municipality:houk,FM,municipality,Houk,,,fm:state:chuuk,2,,
fm:municipality:kutu,FM,municipality,Kutu,,,fm:state:chuuk,2,,
fm:municipality:losap,FM,municipality,Losap,,,fm:state:chuuk,2,,
fm:municipality:lukunoch,FM,municipality,Lukunoch,,,fm:state:chuuk,2,,
fm:municipality:makur,FM,municipality,Makur,,,fm:state:chuuk,2,,
fm:municipality:moch,FM,municipality,Moch,,,fm:state:chuuk,2,,
fm:municipality:murilo,FM,municipality,Murilo,,,fm:state:chuuk,2,,
fm:municipality:namoluk,FM,municipality,Namoluk,,,fm:state:chuuk,2,,
fm:municipality:nema,FM,municipality,Nema,,,fm:state:chuuk,2,,
fm:municipality:nomwin,FM,municipality,Nomwin,,,fm:state:chuuk,2,,
fm:municipality:oneop,FM,municipality,Oneop,,,fm:state:chuuk,2,,
fm:municipality:onou,FM,municipality,Onou,,,fm:state:chuuk,2,,
fm:municipality:onoun,FM,municipality,Onoun,,,fm:state:chuuk,2,,
fm:municipality:paata,FM,municipality,Paata,,,fm:state:chuuk,2,,
fm:municipality:parem,FM,municipality,Parem,,,fm:state:chuuk,2,,
fm:municipality:piherarh,FM,municipality,Piherarh,,,fm:state:chuuk,2,,
fm:municipality:piis-emmwar,FM,municipality,Piis-emmwar,,,fm:state:chuuk,2,,
fm:municipality:piis-paneu,FM,municipality,Piis-paneu,,,fm:state:chuuk,2,,
fm:municipality:pollap,FM,municipality,Pollap,,,fm:state:chuuk,2,,
fm:municipality:polle,FM,municipality,Polle,,,fm:state:chuuk,2,,
