source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
md:district:anenii-noi,MD,district,Anenii Noi,,AN,,1,,
md:city:balti,MD,city,Bălți,,BA,,1,,
md:district:basarabeasca,MD,district,Basarabeasca,,BS,,1,,
md:city:bender,MD,city,Bender,,BD,,1,,
md:district:briceni,MD,district,Briceni,,BR,,1,,
md:district:cahul,MD,district,Cahul,,CA,,1,,
md:district:calarasi,MD,district,Călărași,,CL,,1,,
md:district:cantemir,MD,district,Cantemir,,CT,,1,,
md:district:causeni,MD,district,Căușeni,,CS,,1,,
md:city:chisinau,MD,city,Chișinău,,CU,,1,,
md:district:cimislia,MD,district,Cimișlia,,CM,,1,,
md:district:criuleni,MD,district,Criuleni,,CR,,1,,
md:district:donduseni,MD,district,Dondușeni,,DO,,1,,
md:district:drochia,MD,district,Drochia,,DR,,1,,
md:district:dubasari,MD,district,Dubăsari,,DU,,1,,
md:district:edinet,MD,district,Edineț,,ED,,1,,
md:district:falesti,MD,district,Fălești,,FA,,1,,
md:district:floresti,MD,district,Florești,,FL,,1,,
md:autonomous_territorial_unit:gagauzia,MD,autonomous_territorial_unit,Gagauzia,,GA,,1,,
md:district:glodeni,MD,district,Glodeni,,GL,,1,,
md:district:hincesti,MD,district,Hîncești,,HI,,1,,
md:district:ialoveni,MD,district,Ialoveni,,IA,,1,,
md:district:leova,MD,district,Leova,,LE,,1,,
md:district:nisporeni,MD,district,Nisporeni,,NI,,1,,
md:district:ocnita,MD,district,Ocnița,,OC,,1,,
md:district:orhei,MD,district,Orhei,,OR,,1,,
md:district:rezina,MD,district,Rezina,,RE,,1,,
md:district:riscani,MD,district,Rîșcani,,RI,,1,,
md:district:singerei,MD,district,Sîngerei,,SI,,1,,
md:district:soldanesti,MD,district,Șoldănești,,SD,,1,,
md:district:soroca,MD,district,Soroca,,SO,,1,,
md:district:stefan-voda,MD,district,Ștefan Vodă,,SV,,1,,
md:district:straseni,MD,district,Strășeni,,ST,,1,,
md:district:taraclia,MD,district,Taraclia,,TA,,1,,
md:district:telenesti,MD,district,Telenești,,TE,,1,,
md:territorial_unit:transnistria,MD,territorial_unit,Transnistria,,SN,,1,,
md:district:ungheni,MD,district,Ungheni,,UN,,1,,
