country_code,code
MD,MD-2000
MD,MD-2003
MD,MD-2011
MD,MD-2046
MD,MD-2055
MD,MD-2071
MD,MD-2081
MD,MD-2082
MD,MD-2083
MD,MD-2084
MD,MD-2085
MD,MD-2086
MD,MD-2088
MD,MD-2089
MD,MD-2091
MD,MD-2092
MD,MD-2093
MD,MD-3004
MD,MD-3005
MD,MD-3006
MD,MD-3011
MD,MD-3012
MD,MD-3013
MD,MD-3014
MD,MD-3015
MD,MD-3016
MD,MD-3017
MD,MD-3018
MD,MD-3019
MD,MD-3020
MD,MD-3021
MD,MD-3022
MD,MD-3023
MD,MD-3024
MD,MD-3025
MD,MD-3026
MD,MD-3027
MD,MD-3028
MD,MD-3029
MD,MD-3030
MD,MD-3031
MD,MD-3032
MD,MD-3033
MD,MD-3034
MD,MD-3035
MD,MD-3036
MD,MD-3037
MD,MD-3038
MD,MD-3039
MD,MD-3040
MD,MD-3041
MD,MD-3042
MD,MD-3043
MD,MD-3044
MD,MD-3045
MD,MD-3046
MD,MD-3047
MD,MD-3048
MD,MD-3049
MD,MD-3050
MD,MD-3051
MD,MD-3052
MD,MD-3100
MD,MD-3151
MD,MD-3200
MD,MD-3251
MD,MD-3252
MD,MD-3300
MD,MD-3311
MD,MD-3351
MD,MD-3352
MD,MD-3401
MD,MD-3411
MD,MD-3412
MD,MD-3413
MD,MD-3414
MD,MD-3415
MD,MD-3416
MD,MD-3417
MD,MD-3418
MD,MD-3419
MD,MD-3420
MD,MD-3421
MD,MD-3422
MD,MD-3423
MD,MD-3424
MD,MD-3425
MD,MD-3426
MD,MD-3427
MD,MD-3428
MD,MD-3429
MD,MD-3430
MD,MD-3431
MD,MD-3432
MD,MD-3434
MD,MD-3435
MD,MD-3436
MD,MD-3437
MD,MD-3438
MD,MD-3439
MD,MD-3440
MD,MD-3441
MD,MD-3442
MD,MD-3443
MD,MD-3444
MD,MD-3445
MD,MD-3446
MD,MD-3447
MD,MD-3448
MD,MD-3449
MD,MD-3450
MD,MD-3451
MD,MD-3452
MD,MD-3502
MD,MD-3503
MD,MD-3504
MD,MD-3505
MD,MD-3511
MD,MD-3512
MD,MD-3513
MD,MD-3514
MD,MD-3515
MD,MD-3516
MD,MD-3517
MD,MD-3518
MD,MD-3519
MD,MD-3520
MD,MD-3521
MD,MD-3522
MD,MD-3523
MD,MD-3524
MD,MD-3525
MD,MD-3526
MD,MD-3527
MD,MD-3528
MD,MD-3529
MD,MD-3530
MD,MD-3531
MD,MD-3532
MD,MD-3533
MD,MD-3534
MD,MD-3535
MD,MD-3536
MD,MD-3537
MD,MD-3538
MD,MD-3539
MD,MD-3540
MD,MD-3541
MD,MD-3542
MD,MD-3543
MD,MD-3544
MD,MD-3545
MD,MD-3546
MD,MD-3547
MD,MD-3548
MD,MD-3549
MD,MD-3550
MD,MD-3552
MD,MD-3553
MD,MD-3554
MD,MD-3555
MD,MD-3556
MD,MD-3557
MD,MD-3601
MD,MD-3602
MD,MD-3603
MD,MD-3604
MD,MD-3606
MD,MD-3608
MD,MD-3611
MD,MD-3612
MD,MD-3613
MD,MD-3614
MD,MD-3615
MD,MD-3616
MD,MD-3617
MD,MD-3618
MD,MD-3619
MD,MD-3620
MD,MD-3621
MD,MD-3622
MD,MD-3623
MD,MD-3624
MD,MD-3625
MD,MD-3626
MD,MD-3627
MD,MD-3628
MD,MD-3629
MD,MD-3630
MD,MD-3631
MD,MD-3632
MD,MD-3633
MD,MD-3634
MD,MD-3635
MD,MD-3636
MD,MD-3637
MD,MD-3638
MD,MD-3639
MD,MD-3640
MD,MD-3641
MD,MD-3642
MD,MD-3643
MD,MD-3644
MD,MD-3645
MD,MD-3646
MD,MD-3647
MD,MD-3648
MD,MD-3649
MD,MD-3650
MD,MD-3651
MD,MD-3652
MD,MD-3701
MD,MD-3702
MD,MD-3703
MD,MD-3711
MD,MD-3712
MD,MD-3713
MD,MD-3714
MD,MD-3715
MD,MD-3716
MD,MD-3717
MD,MD-3718
MD,MD-3719
MD,MD-3720
MD,MD-3721
MD,MD-3722
MD,MD-3723
MD,MD-3724
MD,MD-3725
MD,MD-3726
MD,MD-3727
MD,MD-3728
MD,MD-3729
MD,MD-3730
MD,MD-3731
MD,MD-3732
MD,MD-3733
MD,MD-3734
MD,MD-3735
MD,MD-3736
MD,MD-3737
MD,MD-3738
MD,MD-3739
MD,MD-3801
MD,MD-3802
MD,MD-3805
MD,MD-3811
MD,MD-3812
MD,MD-3813
