source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mc:quarter:fontvieille,MC,quarter,Fontvieille,,FO,,1,,
mc:quarter:jardin-exotique,MC,quarter,Jardin Exotique,,JE,,1,,
mc:quarter:la-colle,MC,quarter,La Colle,,CL,,1,,
mc:quarter:la-condamine,MC,quarter,La Condamine,,CO,,1,,
mc:quarter:la-gare,MC,quarter,La Gare,,GA,,1,,
mc:quarter:la-source,MC,quarter,La Source,,SO,,1,,
mc:quarter:larvotto,MC,quarter,Larvotto,,LA,,1,,
mc:quarter:malbousquet,MC,quarter,Malbousquet,,MA,,1,,
mc:quarter:monaco-ville,MC,quarter,Monaco-Ville,,MO,,1,,
mc:quarter:moneghetti,MC,quarter,Moneghetti,,MG,,1,,
mc:quarter:monte-carlo,MC,quarter,Monte-Carlo,,MC,,1,,
mc:quarter:moulins,MC,quarter,Moulins,,MU,,1,,
mc:quarter:port-hercule,MC,quarter,Port-Hercule,,PH,,1,,
mc:quarter:saint-roman,MC,quarter,Saint-Roman,,SR,,1,,
mc:quarter:sainte-devote,MC,quarter,Sainte-Dévote,,SD,,1,,
mc:quarter:spelugues,MC,quarter,Spélugues,,SP,,1,,
mc:quarter:vallon-de-la-rousse,MC,quarter,Vallon de la Rousse,,VR,,1,,
