source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mn:province:arkhangai,MN,province,Arkhangai,,073,,1,,
mn:province:bayan-olgii,MN,province,Bayan-Ölgii,,071,,1,,
mn:province:bayankhongor,MN,province,Bayankhongor,,069,,1,,
mn:province:bulgan,MN,province,Bulgan,,067,,1,,
mn:province:darkhan-uul,MN,province,Darkhan-Uul,,037,,1,,
mn:province:dornod,MN,province,Dornod,,061,,1,,
mn:province:dornogovi,MN,province,Dornogovi,,063,,1,,
mn:province:dundgovi,MN,province,Dundgovi,,059,,1,,
mn:province:govi-altai,MN,province,Govi-Altai,,065,,1,,
mn:province:govisumber,MN,province,Govisümber,,064,,1,,
mn:province:khentii,MN,province,Khentii,,039,,1,,
mn:province:khovd,MN,province,Khovd,,043,,1,,
mn:province:khovsgol,MN,province,Khövsgöl,,041,,1,,
mn:province:omnogovi,MN,province,Ömnögovi,,053,,1,,
mn:province:orkhon,MN,province,Orkhon,,035,,1,,
mn:province:ovorkhangai,MN,province,Övörkhangai,,055,,1,,
mn:province:selenge,MN,province,Selenge,,049,,1,,
mn:province:sukhbaatar,MN,province,Sükhbaatar,,051,,1,,
mn:province:tov,MN,province,Töv,,047,,1,,
mn:capital_city:ulaanbaatar,MN,capital_city,Ulaanbaatar,,001,,1,,
mn:province:uvs,MN,province,Uvs,,046,,1,,
mn:province:zavkhan,MN,province,Zavkhan,,057,,1,,
