postcode,area_source_id,relationship_type,is_primary
13260,mn:duureg:ulaanbaatar:bayanzurkh,served_by,true
13343,mn:duureg:ulaanbaatar:bayanzurkh,served_by,true
13370,mn:duureg:ulaanbaatar:bayanzurkh,served_by,true
14192,mn:duureg:ulaanbaatar:sukhbaatar,served_by,true
14201,mn:duureg:ulaanbaatar:sukhbaatar,served_by,true
14250,mn:duureg:ulaanbaatar:sukhbaatar,served_by,true
15110,mn:duureg:chingeltei,served_by,true
15141,mn:duureg:chingeltei,served_by,true
15160,mn:duureg:chingeltei,served_by,true
16052,mn:duureg:ulaanbaatar:bayangol,served_by,true
16092,mn:duureg:ulaanbaatar:bayangol,served_by,true
17011,mn:duureg:khan-uul,served_by,true
17031,mn:duureg:khan-uul,served_by,true
17032,mn:duureg:khan-uul,served_by,true
17110,mn:duureg:khan-uul,served_by,true
18010,mn:duureg:songino-khairkhan,served_by,true
18080,mn:duureg:songino-khairkhan,served_by,true
21063,mn:province:dornod,served_by,true
22075,mn:province:sukhbaatar,served_by,true
23123,mn:province:khentii,served_by,true
41100,mn:province:tov,served_by,true
41111,mn:province:tov,served_by,true
42019,mn:province:govisumber,served_by,true
43081,mn:province:selenge,served_by,true
44103,mn:province:dornogovi,served_by,true
45045,mn:province:darkhan-uul,served_by,true
46087,mn:province:omnogovi,served_by,true
48101,mn:province:dundgovi,served_by,true
61029,mn:province:orkhon,served_by,true
62166,mn:province:ovorkhangai,served_by,true
63082,mn:province:bulgan,served_by,true
64101,mn:province:bayankhongor,served_by,true
65141,mn:province:arkhangai,served_by,true
67123,mn:province:khovsgol,served_by,true
81095,mn:province:zavkhan,served_by,true
82093,mn:province:govi-altai,served_by,true
83120,mn:province:bayan-olgii,served_by,true
84141,mn:province:khovd,served_by,true
85165,mn:province:uvs,served_by,true
