postcode,area_source_id,relationship_type,is_primary
81000,me:municipality:podgorica,served_by,true
81101,me:municipality:podgorica,served_by,true
81102,me:municipality:podgorica,served_by,true
81103,me:municipality:podgorica,served_by,true
81104,me:municipality:podgorica,served_by,true
81105,me:municipality:podgorica,served_by,true
81106,me:municipality:podgorica,served_by,true
81107,me:municipality:podgorica,served_by,true
81108,me:municipality:podgorica,served_by,true
81109,me:municipality:podgorica,served_by,true
81110,me:municipality:podgorica,served_by,true
81111,me:municipality:podgorica,served_by,true
81112,me:municipality:podgorica,served_by,true
81113,me:municipality:podgorica,served_by,true
81114,me:municipality:podgorica,served_by,true
81115,me:municipality:podgorica,served_by,true
81116,me:municipality:podgorica,served_by,true
81117,me:municipality:podgorica,served_by,true
81118,me:municipality:podgorica,served_by,true
81119,me:municipality:podgorica,served_by,true
81120,me:municipality:podgorica,served_by,true
81121,me:municipality:podgorica,served_by,true
81123,me:municipality:podgorica,served_by,true
81124,me:municipality:podgorica,served_by,true
81126,me:municipality:podgorica,served_by,true
81127,me:municipality:podgorica,served_by,true
81204,me:municipality:podgorica,served_by,true
81205,me:municipality:podgorica,served_by,true
81206,me:municipality:tuzi,served_by,true
81210,me:municipality:kolasin,served_by,true
81211,me:municipality:kolasin,served_by,true
81214,me:municipality:podgorica,served_by,true
81215,me:municipality:kolasin,served_by,true
81216,me:municipality:kolasin,served_by,true
81217,me:municipality:kolasin,served_by,true
81250,me:municipality:old-royal-capital-cetinje,served_by,true
81253,me:municipality:old-royal-capital-cetinje,served_by,true
81255,me:municipality:old-royal-capital-cetinje,served_by,true
81257,me:municipality:old-royal-capital-cetinje,served_by,true
81258,me:municipality:old-royal-capital-cetinje,served_by,true
81259,me:municipality:old-royal-capital-cetinje,served_by,true
81260,me:municipality:old-royal-capital-cetinje,served_by,true
81304,me:municipality:zeta,served_by,true
81305,me:municipality:bar,served_by,true
81400,me:municipality:niksic,served_by,true
81402,me:municipality:niksic,served_by,true
81403,me:municipality:niksic,served_by,true
81404,me:municipality:niksic,served_by,true
81405,me:municipality:niksic,served_by,true
81406,me:municipality:niksic,served_by,true
81407,me:municipality:niksic,served_by,true
81410,me:municipality:danilovgrad,served_by,true
81412,me:municipality:danilovgrad,served_by,true
81415,me:municipality:danilovgrad,served_by,true
81416,me:municipality:danilovgrad,served_by,true
81417,me:municipality:niksic,served_by,true
81418,me:municipality:niksic,served_by,true
81420,me:municipality:niksic,served_by,true
81422,me:municipality:niksic,served_by,true
81423,me:municipality:niksic,served_by,true
81425,me:municipality:niksic,served_by,true
81426,me:municipality:niksic,served_by,true
81428,me:municipality:niksic,served_by,true
81431,me:municipality:niksic,served_by,true
81432,me:municipality:pluzine,served_by,true
81435,me:municipality:pluzine,served_by,true
81437,me:municipality:pluzine,served_by,true
81450,me:municipality:savnik,served_by,true
81453,me:municipality:savnik,served_by,true
81455,me:municipality:savnik,served_by,true
84000,me:municipality:bijelo-polje,served_by,true
84001,me:municipality:bijelo-polje,served_by,true
84002,me:municipality:bijelo-polje,served_by,true
84205,me:municipality:mojkovac,served_by,true
84206,me:municipality:bijelo-polje,served_by,true
84210,me:municipality:pljevlja,served_by,true
84212,me:municipality:bijelo-polje,served_by,true
84213,me:municipality:bijelo-polje,served_by,true
84214,me:municipality:pljevlja,served_by,true
84215,me:municipality:pljevlja,served_by,true
84216,me:municipality:pljevlja,served_by,true
84217,me:municipality:pljevlja,served_by,true
84218,me:municipality:pljevlja,served_by,true
84219,me:municipality:pljevlja,served_by,true
84220,me:municipality:zabljak,served_by,true
84223,me:municipality:pljevlja,served_by,true
84224,me:municipality:zabljak,served_by,true
84300,me:municipality:berane,served_by,true
84303,me:municipality:bijelo-polje,served_by,true
84305,me:municipality:bijelo-polje,served_by,true
84306,me:municipality:berane,served_by,true
84310,me:municipality:rozaje,served_by,true
84311,me:municipality:rozaje,served_by,true
84312,me:municipality:petnjica,served_by,true
84314,me:municipality:rozaje,served_by,true
84315,me:municipality:rozaje,served_by,true
84320,me:municipality:andrijevica,served_by,true
84322,me:municipality:andrijevica,served_by,true
84323,me:municipality:plav,served_by,true
84325,me:municipality:plav,served_by,true
84326,me:municipality:gusinje,served_by,true
85000,me:municipality:bar,served_by,true
85101,me:municipality:bar,served_by,true
85300,me:municipality:budva,served_by,true
85306,me:municipality:bar,served_by,true
85310,me:municipality:budva,served_by,true
85311,me:municipality:budva,served_by,true
85312,me:municipality:budva,served_by,true
85313,me:municipality:budva,served_by,true
85314,me:municipality:budva,served_by,true
85315,me:municipality:budva,served_by,true
85316,me:municipality:budva,served_by,true
85317,me:municipality:kotor,served_by,true
85318,me:municipality:kotor,served_by,true
85319,me:municipality:kotor,served_by,true
85320,me:municipality:tivat,served_by,true
85321,me:municipality:tivat,served_by,true
85323,me:municipality:tivat,served_by,true
85324,me:municipality:tivat,served_by,true
85330,me:municipality:kotor,served_by,true
85331,me:municipality:kotor,served_by,true
85332,me:municipality:tivat,served_by,true
85333,me:municipality:tivat,served_by,true
85334,me:municipality:kotor,served_by,true
85335,me:municipality:kotor,served_by,true
85336,me:municipality:kotor,served_by,true
85337,me:municipality:kotor,served_by,true
85338,me:municipality:kotor,served_by,true
85339,me:municipality:kotor,served_by,true
85340,me:municipality:herceg-novi,served_by,true
85343,me:municipality:herceg-novi,served_by,true
85344,me:municipality:herceg-novi,served_by,true
85345,me:municipality:herceg-novi,served_by,true
85346,me:municipality:herceg-novi,served_by,true
85347,me:municipality:herceg-novi,served_by,true
85348,me:municipality:herceg-novi,served_by,true
85351,me:municipality:bar,served_by,true
85352,me:municipality:bar,served_by,true
85353,me:municipality:bar,served_by,true
85355,me:municipality:bar,served_by,true
85356,me:municipality:bar,served_by,true
